run_name,family,config_label,rank,subset_k,subset_k_tail,layer,positions,top1_agreement,top10_overlap
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,0,131072,0.177276611328125,0.28991394699551165
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,1,131072,0.35401153564453125,0.39925690134987235
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,2,131072,0.3541412353515625,0.4071815526112914
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,3,131072,0.3549652099609375,0.4150405947584659
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,4,131072,0.3571929931640625,0.4173896857537329
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,5,131072,0.3687744140625,0.42889481177553535
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,6,131072,0.418975830078125,0.4539123566355556
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,7,131072,0.46462249755859375,0.4938713142182678
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,8,131072,0.587066650390625,0.5681396573781967
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,9,131072,0.64971923828125,0.6229194714687765
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,10,131072,0.7413787841796875,0.7096656877547503
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,11,131072,0.8368453979492188,0.797918719239533
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,0,131072,0.01609039306640625,0.018656158797966782
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,1,131072,0.07102203369140625,0.06366043254092801
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,2,131072,0.1907196044921875,0.15501785674132407
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,3,131072,0.15084075927734375,0.16871643398189917
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,4,131072,0.15869140625,0.183410647790879
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,5,131072,0.20018768310546875,0.20902099972590804
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,6,131072,0.27495574951171875,0.283080296125263
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,7,131072,0.41054534912109375,0.40563583839684725
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,8,131072,0.5557022094726562,0.5049102851189673
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,9,131072,0.6266098022460938,0.5778595055453479
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,10,131072,0.7301406860351562,0.686928566545248
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,11,131072,0.828399658203125,0.7827591085806489
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,0,131072,0.0066375732421875,0.01779174841431086
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,1,131072,0.11891937255859375,0.08468551767873578
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,2,131072,0.19134521484375,0.1583061256678775
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,3,131072,0.17829132080078125,0.1838203482911922
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,4,131072,0.23322296142578125,0.2555534412385896
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,5,131072,0.263397216796875,0.27353134646546096
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,6,131072,0.36236572265625,0.3690925643313676
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,7,131072,0.43817138671875,0.44441147451289
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,8,131072,0.5723800659179688,0.5350494454614818
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,9,131072,0.6375503540039062,0.5979820312932134
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,10,131072,0.739227294921875,0.7015281785279512
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,11,131072,0.8397903442382812,0.7984626973047853
lora_subset_topk_r1_k768,lora_topk,LoRA top-k r1 k768,1,768,,0,131072,0.062713623046875,0.030910492248949595
lora_subset_topk_r1_k768,lora_topk,LoRA top-k r1 k768,1,768,,1,131072,0.1818695068359375,0.1463287390070036
lora_subset_topk_r1_k768,lora_topk,LoRA top-k r1 k768,1,768,,2,131072,0.23117828369140625,0.21036072121933103
