run_name,family,config_label,rank,subset_k,subset_k_tail,mean_top1_agreement,mean_top10_overlap,final_top1_agreement,final_top10_overlap
lora_kl_r1,lora_full,LoRA full-KL r1,1,,,0.47208086649576825,0.5003420583282908,0.8368453979492188,0.797918719239533
lora_subset_topk_r1_k256,lora_topk,LoRA top-k r1 k256,1,256,,0.3511587778727214,0.336638010824269,0.828399658203125,0.7827591085806489
lora_subset_topk_r1_k512,lora_topk,LoRA top-k r1 k512,1,512,,0.38177490234375,0.36835124326565466,0.8397903442382812,0.7984626973047853
lora_subset_topk_r1_k768,lora_topk,LoRA top-k r1 k768,1,768,,0.4177989959716797,0.4061360740415694,0.839691162109375,0.7978683663532138
lora_subset_topk_r1_k1024,lora_topk,LoRA top-k r1 k1024,1,1024,,0.4347222646077474,0.4350856204230998,0.84429931640625,0.8049781965091825
lora_subset_head_is_r1_k256_tail256,lora_head_is,LoRA head+IS r1 256+256,1,256,256,0.4577782948811849,0.4866703739195752,0.77764892578125,0.7246490572579205
lora_subset_head_is_r1_k512_tail512,lora_head_is,LoRA head+IS r1 512+512,1,512,512,0.3794085184733073,0.4454671289907613,0.7930679321289062,0.7428627172484994
lora_subset_head_is_r1_k512_tail1024,lora_head_is,LoRA head+IS r1 512+1024,1,512,1024,0.4596201578776042,0.4947655431363576,0.7983779907226562,0.7503914064727724
lora_subset_head_is_r1_k768_tail768,lora_head_is,LoRA head+IS r1 768+768,1,768,768,0.47200647989908856,0.4995451678599541,0.8007965087890625,0.7511917264200747
lora_subset_head_is_r1_k1024_tail512,lora_head_is,LoRA head+IS r1 1024+512,1,1024,512,0.4717826843261719,0.5003072173858527,0.805328369140625,0.7577537703327835
lora_subset_head_is_r1_k1024_tail1024,lora_head_is,LoRA head+IS r1 1024+1024,1,1024,1024,0.4689788818359375,0.4999877369458166,0.8089981079101562,0.7629043706692755
lora_kl_r4,lora_full,LoRA full-KL r4,4,,,0.5348084767659506,0.5570063986233436,0.8534698486328125,0.8205826003104448
lora_subset_topk_r4_k256,lora_topk,LoRA top-k r4 k256,4,256,,0.4614276885986328,0.4452683205068979,0.8525390625,0.8141349968500435
lora_subset_topk_r4_k512,lora_topk,LoRA top-k r4 k512,4,512,,0.48917516072591144,0.4762575864933467,0.8563690185546875,0.8206939902156591
lora_subset_topk_r4_k768,lora_topk,LoRA top-k r4 k768,4,768,,0.4955450693766276,0.49032746124006127,0.8567581176757812,0.8186264238320291
lora_subset_topk_r4_k1024,lora_topk,LoRA top-k r4 k1024,4,1024,,0.5012073516845703,0.5009830553456899,0.8566665649414062,0.8217392168007791
lora_subset_head_is_r4_k256_tail256,lora_head_is,LoRA head+IS r4 256+256,4,256,256,0.5170764923095703,0.5349342420328563,0.775665283203125,0.7254898184910417
lora_subset_head_is_r4_k512_tail512,lora_head_is,LoRA head+IS r4 512+512,4,512,512,0.5258223215738932,0.5432966944645159,0.793182373046875,0.7448227065615356
lora_subset_head_is_r4_k512_tail1024,lora_head_is,LoRA head+IS r4 512+1024,4,512,1024,0.5273927052815756,0.545206330755415,0.8000335693359375,0.749189767986536
lora_subset_head_is_r4_k768_tail768,lora_head_is,LoRA head+IS r4 768+768,4,768,768,0.521636962890625,0.5427789761937069,0.801055908203125,0.7503082407638431
lora_subset_head_is_r4_k1024_tail512,lora_head_is,LoRA head+IS r4 1024+512,4,1024,512,0.5249290466308594,0.5457480822903259,0.80615234375,0.7577186711132526
lora_subset_head_is_r4_k1024_tail1024,lora_head_is,LoRA head+IS r4 1024+1024,4,1024,1024,0.5255304972330729,0.5395257385292401,0.79925537109375,0.7524330229498446
lora_kl_r8,lora_full,LoRA full-KL r8,8,,,0.5701338450113932,0.5925917384932594,0.8593902587890625,0.8290855619125068
lora_subset_topk_r8_k256,lora_topk,LoRA top-k r8 k256,8,256,,0.49235979715983075,0.47070885447047317,0.8599929809570312,0.824852772988379
lora_subset_topk_r8_k512,lora_topk,LoRA top-k r8 k512,8,512,,0.5202210744222006,0.5078341243767378,0.864105224609375,0.8313629361800849
lora_subset_topk_r8_k768,lora_topk,LoRA top-k r8 k768,8,768,,0.5287590026855469,0.5172096964573333,0.8619003295898438,0.827790851239115
lora_subset_topk_r8_k1024,lora_topk,LoRA top-k r8 k1024,8,1024,,0.5434970855712891,0.5386530638376522,0.86126708984375,0.8291153144091368
lora_subset_head_is_r8_k256_tail256,lora_head_is,LoRA head+IS r8 256+256,8,256,256,0.5424467722574869,0.5538958302349783,0.768585205078125,0.7218734864145517
lora_subset_head_is_r8_k512_tail512,lora_head_is,LoRA head+IS r8 512+512,8,512,512,0.5495192209879557,0.5645696715995049,0.7864990234375,0.7387954825535417
lora_subset_head_is_r8_k512_tail1024,lora_head_is,LoRA head+IS r8 512+1024,8,512,1024,0.5465145111083984,0.5628215238199724,0.799591064453125,0.7538513350300491
lora_subset_head_is_r8_k768_tail768,lora_head_is,LoRA head+IS r8 768+768,8,768,768,0.5558954874674479,0.5679815370434275,0.79986572265625,0.7537857163697481
lora_subset_head_is_r8_k1024_tail512,lora_head_is,LoRA head+IS r8 1024+512,8,1024,512,0.4689350128173828,0.4921881428260046,0.797332763671875,0.7545974836684763
lora_subset_head_is_r8_k1024_tail1024,lora_head_is,LoRA head+IS r8 1024+1024,8,1024,1024,0.4815820058186849,0.5072876041037185,0.793212890625,0.7458572490140796
lora_kl_r16,lora_full,LoRA full-KL r16,16,,,0.5987103780110677,0.611644818156492,0.8679428100585938,0.834601609967649
lora_subset_topk_r16_k256,lora_topk,LoRA top-k r16 k256,16,256,,0.5047569274902344,0.4700065059807912,0.8677978515625,0.8310241899453104
lora_subset_topk_r16_k512,lora_topk,LoRA top-k r16 k512,16,512,,0.5668792724609375,0.536333918988627,0.8717269897460938,0.8376014875248075
lora_subset_topk_r16_k768,lora_topk,LoRA top-k r16 k768,16,768,,0.5808760325113932,0.5620177683061532,0.8722152709960938,0.8393593057990074
lora_subset_topk_r16_k1024,lora_topk,LoRA top-k r16 k1024,16,1024,,0.5936005910237631,0.5753739757152895,0.8711166381835938,0.8382484656758606
lora_subset_head_is_r16_k256_tail256,lora_head_is,LoRA head+IS r16 256+256,16,256,256,0.5723648071289062,0.5823172340751626,0.7774658203125,0.7264007683843374
lora_subset_head_is_r16_k512_tail512,lora_head_is,LoRA head+IS r16 512+512,16,512,512,0.5712604522705078,0.5822448164690286,0.7913436889648438,0.745861828327179
lora_subset_head_is_r16_k512_tail1024,lora_head_is,LoRA head+IS r16 512+1024,16,512,1024,0.586493174235026,0.5967896859898852,0.8064727783203125,0.7587982290424407
lora_subset_head_is_r16_k768_tail768,lora_head_is,LoRA head+IS r16 768+768,16,768,768,0.5797456105550131,0.592220759174476,0.8054656982421875,0.7592842215672135
lora_subset_head_is_r16_k1024_tail512,lora_head_is,LoRA head+IS r16 1024+512,16,1024,512,0.5756117502848307,0.5910493925136203,0.80694580078125,0.7602028017863631
lora_subset_head_is_r16_k1024_tail1024,lora_head_is,LoRA head+IS r16 1024+1024,16,1024,1024,0.5778153737386068,0.5933764852234162,0.8057479858398438,0.7591194263659418
lora_kl_r32,lora_full,LoRA full-KL r32,32,,,0.655096689860026,0.6633179448156928,0.8776168823242188,0.8461532834917307
lora_subset_topk_r32_k256,lora_topk,LoRA top-k r32 k256,32,256,,0.5660216013590494,0.5191202257786548,0.8766403198242188,0.8415977712720633
lora_subset_topk_r32_k512,lora_topk,LoRA top-k r32 k512,32,512,,0.6112505594889323,0.573511832364602,0.878021240234375,0.8444191184826195
lora_subset_topk_r32_k768,lora_topk,LoRA top-k r32 k768,32,768,,0.6260916392008463,0.5987769550799081,0.8737945556640625,0.839949818328023
lora_subset_topk_r32_k1024,lora_topk,LoRA top-k r32 k1024,32,1024,,0.6343460083007812,0.6153029228832262,0.8793106079101562,0.8453552518039942
lora_subset_head_is_r32_k256_tail256,lora_head_is,LoRA head+IS r32 256+256,32,256,256,0.5879859924316406,0.5837015870686931,0.77984619140625,0.7304817344993353
lora_subset_head_is_r32_k512_tail512,lora_head_is,LoRA head+IS r32 512+512,32,512,512,0.6180540720621744,0.6193222771204697,0.7978363037109375,0.7491218717768788
lora_subset_head_is_r32_k512_tail1024,lora_head_is,LoRA head+IS r32 512+1024,32,512,1024,0.5940539042154948,0.6004661642946303,0.80572509765625,0.7597984499298036
lora_subset_head_is_r32_k768_tail768,lora_head_is,LoRA head+IS r32 768+768,32,768,768,0.6018644968668619,0.6081832970764177,0.801055908203125,0.7560386806726456
lora_subset_head_is_r32_k1024_tail512,lora_head_is,LoRA head+IS r32 1024+512,32,1024,512,0.6054471333821615,0.6109691713160524,0.8138580322265625,0.7680336148478091
lora_subset_head_is_r32_k1024_tail1024,lora_head_is,LoRA head+IS r32 1024+1024,32,1024,1024,0.621222178141276,0.6257476261040816,0.8146896362304688,0.769629679620266
lora_kl_r64,lora_full,LoRA full-KL r64,64,,,0.7031625111897787,0.7053447845391929,0.8877639770507812,0.855378751643002
lora_subset_topk_r64_k256,lora_topk,LoRA top-k r64 k256,64,256,,0.6022847493489584,0.5407433285630153,0.8824920654296875,0.8465164401568472
lora_subset_topk_r64_k512,lora_topk,LoRA top-k r64 k512,64,512,,0.6275100708007812,0.5856847860801887,0.8831024169921875,0.8482750188559294
