run_name,label,step,layer,kl
lora_kl_r64,Full-KL r64,1000,0,1.3450374603271484
lora_kl_r64,Full-KL r64,1000,1,0.9833162426948547
lora_kl_r64,Full-KL r64,1000,2,0.9049639701843262
lora_kl_r64,Full-KL r64,1000,3,0.8438668251037598
lora_kl_r64,Full-KL r64,1000,4,0.7900933027267456
lora_kl_r64,Full-KL r64,1000,5,0.7500879764556885
lora_kl_r64,Full-KL r64,1000,6,0.5090823173522949
lora_kl_r64,Full-KL r64,1000,7,0.41003313660621643
lora_kl_r64,Full-KL r64,1000,8,0.2913874387741089
lora_kl_r64,Full-KL r64,1000,9,0.21165543794631958
lora_kl_r64,Full-KL r64,1000,10,0.11422616988420486
lora_kl_r64,Full-KL r64,1000,11,0.04305829852819443
lora_subset_topk_r64_k256,Top-k k=256,1000,0,2.585723876953125
lora_subset_topk_r64_k256,Top-k k=256,1000,1,1.8352696895599365
lora_subset_topk_r64_k256,Top-k k=256,1000,2,1.6438730955123901
lora_subset_topk_r64_k256,Top-k k=256,1000,3,1.5086019039154053
lora_subset_topk_r64_k256,Top-k k=256,1000,4,1.3753141164779663
lora_subset_topk_r64_k256,Top-k k=256,1000,5,1.268833875656128
lora_subset_topk_r64_k256,Top-k k=256,1000,6,0.8202111721038818
lora_subset_topk_r64_k256,Top-k k=256,1000,7,0.6365234851837158
lora_subset_topk_r64_k256,Top-k k=256,1000,8,0.44609737396240234
lora_subset_topk_r64_k256,Top-k k=256,1000,9,0.30747565627098083
lora_subset_topk_r64_k256,Top-k k=256,1000,10,0.15062810480594635
lora_subset_topk_r64_k256,Top-k k=256,1000,11,0.05365162342786789
lora_subset_topk_r64_k512,Top-k k=512,1000,0,2.303321361541748
lora_subset_topk_r64_k512,Top-k k=512,1000,1,1.5773262977600098
lora_subset_topk_r64_k512,Top-k k=512,1000,2,1.3968911170959473
lora_subset_topk_r64_k512,Top-k k=512,1000,3,1.2464804649353027
lora_subset_topk_r64_k512,Top-k k=512,1000,4,1.1353222131729126
lora_subset_topk_r64_k512,Top-k k=512,1000,5,1.0728998184204102
lora_subset_topk_r64_k512,Top-k k=512,1000,6,0.7060112953186035
lora_subset_topk_r64_k512,Top-k k=512,1000,7,0.5566689372062683
lora_subset_topk_r64_k512,Top-k k=512,1000,8,0.3842230439186096
lora_subset_topk_r64_k512,Top-k k=512,1000,9,0.26931023597717285
lora_subset_topk_r64_k512,Top-k k=512,1000,10,0.13896068930625916
lora_subset_topk_r64_k512,Top-k k=512,1000,11,0.04976356774568558
lora_subset_topk_r64_k1024,Top-k k=1024,1000,0,2.0311126708984375
lora_subset_topk_r64_k1024,Top-k k=1024,1000,1,1.3542231321334839
lora_subset_topk_r64_k1024,Top-k k=1024,1000,2,1.1829370260238647
lora_subset_topk_r64_k1024,Top-k k=1024,1000,3,1.0851655006408691
lora_subset_topk_r64_k1024,Top-k k=1024,1000,4,0.9718466401100159
lora_subset_topk_r64_k1024,Top-k k=1024,1000,5,0.9162888526916504
