objective,rank,step,status,metric,kl
Full-KL,1,1000,complete,final,0.07595476508140564
Full-KL,4,1000,complete,final,0.05738858878612518
Full-KL,8,1000,complete,final,0.05456087738275528
Full-KL,16,1000,complete,final,0.05255547910928726
Full-KL,32,1000,complete,final,0.047881145030260086
Full-KL,64,1000,complete,final,0.04305829852819443
Full-KL,128,1000,complete,final,0.040186479687690735
Full-KL,256,1000,complete,final,0.03823080286383629
Full-KL,384,1000,complete,final,0.03622043505311012
Full-KL,1,1000,complete,mean,1.0371947238842647
Full-KL,4,1000,complete,mean,0.8784052195648352
Full-KL,8,1000,complete,mean,0.7991823721677065
Full-KL,16,1000,complete,mean,0.7546486053615808
Full-KL,32,1000,complete,mean,0.6962962017084161
Full-KL,64,1000,complete,mean,0.5997340480486552
Full-KL,128,1000,complete,mean,0.5738462172448635
Full-KL,256,1000,complete,mean,0.5550907940293351
Full-KL,384,1000,complete,mean,0.5386303318664432
Full-KL,1,1000,complete,early,1.7466773092746735
Full-KL,4,1000,complete,early,1.4842472672462463
Full-KL,8,1000,complete,early,1.3385359346866608
Full-KL,16,1000,complete,early,1.2562934756278992
Full-KL,32,1000,complete,early,1.1703136414289474
Full-KL,64,1000,complete,early,1.0192961245775223
Full-KL,128,1000,complete,early,0.9829886108636856
Full-KL,256,1000,complete,early,0.9512172192335129
Full-KL,384,1000,complete,early,0.9260460734367371
Top-k k=512,1,1000,complete,final,0.07447165995836258
Top-k k=512,4,1000,complete,final,0.06131337955594063
Top-k k=512,8,1000,complete,final,0.05758219584822655
Top-k k=512,16,1000,complete,final,0.0537874698638916
Top-k k=512,32,1000,complete,final,0.05150347575545311
Top-k k=512,64,1000,complete,final,0.04976356774568558
Top-k k=512,128,1000,complete,final,0.04489903524518013
Top-k k=512,256,1000,complete,final,0.04305778816342354
Top-k k=512,384,1000,complete,final,0.04530036076903343
Top-k k=512,1,1000,complete,mean,1.376911918943127
Top-k k=512,4,1000,complete,mean,1.3439861141766112
Top-k k=512,8,1000,complete,mean,1.1284676029657323
Top-k k=512,16,1000,complete,mean,1.0448003485798836
Top-k k=512,32,1000,complete,mean,0.9888075512523452
Top-k k=512,64,1000,complete,mean,0.9030982535332441
Top-k k=512,128,1000,complete,mean,0.8588304858033856
Top-k k=512,256,1000,complete,mean,0.8307221038267016
Top-k k=512,384,1000,complete,mean,0.8192127430811524
Top-k k=512,1,1000,complete,early,2.5002799928188324
Top-k k=512,4,1000,complete,early,2.6167261600494385
Top-k k=512,8,1000,complete,early,2.0413877964019775
Top-k k=512,16,1000,complete,early,1.8714750707149506
Top-k k=512,32,1000,complete,early,1.7614753544330597
Top-k k=512,64,1000,complete,early,1.631004810333252
Top-k k=512,128,1000,complete,early,1.5711710453033447
Top-k k=512,256,1000,complete,early,1.5157095789909363
Top-k k=512,384,1000,complete,early,1.4890334606170654
head+IS 512+512,1,1000,complete,final,0.14048084616661072
head+IS 512+512,4,1000,complete,final,0.13781483471393585
head+IS 512+512,8,1000,complete,final,0.15287970006465912
head+IS 512+512,16,1000,complete,final,0.15046362578868866
head+IS 512+512,32,1000,complete,final,0.15013669431209564
head+IS 512+512,64,1000,complete,final,0.13353434205055237
head+IS 512+512,128,1000,complete,final,0.14201979339122772
head+IS 512+512,256,1000,complete,final,0.26012134552001953
head+IS 512+512,384,,missing,final,
head+IS 512+512,1,1000,complete,mean,1.2263893162210782
head+IS 512+512,4,1000,complete,mean,0.9358423886199793
head+IS 512+512,8,1000,complete,mean,0.8804186706741651
head+IS 512+512,16,1000,complete,mean,0.8384009699026743
head+IS 512+512,32,1000,complete,mean,0.7948664476474127
head+IS 512+512,64,1000,complete,mean,0.6980296944578489
head+IS 512+512,128,1000,complete,mean,0.6816967464983463
head+IS 512+512,256,1000,complete,mean,0.9272897293170294
head+IS 512+512,384,,missing,mean,
head+IS 512+512,1,1000,complete,early,1.9327358901500702
head+IS 512+512,4,1000,complete,early,1.5145445764064789
head+IS 512+512,8,1000,complete,early,1.403582751750946
head+IS 512+512,16,1000,complete,early,1.3161821961402893
head+IS 512+512,32,1000,complete,early,1.2512018382549286
head+IS 512+512,64,1000,complete,early,1.111060470342636
head+IS 512+512,128,1000,complete,early,1.0864258259534836
head+IS 512+512,256,1000,complete,early,1.4881646037101746
head+IS 512+512,384,,missing,early,
