family,rank,budget,run_name,step,status,final_kl,mean_kl,early_kl_0_3
topk,1,256,lora_subset_topk_r1_k256,1000,complete,0.08342328667640686,1.4944354519248009,2.7106194496154785
topk,1,512,lora_subset_topk_r1_k512,1000,complete,0.07447165995836258,1.376911918943127,2.5002799928188324
topk,1,768,lora_subset_topk_r1_k768,1000,complete,0.07429397106170654,1.2526042635242145,2.2256015837192535
topk,1,1024,lora_subset_topk_r1_k1024,1000,complete,0.07051165401935577,1.1861268319189548,2.08704537153244
topk,4,256,lora_subset_topk_r4_k256,1000,complete,0.06637097150087357,1.4767047557979822,2.910277336835861
topk,4,512,lora_subset_topk_r4_k512,1000,complete,0.06131337955594063,1.3439861141766112,2.6167261600494385
topk,4,768,lora_subset_topk_r4_k768,1000,complete,0.06075149029493332,1.2396477963775396,2.3761219680309296
topk,4,1024,lora_subset_topk_r4_k1024,1000,complete,0.05800988897681236,1.1146335946395993,2.0293029248714447
topk,8,256,lora_subset_topk_r8_k256,1000,complete,0.061927203088998795,1.3165267212316394,2.4286650121212006
topk,8,512,lora_subset_topk_r8_k512,1000,complete,0.05758219584822655,1.1284676029657323,2.0413877964019775
topk,8,768,lora_subset_topk_r8_k768,1000,complete,0.05672943592071533,1.0396947960058849,1.8439059257507324
topk,8,1024,lora_subset_topk_r8_k1024,1000,complete,0.055294036865234375,0.9901320127149423,1.7644221484661102
topk,16,256,lora_subset_topk_r16_k256,1000,complete,0.05968368798494339,1.3154823513080676,2.5159438252449036
topk,16,512,lora_subset_topk_r16_k512,1000,complete,0.0537874698638916,1.0448003485798836,1.8714750707149506
topk,16,768,lora_subset_topk_r16_k768,1000,complete,0.052778273820877075,0.96925238519907,1.7210088074207306
topk,16,1024,lora_subset_topk_r16_k1024,1000,complete,0.051900770515203476,0.9322395085667571,1.6389981806278229
topk,32,256,lora_subset_topk_r32_k256,1000,complete,0.05651499703526497,1.1348058522368472,2.0279142558574677
topk,32,512,lora_subset_topk_r32_k512,1000,complete,0.05150347575545311,0.9888075512523452,1.7614753544330597
topk,32,768,lora_subset_topk_r32_k768,1000,complete,0.05101422592997551,0.9238095019633571,1.6440397202968597
topk,32,1024,lora_subset_topk_r32_k1024,1000,complete,0.049170225858688354,0.8718641176819801,1.5473859012126923
