config,seed,final_kl,mean_kl,early_kl,eval_dir
tuned_fullkl,0,0.041139,0.542789,0.937781,/path/to/project/eval_harness/evaluation/gpt2_preemptable_sweep_1000/tuned_kl_baseline__lens_step_1000
tuned_fullkl,1,0.048724,0.583513,1.005416,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/tuned_kl_seed1__lens_step_1000
tuned_fullkl,2,0.039060,0.581332,1.006422,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/tuned_kl_seed2__lens_step_1000
lora_fullkl,0,0.043058,0.599734,1.019296,/path/to/project/eval_harness/evaluation/gpt2_preemptable_sweep_1000/lora_kl_r64__lens_step_1000
lora_fullkl,1,0.046531,0.665870,1.125676,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_kl_r64_seed1__lens_step_1000
lora_fullkl,2,0.044991,0.655628,1.111149,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_kl_r64_seed2__lens_step_1000
topk_k1024,0,0.045833,0.780493,1.413360,/path/to/project/eval_harness/evaluation/gpt2_preemptable_sweep_1000/lora_subset_topk_r64_k1024__lens_step_1000
topk_k1024,1,0.045647,0.842225,1.510751,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_topk_r64_k1024_seed1__lens_step_1000
topk_k1024,2,0.046945,0.846035,1.518548,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_topk_r64_k1024_seed2__lens_step_1000
is_512_512,0,0.066610,0.649213,1.072982,/path/to/project/omnilens/evaluation/gpt2_is_sweeps_and_expanded_final/gpt2_preemptable_is_sweep_1000__lora_subset_is_r64_k512_tail512__lens_step_1000
is_512_512,1,0.048629,0.656233,1.110355,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_is_r64_k512_tail512_seed1__lens_step_1000
is_512_512,2,0.044538,0.656359,1.109996,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_is_r64_k512_tail512_seed2__lens_step_1000
rs_tail512,0,0.194465,0.878987,1.334154,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail512_seed0__lens_step_1000
rs_tail512,1,0.195757,0.874996,1.327907,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail512_seed1__lens_step_1000
rs_tail512,2,0.192947,0.865895,1.313251,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail512_seed2__lens_step_1000
rs_tail1024,0,0.655892,1.308624,1.693009,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail1024_seed0__lens_step_1000
rs_tail1024,1,0.677592,1.329546,1.706860,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail1024_seed1__lens_step_1000
rs_tail1024,2,0.665463,1.321877,1.699524,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail1024_seed2__lens_step_1000
rs_tail1536,0,1.072726,1.617984,1.943983,/path/to/project/omnilens/evaluation/gpt2_seed_study_1000/lora_subset_rs_r64_tail1536_seed0__lens_step_1000
