step,total_tokens,loss,tok_per_sec,dt_ms,microsteps,lr,peak_memory_gb
10,3932160,11.73256111,2624.1441,149845.4288,2,0.00022,34.6998
20,7864320,10.32736778,2775.0836,141695.1901,2,0.00042,34.6998
30,11796480,9.67514420,2711.3023,145028.4616,2,0.00062,34.6998
40,15728640,9.06725693,2713.3250,144920.3469,2,0.00082,34.6998
50,19660800,8.81660080,2779.4470,141472.7461,2,0.0009999383162,34.6998
60,23592960,8.67581558,2883.9283,136347.3544,2,0.0009925546631,34.6998
60,23592960,8.69743347,2666.3631,147472.7859,2,0.0009925546631,34.6998
70,27525120,8.29426479,2672.1487,147153.4880,2,0.0009730426794,34.6998
80,31457280,8.03513527,2851.9653,137875.4496,2,0.000941882815,34.6998
90,35389440,8.06897449,2773.3821,141782.1244,2,0.0008998423292,34.6998
100,39321600,7.85742188,2687.5477,146310.3340,2,0.0008479563983,34.6998
110,43253760,7.82208061,2715.4312,144807.9424,2,0.000787502626,34.6998
110,43253760,7.83578682,2864.0201,137295.1282,2,0.000787502626,34.6998
120,47185920,7.54955578,2821.0591,139385.9500,2,0.0007199695849,34.6998
130,51118080,7.43507576,2778.7129,141510.1193,2,0.0006470201626,34.6998
140,55050240,7.38566494,2817.8331,139545.5231,2,0.000570450616,34.6998
150,58982400,7.35613632,2840.2984,138441.7910,2,0.0004921463413,34.6998
160,62914560,7.07934284,2737.9774,143615.5021,2,0.0004140354499,34.6998
160,62914560,6.98097372,2866.0745,137196.7107,2,0.0004140354499,34.6998
170,66846720,7.09253836,2839.6662,138472.6120,2,0.0003380412909,34.6998
180,70778880,7.26380110,2730.2345,144022.7953,2,0.0002660350929,34.6998
190,74711040,6.96507454,2808.5310,140007.7130,2,0.0001997898873,34.6998
200,78643200,6.69402218,2753.4980,142805.9890,2,0.0001409368511,34.6998
210,82575360,6.96197987,2848.6321,138036.7785,2,9.092514129e-05,34.6998
210,82575360,6.87417746,2871.5409,136935.5393,2,9.092514129e-05,34.6998
220,86507520,6.87231970,2849.1018,138014.0215,2,5.098621212e-05,34.6998
230,90439680,7.13279247,2820.1136,139432.6812,2,2.21034926e-05,34.6998
240,94371840,6.99648857,2810.0985,139929.6148,2,4.988171142e-06,34.6998
250,98304000,7.02475834,2848.4691,138044.6776,2,0,34.6998
