model,lens,hs,j,energy,model_kl
gpt2,random,2,0,,0.000646
gpt2,random,2,1,,0.00045
gpt2,random,2,2,,0.000518
gpt2,random,2,3,,0.000578
gpt2,random,2,4,,0.004278
gpt2,random,2,5,,0.000635
gpt2,random,2,6,,0.00315
gpt2,random,2,7,,0.002482
gpt2,random,2,8,,0.000609
gpt2,random,2,9,,0.0006
gpt2,random,2,10,,0.001287
gpt2,random,2,11,,0.00069
gpt2,random,2,12,,0.001634
gpt2,random,2,13,,0.0008
gpt2,random,2,14,,0.001224
gpt2,random,2,15,,0.001045
gpt2,logit,2,0,1.918398,0.027001
gpt2,logit,2,1,1.523933,0.028068
gpt2,logit,2,2,1.427504,0.247523
gpt2,logit,2,3,1.304846,0.15654
gpt2,logit,2,4,1.137813,0.004002
gpt2,logit,2,5,0.802677,0.010215
gpt2,logit,2,6,0.738188,0.387366
gpt2,logit,2,7,0.708882,0.010208
gpt2,logit,2,8,0.563002,0.004082
gpt2,logit,2,9,0.503673,0.001015
gpt2,logit,2,10,0.499883,0.009553
gpt2,logit,2,11,0.484444,0.002106
gpt2,logit,2,12,0.476175,0.01192
gpt2,logit,2,13,0.348591,0.004931
gpt2,logit,2,14,0.327599,0.002623
gpt2,logit,2,15,0.290625,0.048037
gpt2,tuned,2,0,2.542184,0.223916
gpt2,tuned,2,1,2.103445,0.060063
gpt2,tuned,2,2,2.07444,0.264754
gpt2,tuned,2,3,1.523155,0.039678
gpt2,tuned,2,4,1.225741,0.003673
gpt2,tuned,2,5,0.725855,0.041807
gpt2,tuned,2,6,0.71581,0.025865
gpt2,tuned,2,7,0.680637,0.642427
gpt2,tuned,2,8,0.507424,0.017507
gpt2,tuned,2,9,0.397264,0.005251
gpt2,tuned,2,10,0.378471,0.015498
gpt2,tuned,2,11,0.352065,0.228536
gpt2,tuned,2,12,0.310897,0.018105
gpt2,tuned,2,13,0.285373,0.008121
gpt2,tuned,2,14,0.248796,0.022487
gpt2,tuned,2,15,0.237937,0.036106
gpt2,lora_topk,2,0,2.423214,0.274976
gpt2,lora_topk,2,1,1.972913,0.184002
gpt2,lora_topk,2,2,1.116499,0.007903
gpt2,lora_topk,2,3,0.977819,0.051094
gpt2,lora_topk,2,4,0.925141,0.629134
gpt2,lora_topk,2,5,0.459667,0.055914
gpt2,lora_topk,2,6,0.35624,0.02205
gpt2,lora_topk,2,7,0.31483,0.090123
gpt2,lora_topk,2,8,0.267505,0.097234
gpt2,lora_topk,2,9,0.208776,0.003868
gpt2,lora_topk,2,10,0.202536,0.039281
gpt2,lora_topk,2,11,0.114097,0.008944
gpt2,lora_topk,2,12,0.112215,0.065458
gpt2,lora_topk,2,13,0.096109,0.066467
gpt2,lora_topk,2,14,0.089915,0.037979
gpt2,lora_topk,2,15,0.070912,0.044741
gpt2,lora_is,2,0,1.805466,0.258954
gpt2,lora_is,2,1,1.371775,0.260416
gpt2,lora_is,2,2,1.236609,0.045199
gpt2,lora_is,2,3,1.085243,0.207452
gpt2,lora_is,2,4,0.824965,0.608762
gpt2,lora_is,2,5,0.460753,0.019138
gpt2,lora_is,2,6,0.45822,0.002158
gpt2,lora_is,2,7,0.427764,0.016749
gpt2,lora_is,2,8,0.389277,0.040998
gpt2,lora_is,2,9,0.343541,0.001107
gpt2,lora_is,2,10,0.239609,0.009882
gpt2,lora_is,2,11,0.184249,0.100816
gpt2,lora_is,2,12,0.147778,0.00664
gpt2,lora_is,2,13,0.135719,0.045616
gpt2,lora_is,2,14,0.117658,0.018157
gpt2,lora_is,2,15,0.107755,0.055683
gpt2,random,4,0,,0.005933
gpt2,random,4,1,,0.004369
gpt2,random,4,2,,0.001313
gpt2,random,4,3,,0.018343
gpt2,random,4,4,,0.002015
gpt2,random,4,5,,0.001862
gpt2,random,4,6,,0.005773
gpt2,random,4,7,,0.022456
gpt2,random,4,8,,0.00277
gpt2,random,4,9,,0.000962
gpt2,random,4,10,,0.001614
gpt2,random,4,11,,0.009665
gpt2,random,4,12,,0.006688
gpt2,random,4,13,,0.011326
gpt2,random,4,14,,0.001289
gpt2,random,4,15,,0.004502
gpt2,logit,4,0,4.000027,2.92068
gpt2,logit,4,1,2.701039,2.145967
gpt2,logit,4,2,1.701262,1.412482
gpt2,logit,4,3,1.383331,0.007967
gpt2,logit,4,4,1.375124,0.018544
gpt2,logit,4,5,0.917214,0.0214
gpt2,logit,4,6,0.803101,0.93779
gpt2,logit,4,7,0.649828,0.028999
gpt2,logit,4,8,0.625587,0.1216
gpt2,logit,4,9,0.441696,0.105207
gpt2,logit,4,10,0.403151,0.084158
gpt2,logit,4,11,0.401005,0.01808
gpt2,logit,4,12,0.375324,0.055386
gpt2,logit,4,13,0.365306,0.001734
gpt2,logit,4,14,0.320586,0.134471
gpt2,logit,4,15,0.309979,0.027517
gpt2,tuned,4,0,7.064989,2.330473
gpt2,tuned,4,1,2.722591,2.387263
gpt2,tuned,4,2,2.253331,0.93157
gpt2,tuned,4,3,1.122592,0.195323
gpt2,tuned,4,4,1.061928,0.146232
gpt2,tuned,4,5,0.946542,0.073894
gpt2,tuned,4,6,0.715292,0.376394
gpt2,tuned,4,7,0.632392,0.143143
gpt2,tuned,4,8,0.617446,0.131925
gpt2,tuned,4,9,0.506284,0.00627
gpt2,tuned,4,10,0.466356,0.108852
gpt2,tuned,4,11,0.304588,0.02621
gpt2,tuned,4,12,0.274088,0.010604
gpt2,tuned,4,13,0.272614,0.011067
gpt2,tuned,4,14,0.182069,0.022372
gpt2,tuned,4,15,0.180609,0.002113
gpt2,lora_topk,4,0,7.345529,2.978586
gpt2,lora_topk,4,1,1.730332,2.559795
gpt2,lora_topk,4,2,0.828991,0.623294
gpt2,lora_topk,4,3,0.609771,0.07272
gpt2,lora_topk,4,4,0.59353,0.522949
gpt2,lora_topk,4,5,0.519261,0.051038
gpt2,lora_topk,4,6,0.489579,0.041781
gpt2,lora_topk,4,7,0.48663,0.084383
gpt2,lora_topk,4,8,0.261021,0.325957
gpt2,lora_topk,4,9,0.212099,0.126708
gpt2,lora_topk,4,10,0.139202,0.000934
gpt2,lora_topk,4,11,0.130938,0.083725
gpt2,lora_topk,4,12,0.1226,0.021216
gpt2,lora_topk,4,13,0.111237,0.01173
gpt2,lora_topk,4,14,0.092391,0.01712
gpt2,lora_topk,4,15,0.074622,0.077669
gpt2,lora_is,4,0,3.672226,2.91174
gpt2,lora_is,4,1,2.865279,2.367512
gpt2,lora_is,4,2,1.315717,0.559797
gpt2,lora_is,4,3,0.615381,0.064973
gpt2,lora_is,4,4,0.612349,0.553514
gpt2,lora_is,4,5,0.450317,0.068226
gpt2,lora_is,4,6,0.321834,0.074575
gpt2,lora_is,4,7,0.270018,0.020172
gpt2,lora_is,4,8,0.257071,0.100208
gpt2,lora_is,4,9,0.251814,0.335449
gpt2,lora_is,4,10,0.219925,0.061161
gpt2,lora_is,4,11,0.190056,0.000844
gpt2,lora_is,4,12,0.16084,0.045903
gpt2,lora_is,4,13,0.153879,0.043097
gpt2,lora_is,4,14,0.137905,0.02676
gpt2,lora_is,4,15,0.107741,0.019626
gpt2,random,6,0,,0.006353
gpt2,random,6,1,,0.004746
gpt2,random,6,2,,0.001334
gpt2,random,6,3,,0.01824
gpt2,random,6,4,,0.002092
gpt2,random,6,5,,0.001778
gpt2,random,6,6,,0.006832
gpt2,random,6,7,,0.022791
gpt2,random,6,8,,0.003566
gpt2,random,6,9,,0.001207
gpt2,random,6,10,,0.001932
gpt2,random,6,11,,0.010746
gpt2,random,6,12,,0.007948
gpt2,random,6,13,,0.01161
gpt2,random,6,14,,0.00157
gpt2,random,6,15,,0.005359
gpt2,logit,6,0,2.511155,2.812017
gpt2,logit,6,1,2.485806,1.721842
gpt2,logit,6,2,1.617947,1.239962
gpt2,logit,6,3,1.404569,0.008919
gpt2,logit,6,4,0.868354,1.092286
gpt2,logit,6,5,0.793354,0.011764
gpt2,logit,6,6,0.787334,0.083996
gpt2,logit,6,7,0.742053,0.018292
gpt2,logit,6,8,0.638328,0.017457
gpt2,logit,6,9,0.526408,0.002156
gpt2,logit,6,10,0.473709,0.125313
gpt2,logit,6,11,0.433989,0.039149
gpt2,logit,6,12,0.395795,0.011153
gpt2,logit,6,13,0.381546,0.047129
gpt2,logit,6,14,0.352266,0.133128
gpt2,logit,6,15,0.284263,0.125317
gpt2,tuned,6,0,4.889771,1.229058
gpt2,tuned,6,1,1.848478,1.344999
gpt2,tuned,6,2,1.537155,0.570396
gpt2,tuned,6,3,0.896419,0.14515
gpt2,tuned,6,4,0.773037,0.271359
gpt2,tuned,6,5,0.537146,0.040815
gpt2,tuned,6,6,0.509538,0.052391
gpt2,tuned,6,7,0.414878,0.081028
gpt2,tuned,6,8,0.377059,0.01859
gpt2,tuned,6,9,0.368026,0.012557
gpt2,tuned,6,10,0.337099,0.033791
gpt2,tuned,6,11,0.334838,0.298847
gpt2,tuned,6,12,0.249518,0.038019
gpt2,tuned,6,13,0.239408,0.036807
gpt2,tuned,6,14,0.22284,0.059019
gpt2,tuned,6,15,0.190474,0.00119
gpt2,lora_topk,6,0,6.231501,2.159907
gpt2,lora_topk,6,1,1.836079,1.083246
gpt2,lora_topk,6,2,1.813812,0.235425
gpt2,lora_topk,6,3,0.657091,0.091386
gpt2,lora_topk,6,4,0.546046,0.745173
gpt2,lora_topk,6,5,0.535622,0.157698
gpt2,lora_topk,6,6,0.348017,0.45054
gpt2,lora_topk,6,7,0.291671,0.000925
gpt2,lora_topk,6,8,0.278018,0.022152
gpt2,lora_topk,6,9,0.269525,0.076392
gpt2,lora_topk,6,10,0.244629,0.06829
gpt2,lora_topk,6,11,0.215676,0.131305
gpt2,lora_topk,6,12,0.200121,0.019659
gpt2,lora_topk,6,13,0.17605,0.02894
gpt2,lora_topk,6,14,0.169652,0.003002
gpt2,lora_topk,6,15,0.104141,0.007662
gpt2,lora_is,6,0,3.904771,2.407478
gpt2,lora_is,6,1,3.209671,1.450032
gpt2,lora_is,6,2,1.149768,0.330227
gpt2,lora_is,6,3,0.925789,0.2582
gpt2,lora_is,6,4,0.440043,0.32158
gpt2,lora_is,6,5,0.407186,0.12529
gpt2,lora_is,6,6,0.389897,0.136212
gpt2,lora_is,6,7,0.364869,0.002858
gpt2,lora_is,6,8,0.342137,0.048321
gpt2,lora_is,6,9,0.228915,0.025242
gpt2,lora_is,6,10,0.206506,0.243501
gpt2,lora_is,6,11,0.199493,0.058154
gpt2,lora_is,6,12,0.160632,0.016061
gpt2,lora_is,6,13,0.157331,0.006872
gpt2,lora_is,6,14,0.15365,0.00074
gpt2,lora_is,6,15,0.123477,0.048677
gpt2,random,8,0,,0.005066
gpt2,random,8,1,,0.003987
gpt2,random,8,2,,0.001198
gpt2,random,8,3,,0.014388
gpt2,random,8,4,,0.001722
gpt2,random,8,5,,0.001428
gpt2,random,8,6,,0.005822
gpt2,random,8,7,,0.016276
gpt2,random,8,8,,0.003218
gpt2,random,8,9,,0.001043
gpt2,random,8,10,,0.001841
gpt2,random,8,11,,0.008723
gpt2,random,8,12,,0.006906
gpt2,random,8,13,,0.008109
gpt2,random,8,14,,0.00139
gpt2,random,8,15,,0.004478
gpt2,logit,8,0,2.356811,0.639649
gpt2,logit,8,1,1.612598,0.624711
gpt2,logit,8,2,1.153543,0.829707
gpt2,logit,8,3,1.051243,0.077626
gpt2,logit,8,4,0.722684,0.649109
gpt2,logit,8,5,0.640748,0.098419
gpt2,logit,8,6,0.596176,0.054684
gpt2,logit,8,7,0.584825,0.029028
gpt2,logit,8,8,0.575663,0.292794
gpt2,logit,8,9,0.400649,0.049942
gpt2,logit,8,10,0.385634,0.120826
gpt2,logit,8,11,0.331801,0.035101
gpt2,logit,8,12,0.311566,0.067686
gpt2,logit,8,13,0.305578,0.115648
gpt2,logit,8,14,0.287377,0.007799
gpt2,logit,8,15,0.21207,0.020324
gpt2,tuned,8,0,2.088421,0.696113
gpt2,tuned,8,1,1.372291,0.193632
gpt2,tuned,8,2,0.911397,0.672717
gpt2,tuned,8,3,0.581011,0.584352
gpt2,tuned,8,4,0.423086,0.144088
gpt2,tuned,8,5,0.418524,0.113561
gpt2,tuned,8,6,0.411938,0.072531
gpt2,tuned,8,7,0.394784,0.030471
gpt2,tuned,8,8,0.285325,0.010917
gpt2,tuned,8,9,0.264231,0.058547
gpt2,tuned,8,10,0.233957,0.001586
gpt2,tuned,8,11,0.209072,0.020034
gpt2,tuned,8,12,0.201637,0.02821
gpt2,tuned,8,13,0.160464,0.022803
gpt2,tuned,8,14,0.13035,0.031286
gpt2,tuned,8,15,0.115399,0.056824
gpt2,lora_topk,8,0,2.205805,0.652787
gpt2,lora_topk,8,1,1.23684,0.600362
gpt2,lora_topk,8,2,0.434439,0.556515
gpt2,lora_topk,8,3,0.408759,0.086807
gpt2,lora_topk,8,4,0.309089,0.069395
gpt2,lora_topk,8,5,0.242803,0.019163
gpt2,lora_topk,8,6,0.23675,0.005525
gpt2,lora_topk,8,7,0.227021,0.037174
gpt2,lora_topk,8,8,0.181254,0.059583
gpt2,lora_topk,8,9,0.169856,0.058402
gpt2,lora_topk,8,10,0.150936,0.118373
gpt2,lora_topk,8,11,0.129489,0.008334
gpt2,lora_topk,8,12,0.126988,0.170684
gpt2,lora_topk,8,13,0.09783,0.042278
gpt2,lora_topk,8,14,0.086374,0.017018
gpt2,lora_topk,8,15,0.069453,0.021112
gpt2,lora_is,8,0,1.637678,0.830439
gpt2,lora_is,8,1,1.50821,0.957786
gpt2,lora_is,8,2,0.928166,0.180128
gpt2,lora_is,8,3,0.772177,0.052627
gpt2,lora_is,8,4,0.377982,0.06852
gpt2,lora_is,8,5,0.340227,0.030824
gpt2,lora_is,8,6,0.317128,0.022996
gpt2,lora_is,8,7,0.284587,0.201968
gpt2,lora_is,8,8,0.268192,0.041881
gpt2,lora_is,8,9,0.17713,0.057241
gpt2,lora_is,8,10,0.169657,0.077566
gpt2,lora_is,8,11,0.14818,0.032281
gpt2,lora_is,8,12,0.108612,0.079683
gpt2,lora_is,8,13,0.104112,0.04598
gpt2,lora_is,8,14,0.103698,0.08083
gpt2,lora_is,8,15,0.076718,0.076176
gpt2,random,10,0,,0.003742
gpt2,random,10,1,,0.003035
gpt2,random,10,2,,0.000944
gpt2,random,10,3,,0.010681
gpt2,random,10,4,,0.001384
gpt2,random,10,5,,0.001209
gpt2,random,10,6,,0.004523
gpt2,random,10,7,,0.010794
gpt2,random,10,8,,0.002674
gpt2,random,10,9,,0.001088
gpt2,random,10,10,,0.001393
gpt2,random,10,11,,0.006297
gpt2,random,10,12,,0.005602
gpt2,random,10,13,,0.005924
gpt2,random,10,14,,0.00117
gpt2,random,10,15,,0.003583
gpt2,logit,10,0,1.53996,0.003714
gpt2,logit,10,1,1.421543,0.71882
gpt2,logit,10,2,0.983925,0.156379
gpt2,logit,10,3,0.530792,0.00311
gpt2,logit,10,4,0.37383,0.030165
gpt2,logit,10,5,0.365648,0.037043
gpt2,logit,10,6,0.336612,0.039943
gpt2,logit,10,7,0.325033,0.008761
gpt2,logit,10,8,0.316097,0.03943
gpt2,logit,10,9,0.313591,0.047272
gpt2,logit,10,10,0.28361,0.048619
gpt2,logit,10,11,0.234035,0.007254
gpt2,logit,10,12,0.212516,0.009594
gpt2,logit,10,13,0.202418,0.004511
gpt2,logit,10,14,0.189829,0.017778
gpt2,logit,10,15,0.125624,0.026614
gpt2,tuned,10,0,1.718835,1.275929
gpt2,tuned,10,1,0.813049,0.017058
gpt2,tuned,10,2,0.610865,0.107789
gpt2,tuned,10,3,0.465179,0.038618
gpt2,tuned,10,4,0.318765,0.041517
gpt2,tuned,10,5,0.221128,0.056768
gpt2,tuned,10,6,0.215715,0.028093
gpt2,tuned,10,7,0.19805,0.045086
gpt2,tuned,10,8,0.178929,0.021572
gpt2,tuned,10,9,0.127072,0.012652
gpt2,tuned,10,10,0.125327,0.010129
gpt2,tuned,10,11,0.118776,0.016048
gpt2,tuned,10,12,0.093406,0.018929
gpt2,tuned,10,13,0.090782,0.005384
gpt2,tuned,10,14,0.082844,0.001694
gpt2,tuned,10,15,0.058512,0.012421
gpt2,lora_topk,10,0,1.088444,1.583949
gpt2,lora_topk,10,1,0.575615,0.043688
gpt2,lora_topk,10,2,0.567479,0.090091
gpt2,lora_topk,10,3,0.554038,0.008465
gpt2,lora_topk,10,4,0.247883,0.0268
gpt2,lora_topk,10,5,0.225128,0.042399
gpt2,lora_topk,10,6,0.199206,0.029566
gpt2,lora_topk,10,7,0.178963,0.060523
gpt2,lora_topk,10,8,0.175795,0.058459
gpt2,lora_topk,10,9,0.164819,0.019296
gpt2,lora_topk,10,10,0.129595,0.003613
gpt2,lora_topk,10,11,0.118539,0.005602
gpt2,lora_topk,10,12,0.093152,0.008453
gpt2,lora_topk,10,13,0.086551,0.003517
gpt2,lora_topk,10,14,0.073763,0.022583
gpt2,lora_topk,10,15,0.052476,0.013296
gpt2,lora_is,10,0,1.142962,0.877371
gpt2,lora_is,10,1,0.842479,0.278438
gpt2,lora_is,10,2,0.478171,0.062257
gpt2,lora_is,10,3,0.359043,0.475952
gpt2,lora_is,10,4,0.312541,0.082659
gpt2,lora_is,10,5,0.210833,0.259133
gpt2,lora_is,10,6,0.181375,0.133685
gpt2,lora_is,10,7,0.181303,0.00505
gpt2,lora_is,10,8,0.177537,0.168918
gpt2,lora_is,10,9,0.135094,0.003966
gpt2,lora_is,10,10,0.116658,0.089975
gpt2,lora_is,10,11,0.097272,0.010843
gpt2,lora_is,10,12,0.077908,0.041125
gpt2,lora_is,10,13,0.076937,0.015645
gpt2,lora_is,10,14,0.069953,0.07012
gpt2,lora_is,10,15,0.066243,0.075409
