model,lens,hs,j,energy,model_kl
llama8b,random,4,0,,0.003096
llama8b,random,4,1,,0.004139
llama8b,random,4,2,,0.001645
llama8b,random,4,3,,0.00233
llama8b,random,4,4,,0.000923
llama8b,random,4,5,,0.001633
llama8b,random,4,6,,0.004008
llama8b,random,4,7,,0.005115
llama8b,random,4,8,,0.001401
llama8b,random,4,9,,0.000919
llama8b,random,4,10,,0.002843
llama8b,random,4,11,,0.000832
llama8b,random,4,12,,0.002658
llama8b,random,4,13,,0.000937
llama8b,random,4,14,,0.001162
llama8b,random,4,15,,0.00378
llama8b,logit,4,0,124.631371,4.297742
llama8b,logit,4,1,80.283257,4.040699
llama8b,logit,4,2,54.623783,1.444971
llama8b,logit,4,3,48.873871,0.591967
llama8b,logit,4,4,23.242563,0.808036
llama8b,logit,4,5,12.50183,0.689065
llama8b,logit,4,6,6.555703,0.107189
llama8b,logit,4,7,2.767561,0.030236
llama8b,logit,4,8,1.855918,0.009512
llama8b,logit,4,9,1.346727,0.016517
llama8b,logit,4,10,1.333169,0.008056
llama8b,logit,4,11,1.284716,0.004714
llama8b,logit,4,12,1.086016,0.032756
llama8b,logit,4,13,0.66775,0.126792
llama8b,logit,4,14,0.568716,0.005963
llama8b,logit,4,15,0.538301,0.003184
llama8b,tuned,4,0,113.547089,4.480574
llama8b,tuned,4,1,64.777519,2.474512
llama8b,tuned,4,2,29.081545,1.335111
llama8b,tuned,4,3,18.902287,0.253331
llama8b,tuned,4,4,10.997301,0.898258
llama8b,tuned,4,5,5.928076,0.19179
llama8b,tuned,4,6,5.45819,0.126054
llama8b,tuned,4,7,3.355203,0.038713
llama8b,tuned,4,8,2.404792,0.289189
llama8b,tuned,4,9,2.281694,0.01307
llama8b,tuned,4,10,1.91949,0.007834
llama8b,tuned,4,11,0.957583,0.066032
llama8b,tuned,4,12,0.855934,0.008412
llama8b,tuned,4,13,0.830607,0.006385
llama8b,tuned,4,14,0.806356,0.002008
llama8b,tuned,4,15,0.401428,0.010338
llama8b,lora_topk,4,0,95.110405,5.477902
llama8b,lora_topk,4,1,50.178669,3.425837
llama8b,lora_topk,4,2,20.421926,0.968776
llama8b,lora_topk,4,3,14.951344,0.533995
llama8b,lora_topk,4,4,2.58301,0.342091
llama8b,lora_topk,4,5,1.378023,0.464674
llama8b,lora_topk,4,6,1.279818,0.170066
