model,task,metric,value
gpt2,arc_challenge,acc_clean,0.2
gpt2,arc_challenge,attack_success,0.538
gpt2,arc_easy,acc_clean,0.344
gpt2,arc_easy,attack_success,0.591
gpt2,boolq,acc_clean,0.484
gpt2,boolq,attack_success,0.719
gpt2,logiqa,acc_clean,0.211
gpt2,logiqa,attack_success,0.378
gpt2,mc_taco,acc_clean,0.664
gpt2,mc_taco,attack_success,0.429
gpt2,mnli,acc_clean,0.336
gpt2,mnli,attack_success,0.535
gpt2,qnli,acc_clean,0.508
gpt2,qnli,attack_success,0.808
gpt2,qqp,acc_clean,0.362
gpt2,qqp,attack_success,0.752
gpt2,sciq,acc_clean,0.407
gpt2,sciq,attack_success,0.714
gpt2,sst2,acc_clean,0.6169724770642202
gpt2,sst2,attack_success,0.658256880733945
