model,task,lens,detector,auroc,ci_lo,ci_hi,d_vs_tuned,d_lo,d_hi
gpt2,arc_challenge,logit,iforest,0.6262,0.595,0.6587,-0.016,-0.0346,0.0021
gpt2,arc_challenge,tuned,iforest,0.6422,0.6089,0.6725,,,
gpt2,arc_challenge,lora_topk,iforest,0.5689,0.5374,0.5982,-0.0732,-0.0919,-0.0536
gpt2,arc_challenge,lora_is,iforest,0.5592,0.5259,0.5898,-0.083,-0.0958,-0.0698
gpt2,arc_challenge,logit,lof,0.7707,0.7421,0.8002,-0.0014,-0.0218,0.0178
gpt2,arc_challenge,tuned,lof,0.772,0.7437,0.7992,,,
gpt2,arc_challenge,lora_topk,lof,0.7007,0.6726,0.7312,-0.0713,-0.0892,-0.054
gpt2,arc_challenge,lora_is,lof,0.6677,0.6381,0.6997,-0.1043,-0.1196,-0.088
gpt2,arc_easy,logit,iforest,0.5159,0.4827,0.5493,0.0014,-0.0165,0.0191
gpt2,arc_easy,tuned,iforest,0.5145,0.482,0.5482,,,
gpt2,arc_easy,lora_topk,iforest,0.4938,0.463,0.5259,-0.0207,-0.0374,-0.0024
gpt2,arc_easy,lora_is,iforest,0.5018,0.4708,0.5332,-0.0127,-0.0222,-0.0033
gpt2,arc_easy,logit,lof,0.5444,0.511,0.5763,-0.0024,-0.0264,0.0207
gpt2,arc_easy,tuned,lof,0.5469,0.5158,0.579,,,
gpt2,arc_easy,lora_topk,lof,0.5158,0.4856,0.5493,-0.0311,-0.0543,-0.009
gpt2,arc_easy,lora_is,lof,0.5252,0.4947,0.5556,-0.0217,-0.0377,-0.005
gpt2,boolq,logit,iforest,0.9828,0.9748,0.9899,0.0879,0.0711,0.1049
gpt2,boolq,tuned,iforest,0.8949,0.8755,0.9149,,,
gpt2,boolq,lora_topk,iforest,0.9446,0.9301,0.9604,0.0497,0.0369,0.0635
gpt2,boolq,lora_is,iforest,0.9791,0.9699,0.9879,0.0842,0.0684,0.0997
gpt2,boolq,logit,lof,0.9946,0.9891,0.9986,0.0268,0.0191,0.0351
gpt2,boolq,tuned,lof,0.9678,0.9571,0.978,,,
gpt2,boolq,lora_topk,lof,0.9956,0.9903,0.999,0.0278,0.0197,0.0364
gpt2,boolq,lora_is,lof,0.9978,0.9937,0.9999,0.03,0.021,0.0393
gpt2,logiqa,logit,iforest,0.4763,0.4486,0.5079,0.0036,-0.0129,0.0207
gpt2,logiqa,tuned,iforest,0.4727,0.4427,0.5049,,,
gpt2,logiqa,lora_topk,iforest,0.4635,0.4321,0.495,-0.0092,-0.0312,0.0111
gpt2,logiqa,lora_is,iforest,0.4747,0.4446,0.5063,0.002,-0.0041,0.0083
gpt2,logiqa,logit,lof,0.5052,0.4735,0.5338,0.008,-0.0153,0.0312
gpt2,logiqa,tuned,lof,0.4972,0.4661,0.5271,,,
gpt2,logiqa,lora_topk,lof,0.4964,0.4666,0.5276,-0.0008,-0.0232,0.0215
gpt2,logiqa,lora_is,lof,0.4964,0.466,0.5271,-0.0008,-0.0142,0.0123
gpt2,mc_taco,logit,iforest,0.9797,0.9692,0.9889,0.0379,0.0274,0.049
gpt2,mc_taco,tuned,iforest,0.9417,0.9252,0.9581,,,
gpt2,mc_taco,lora_topk,iforest,0.9636,0.9506,0.9747,0.0218,0.0136,0.0295
gpt2,mc_taco,lora_is,iforest,0.9664,0.9544,0.9773,0.0247,0.0161,0.0336
gpt2,mc_taco,logit,lof,0.9999,0.9998,1.0,0.0015,0.0005,0.0027
gpt2,mc_taco,tuned,lof,0.9984,0.9972,0.9994,,,
gpt2,mc_taco,lora_topk,lof,1.0,1.0,1.0,0.0016,0.0006,0.0028
gpt2,mc_taco,lora_is,lof,0.9998,0.9996,0.9999,0.0013,0.0004,0.0026
gpt2,mnli,logit,iforest,0.9356,0.9188,0.9512,-0.0257,-0.038,-0.0142
gpt2,mnli,tuned,iforest,0.9613,0.9495,0.9717,,,
gpt2,mnli,lora_topk,iforest,0.9761,0.9659,0.9848,0.0148,0.0092,0.0214
gpt2,mnli,lora_is,iforest,0.9447,0.9299,0.9583,-0.0166,-0.0252,-0.009
gpt2,mnli,logit,lof,0.9825,0.9721,0.9906,-0.0116,-0.0195,-0.0053
gpt2,mnli,tuned,lof,0.9941,0.988,0.9984,,,
gpt2,mnli,lora_topk,lof,0.9957,0.9897,0.9998,0.0016,0.0006,0.0029
gpt2,mnli,lora_is,lof,0.9891,0.9812,0.9953,-0.005,-0.0096,-0.0016
gpt2,qnli,logit,iforest,0.9993,0.9987,0.9998,0.0178,0.0106,0.0254
gpt2,qnli,tuned,iforest,0.9815,0.9736,0.9889,,,
gpt2,qnli,lora_topk,iforest,0.9972,0.9948,0.9988,0.0156,0.0092,0.0229
gpt2,qnli,lora_is,iforest,0.9954,0.9926,0.9977,0.0139,0.0075,0.0211
gpt2,qnli,logit,lof,1.0,0.9999,1.0,0.0004,0.0001,0.001
gpt2,qnli,tuned,lof,0.9995,0.999,0.9999,,,
gpt2,qnli,lora_topk,lof,1.0,1.0,1.0,0.0005,0.0001,0.001
gpt2,qnli,lora_is,lof,1.0,0.9999,1.0,0.0004,0.0001,0.001
gpt2,qqp,logit,iforest,0.9942,0.9891,0.9978,0.0577,0.0424,0.0732
gpt2,qqp,tuned,iforest,0.9365,0.9186,0.9534,,,
gpt2,qqp,lora_topk,iforest,0.9868,0.9784,0.9936,0.0504,0.0371,0.0647
gpt2,qqp,lora_is,iforest,0.9836,0.9744,0.9914,0.0471,0.0347,0.0602
gpt2,qqp,logit,lof,1.0,1.0,1.0,0.0014,0.0005,0.0026
gpt2,qqp,tuned,lof,0.9986,0.9974,0.9995,,,
gpt2,qqp,lora_topk,lof,1.0,1.0,1.0,0.0014,0.0005,0.0026
gpt2,qqp,lora_is,lof,0.9999,0.9998,1.0,0.0013,0.0004,0.0026
gpt2,sciq,logit,iforest,0.5804,0.5475,0.6109,-0.0279,-0.0442,-0.0101
gpt2,sciq,tuned,iforest,0.6083,0.5769,0.6385,,,
gpt2,sciq,lora_topk,iforest,0.6113,0.5766,0.6438,0.003,-0.0141,0.0201
gpt2,sciq,lora_is,iforest,0.6068,0.574,0.6385,-0.0015,-0.0136,0.0105
gpt2,sciq,logit,lof,0.6392,0.6101,0.6697,-0.043,-0.0619,-0.0234
gpt2,sciq,tuned,lof,0.6822,0.6535,0.7103,,,
gpt2,sciq,lora_topk,lof,0.6582,0.6267,0.6892,-0.024,-0.0423,-0.0048
gpt2,sciq,lora_is,lof,0.6627,0.6319,0.6917,-0.0194,-0.034,-0.0047
gpt2,sst2,logit,iforest,0.9971,0.9929,0.9999,0.0005,-0.0045,0.0054
gpt2,sst2,tuned,iforest,0.9965,0.9918,0.9999,,,
gpt2,sst2,lora_topk,iforest,0.9884,0.9785,0.9962,-0.0082,-0.0152,-0.0027
gpt2,sst2,lora_is,iforest,0.9956,0.9895,0.9997,-0.0009,-0.0044,0.0024
gpt2,sst2,logit,lof,1.0,1.0,1.0,0.0001,0.0,0.0003
gpt2,sst2,tuned,lof,0.9999,0.9997,1.0,,,
gpt2,sst2,lora_topk,lof,0.9999,0.9998,1.0,0.0001,-0.0001,0.0003
gpt2,sst2,lora_is,lof,1.0,1.0,1.0,0.0001,0.0,0.0003
