model,task,lens,detector,auroc,ci_lo,ci_hi
llama70b,arc_challenge,logit,iforest,0.7024,0.6374,0.7692
llama70b,arc_challenge,lora_is,iforest,0.6921,0.6259,0.7609
llama70b,arc_challenge,logit,lof,0.6954,0.6285,0.7593
llama70b,arc_challenge,lora_is,lof,0.7594,0.6981,0.8152
llama70b,arc_easy,logit,iforest,0.6959,0.6281,0.7643
llama70b,arc_easy,lora_is,iforest,0.7188,0.6553,0.7882
llama70b,arc_easy,logit,lof,0.6774,0.6108,0.7436
llama70b,arc_easy,lora_is,lof,0.7956,0.7379,0.8481
llama70b,boolq,logit,iforest,0.946,0.9078,0.9737
llama70b,boolq,lora_is,iforest,0.9614,0.9272,0.9869
llama70b,boolq,logit,lof,0.9973,0.9928,1.0
llama70b,boolq,lora_is,lof,0.9958,0.9896,0.9998
llama70b,logiqa,logit,iforest,0.6735,0.6013,0.7352
llama70b,logiqa,lora_is,iforest,0.6028,0.5408,0.67
llama70b,logiqa,logit,lof,0.688,0.6196,0.7475
llama70b,logiqa,lora_is,lof,0.6712,0.6116,0.7336
llama70b,mc_taco,logit,iforest,0.9782,0.9564,0.994
llama70b,mc_taco,lora_is,iforest,0.9906,0.9764,0.999
llama70b,mc_taco,logit,lof,1.0,1.0,1.0
llama70b,mc_taco,lora_is,lof,1.0,1.0,1.0
llama70b,mnli,logit,iforest,0.9868,0.9703,0.9979
llama70b,mnli,lora_is,iforest,0.9806,0.9628,0.9938
llama70b,mnli,logit,lof,1.0,1.0,1.0
llama70b,mnli,lora_is,lof,0.9999,0.9995,1.0
llama70b,qnli,logit,iforest,0.9993,0.9978,1.0
llama70b,qnli,lora_is,iforest,0.988,0.9734,1.0
llama70b,qnli,logit,lof,0.9954,0.9859,1.0
llama70b,qnli,lora_is,lof,0.99,0.97,1.0
llama70b,qqp,logit,iforest,0.9952,0.9864,1.0
llama70b,qqp,lora_is,iforest,0.9802,0.9535,0.9988
llama70b,qqp,logit,lof,1.0,1.0,1.0
llama70b,qqp,lora_is,lof,1.0,1.0,1.0
llama70b,sciq,logit,iforest,0.577,0.5025,0.6454
llama70b,sciq,lora_is,iforest,0.6398,0.572,0.7085
llama70b,sciq,logit,lof,0.5647,0.49,0.6331
llama70b,sciq,lora_is,lof,0.6746,0.6072,0.7442
llama70b,sst2,logit,iforest,0.9952,0.9842,1.0
llama70b,sst2,lora_is,iforest,1.0,1.0,1.0
llama70b,sst2,logit,lof,1.0,1.0,1.0
llama70b,sst2,lora_is,lof,1.0,1.0,1.0
