model,task,metric,value
llama8b,arc_challenge,acc_clean,0.35
llama8b,arc_challenge,attack_success,0.666
llama8b,arc_easy,acc_clean,0.604
llama8b,arc_easy,attack_success,0.762
llama8b,boolq,acc_clean,0.849
llama8b,boolq,attack_success,0.949
llama8b,logiqa,acc_clean,0.208
llama8b,logiqa,attack_success,0.688
llama8b,mc_taco,acc_clean,0.724
llama8b,mc_taco,attack_success,0.833
llama8b,mnli,acc_clean,0.547
llama8b,mnli,attack_success,0.979
llama8b,qnli,acc_clean,0.603
llama8b,qnli,attack_success,1.0
llama8b,qqp,acc_clean,0.544
llama8b,qqp,attack_success,1.0
llama8b,sciq,acc_clean,0.831
llama8b,sciq,attack_success,0.93
llama8b,sst2,acc_clean,0.930045871559633
llama8b,sst2,attack_success,0.5768348623853211
