model,task,lens,detector,auroc,ci_lo,ci_hi,d_vs_tuned,d_lo,d_hi
llama8b,arc_challenge,logit,iforest,0.9215,0.9053,0.9373,0.007,-0.0147,0.0288
llama8b,arc_challenge,tuned,iforest,0.9146,0.8974,0.9303,,,
llama8b,arc_challenge,lora_topk,iforest,0.8936,0.8732,0.912,-0.0209,-0.0374,-0.0045
llama8b,arc_challenge,lora_is,iforest,0.848,0.8238,0.8723,-0.0665,-0.0845,-0.0491
llama8b,arc_challenge,logit,lof,0.9178,0.9023,0.9324,-0.0451,-0.0616,-0.0301
llama8b,arc_challenge,tuned,lof,0.9629,0.9518,0.9723,,,
llama8b,arc_challenge,lora_topk,lof,0.9554,0.9425,0.9665,-0.0075,-0.016,0.001
llama8b,arc_challenge,lora_is,lof,0.9168,0.9006,0.9325,-0.0461,-0.058,-0.0339
llama8b,arc_easy,logit,iforest,0.8252,0.8011,0.8484,0.0368,0.0079,0.0648
llama8b,arc_easy,tuned,iforest,0.7885,0.762,0.8135,,,
llama8b,arc_easy,lora_topk,iforest,0.7784,0.7533,0.8039,-0.01,-0.0267,0.0078
llama8b,arc_easy,lora_is,iforest,0.7545,0.7258,0.7798,-0.034,-0.0523,-0.0168
llama8b,arc_easy,logit,lof,0.776,0.7503,0.8016,0.027,-0.0059,0.0619
llama8b,arc_easy,tuned,lof,0.7491,0.7215,0.776,,,
llama8b,arc_easy,lora_topk,lof,0.7751,0.7491,0.8007,0.026,0.0056,0.0481
llama8b,arc_easy,lora_is,lof,0.7487,0.7189,0.7747,-0.0004,-0.0216,0.0187
llama8b,boolq,logit,iforest,0.9478,0.9341,0.9597,-0.0098,-0.0225,0.005
llama8b,boolq,tuned,iforest,0.9576,0.9414,0.9722,,,
llama8b,boolq,lora_topk,iforest,0.9785,0.9689,0.9876,0.0209,0.0092,0.0334
llama8b,boolq,lora_is,iforest,0.9759,0.9644,0.9859,0.0183,0.0068,0.0309
llama8b,boolq,logit,lof,0.9786,0.9666,0.9884,-0.0107,-0.0203,-0.0024
llama8b,boolq,tuned,lof,0.9892,0.9813,0.9959,,,
llama8b,boolq,lora_topk,lof,0.9961,0.9904,1.0,0.0069,0.0022,0.0131
llama8b,boolq,lora_is,lof,0.9938,0.986,0.9998,0.0045,0.0008,0.0096
llama8b,logiqa,logit,iforest,0.8297,0.8072,0.8517,0.233,0.2011,0.2637
llama8b,logiqa,tuned,iforest,0.5967,0.5675,0.6272,,,
llama8b,logiqa,lora_topk,iforest,0.6028,0.5723,0.6328,0.0061,-0.0158,0.0255
llama8b,logiqa,lora_is,iforest,0.5923,0.5626,0.6224,-0.0044,-0.0175,0.0077
llama8b,logiqa,logit,lof,0.8117,0.789,0.8357,0.146,0.117,0.1733
llama8b,logiqa,tuned,lof,0.6657,0.6371,0.694,,,
llama8b,logiqa,lora_topk,lof,0.6704,0.642,0.6998,0.0046,-0.0172,0.0276
llama8b,logiqa,lora_is,lof,0.6734,0.6452,0.7032,0.0076,-0.0107,0.0265
llama8b,mc_taco,logit,iforest,0.9794,0.9694,0.9882,-0.0146,-0.0221,-0.0078
llama8b,mc_taco,tuned,iforest,0.9939,0.9877,0.9983,,,
llama8b,mc_taco,lora_topk,iforest,0.9932,0.9869,0.9984,-0.0007,-0.003,0.0014
llama8b,mc_taco,lora_is,iforest,0.9907,0.9833,0.997,-0.0032,-0.0071,0.0003
llama8b,mc_taco,logit,lof,0.996,0.9903,0.9999,-0.0039,-0.0096,-0.0
llama8b,mc_taco,tuned,lof,0.9999,0.9998,1.0,,,
llama8b,mc_taco,lora_topk,lof,1.0,1.0,1.0,0.0001,0.0,0.0002
llama8b,mc_taco,lora_is,lof,1.0,1.0,1.0,0.0001,0.0,0.0002
llama8b,mnli,logit,iforest,0.9705,0.9611,0.9793,0.0127,0.0064,0.019
llama8b,mnli,tuned,iforest,0.9578,0.946,0.9686,,,
llama8b,mnli,lora_topk,iforest,0.9289,0.913,0.9427,-0.0289,-0.0374,-0.0213
llama8b,mnli,lora_is,iforest,0.9351,0.9205,0.949,-0.0227,-0.0306,-0.0156
llama8b,mnli,logit,lof,0.9982,0.9967,0.9994,0.0026,0.0001,0.006
llama8b,mnli,tuned,lof,0.9956,0.9914,0.9988,,,
llama8b,mnli,lora_topk,lof,0.9954,0.9921,0.998,-0.0003,-0.0047,0.0038
llama8b,mnli,lora_is,lof,0.9909,0.9847,0.9959,-0.0047,-0.01,-0.0005
llama8b,qnli,logit,iforest,0.9943,0.9874,0.9987,-0.0042,-0.0092,-0.0009
llama8b,qnli,tuned,iforest,0.9985,0.9957,1.0,,,
llama8b,qnli,lora_topk,iforest,0.9998,0.9994,1.0,0.0013,0.0,0.0037
llama8b,qnli,lora_is,iforest,0.999,0.9968,1.0,0.0005,-0.0,0.0013
llama8b,qnli,logit,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qnli,tuned,lof,1.0,1.0,1.0,,,
llama8b,qnli,lora_topk,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qnli,lora_is,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qqp,logit,iforest,0.9996,0.9989,1.0,-0.0,-0.0003,0.0002
llama8b,qqp,tuned,iforest,0.9996,0.999,1.0,,,
llama8b,qqp,lora_topk,iforest,0.9975,0.9928,1.0,-0.0022,-0.0063,0.0
llama8b,qqp,lora_is,iforest,0.9996,0.9989,1.0,-0.0,-0.0002,0.0002
llama8b,qqp,logit,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qqp,tuned,lof,1.0,1.0,1.0,,,
llama8b,qqp,lora_topk,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,qqp,lora_is,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sciq,logit,iforest,0.7208,0.6925,0.7485,0.03,-0.0016,0.0613
llama8b,sciq,tuned,iforest,0.6909,0.6635,0.7208,,,
llama8b,sciq,lora_topk,iforest,0.6774,0.6489,0.7072,-0.0135,-0.0353,0.0102
llama8b,sciq,lora_is,iforest,0.6256,0.5956,0.656,-0.0652,-0.0901,-0.0419
llama8b,sciq,logit,lof,0.7196,0.6928,0.7467,0.1059,0.075,0.1381
llama8b,sciq,tuned,lof,0.6137,0.5862,0.6435,,,
llama8b,sciq,lora_topk,lof,0.6343,0.606,0.666,0.0206,-0.0044,0.0468
llama8b,sciq,lora_is,lof,0.6082,0.5773,0.6389,-0.0055,-0.0295,0.0179
llama8b,sst2,logit,iforest,1.0,1.0,1.0,-0.0,-0.0,0.0
llama8b,sst2,tuned,iforest,1.0,1.0,1.0,,,
llama8b,sst2,lora_topk,iforest,0.9996,0.9988,1.0,-0.0004,-0.0012,-0.0
llama8b,sst2,lora_is,iforest,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sst2,logit,lof,1.0,1.0,1.0,0.0,0.0,0.0
llama8b,sst2,tuned,lof,1.0,1.0,1.0,,,
llama8b,sst2,lora_topk,lof,1.0,0.9999,1.0,-0.0,-0.0001,0.0
llama8b,sst2,lora_is,lof,1.0,1.0,1.0,0.0,0.0,0.0
