model,task,metric,value
llama8b,arc_challenge,acc_clean,0.36833333333333335
llama8b,arc_challenge,attack_success,0.6583333333333333
llama8b,arc_easy,acc_clean,0.6
llama8b,arc_easy,attack_success,0.7283333333333334
llama8b,boolq,acc_clean,0.8316666666666667
llama8b,boolq,attack_success,0.9766666666666667
llama8b,logiqa,acc_clean,0.185
llama8b,logiqa,attack_success,0.6166666666666667
llama8b,mc_taco,acc_clean,0.775
llama8b,mc_taco,attack_success,0.9966666666666667
llama8b,mnli,acc_clean,0.6866666666666666
llama8b,mnli,attack_success,0.9866666666666667
llama8b,qnli,acc_clean,0.745
llama8b,qnli,attack_success,1.0
llama8b,qqp,acc_clean,0.7733333333333333
llama8b,qqp,attack_success,1.0
llama8b,sciq,acc_clean,0.8633333333333333
llama8b,sciq,attack_success,0.7133333333333334
llama8b,sst2,acc_clean,0.96
llama8b,sst2,attack_success,0.6983333333333334
