model,task,lens,detector,auroc,ci_lo,ci_hi,d_vs_tuned,d_lo,d_hi
llama8b,arc_challenge,logit,iforest,0.8867,0.8598,0.9111,0.0132,-0.0147,0.0432
llama8b,arc_challenge,tuned,iforest,0.8735,0.8461,0.8968,,,
llama8b,arc_challenge,lora_topk,iforest,0.8841,0.8582,0.9089,0.0106,-0.009,0.0317
llama8b,arc_challenge,lora_is,iforest,0.815,0.7835,0.8463,-0.0585,-0.0774,-0.0376
llama8b,arc_challenge,logit,lof,0.8797,0.8528,0.9042,-0.0336,-0.0617,-0.0064
llama8b,arc_challenge,tuned,lof,0.9133,0.8912,0.9333,,,
llama8b,arc_challenge,lora_topk,lof,0.9141,0.892,0.9336,0.0009,-0.0175,0.0199
llama8b,arc_challenge,lora_is,lof,0.8339,0.8023,0.8632,-0.0794,-0.1032,-0.0558
llama8b,arc_easy,logit,iforest,0.7395,0.7017,0.7748,0.028,-0.0069,0.0649
llama8b,arc_easy,tuned,iforest,0.7114,0.6741,0.7469,,,
llama8b,arc_easy,lora_topk,iforest,0.7342,0.6977,0.7685,0.0228,-0.0021,0.05
llama8b,arc_easy,lora_is,iforest,0.6351,0.5968,0.6769,-0.0763,-0.1024,-0.0491
llama8b,arc_easy,logit,lof,0.688,0.6469,0.7268,0.0604,0.0159,0.108
llama8b,arc_easy,tuned,lof,0.6277,0.5878,0.6667,,,
llama8b,arc_easy,lora_topk,lof,0.7406,0.7059,0.7768,0.1129,0.0828,0.1455
llama8b,arc_easy,lora_is,lof,0.5969,0.5537,0.6395,-0.0308,-0.0604,-0.0012
llama8b,boolq,logit,iforest,0.962,0.9452,0.977,-0.0276,-0.0421,-0.015
llama8b,boolq,tuned,iforest,0.9896,0.9801,0.9966,,,
llama8b,boolq,lora_topk,iforest,0.9953,0.9875,0.9998,0.0057,0.0006,0.0117
llama8b,boolq,lora_is,iforest,0.9845,0.9731,0.9935,-0.0051,-0.0147,0.003
llama8b,boolq,logit,lof,0.9724,0.9584,0.9849,-0.0139,-0.0273,-0.0009
llama8b,boolq,tuned,lof,0.9863,0.9741,0.9963,,,
llama8b,boolq,lora_topk,lof,0.9965,0.9897,1.0,0.0102,0.0002,0.0229
llama8b,boolq,lora_is,lof,0.9948,0.9871,0.9996,0.0085,-0.001,0.0198
llama8b,logiqa,logit,iforest,0.7851,0.7525,0.8143,0.1918,0.1528,0.2294
llama8b,logiqa,tuned,iforest,0.5933,0.5517,0.6311,,,
