model,ds,tau,chooser,pick,causal_best,nL,gain_pct,P_at_pick,P_obs,KL_at_pick,top1keep,eff,null
GPT-2,hand,1.0,oracle(argmaxE),10,10,12,99.99999999999999,0.13204673,0.08432417746268096,0.498673,0.528302,0.09569909046072084,False
GPT-2,hand,1.0,heuristic(last),11,10,12,97.59650324843156,0.13089972,0.08432417746268096,0.603381,0.5,0.07719093331960906,False
GPT-2,hand,1.0,lens:logit,10,10,12,99.99999999999999,0.13204673,0.08432417746268096,0.498673,0.528302,0.09569909046072084,False
GPT-2,hand,1.0,lens:is_r64,11,10,12,97.59650324843156,0.13089972,0.08432417746268096,0.603381,0.5,0.07719093331960906,False
GPT-2,hand,1.0,lens:topk_r64,11,10,12,97.59650324843156,0.13089972,0.08432417746268096,0.603381,0.5,0.07719093331960906,False
GPT-2,hand,1.0,lens:tuned,11,10,12,97.59650324843156,0.13089972,0.08432417746268096,0.603381,0.5,0.07719093331960906,False
GPT-2,hand,2.0,oracle(argmaxE),10,10,12,100.0,0.12066088,0.08432417746268096,1.337815,0.311321,0.027161231214569304,False
GPT-2,hand,2.0,heuristic(last),11,10,12,83.66285439934144,0.1147245,0.08432417746268096,1.555571,0.311321,0.01954287045549128,False
GPT-2,hand,2.0,lens:logit,10,10,12,100.0,0.12066088,0.08432417746268096,1.337815,0.311321,0.027161231214569304,False
GPT-2,hand,2.0,lens:is_r64,11,10,12,83.66285439934144,0.1147245,0.08432417746268096,1.555571,0.311321,0.01954287045549128,False
GPT-2,hand,2.0,lens:topk_r64,11,10,12,83.66285439934144,0.1147245,0.08432417746268096,1.555571,0.311321,0.01954287045549128,False
GPT-2,hand,2.0,lens:tuned,11,10,12,83.66285439934144,0.1147245,0.08432417746268096,1.555571,0.311321,0.01954287045549128,False
GPT-2,hand,4.0,oracle(argmaxE),0,0,12,,0.07621054,0.08432417746268096,0.159006,0.839623,-0.05102724087569632,True
GPT-2,hand,4.0,heuristic(last),11,0,12,,0.05792661,0.08432417746268096,3.044697,0.188679,-0.008670014606603205,True
GPT-2,hand,4.0,lens:logit,10,0,12,,0.06629702,0.08432417746268096,2.728272,0.216981,-0.006607536734856702,True
GPT-2,hand,4.0,lens:is_r64,11,0,12,,0.05792661,0.08432417746268096,3.044697,0.188679,-0.008670014606603205,True
GPT-2,hand,4.0,lens:topk_r64,11,0,12,,0.05792661,0.08432417746268096,3.044697,0.188679,-0.008670014606603205,True
GPT-2,hand,4.0,lens:tuned,11,0,12,,0.05792661,0.08432417746268096,3.044697,0.188679,-0.008670014606603205,True
GPT-2,2wmh,1.0,oracle(argmaxE),1,1,12,100.0,0.00076533,0.0007368326574266156,0.006261,0.893333,0.0045515640589976715,False
GPT-2,2wmh,1.0,heuristic(last),11,1,12,-410.92483316667455,0.00061973,0.0007368326574266156,0.199769,0.41,-0.0005861903369722812,False
GPT-2,2wmh,1.0,lens:logit,10,1,12,-402.4328132747557,0.00062215,0.0007368326574266156,0.187183,0.423333,-0.0006126766716347938,False
GPT-2,2wmh,1.0,lens:is_r64,8,1,12,-427.03159816828855,0.00061514,0.0007368326574266156,0.153359,0.48,-0.0007935149383252082,False
GPT-2,2wmh,1.0,lens:topk_r64,8,1,12,-427.03159816828855,0.00061514,0.0007368326574266156,0.153359,0.48,-0.0007935149383252082,False
GPT-2,2wmh,1.0,lens:tuned,5,1,12,-499.52958617119737,0.00059448,0.0007368326574266156,0.080066,0.656667,-0.0017779414161643598,False
GPT-2,2wmh,2.0,oracle(argmaxE),0,0,12,100.0,0.00077561,0.0007368326574266156,0.006478,0.906667,0.0059860053370460655,False
GPT-2,2wmh,2.0,heuristic(last),11,0,12,-235.55677456172685,0.00064549,0.0007368326574266156,0.614754,0.236667,-0.0001485840798540809,False
GPT-2,2wmh,2.0,lens:logit,10,0,12,-253.42803530344793,0.00063856,0.0007368326574266156,0.571918,0.253333,-0.00017182997812031721,False
GPT-2,2wmh,2.0,lens:is_r64,8,0,12,-439.6708131919193,0.00056634,0.0007368326574266156,0.440211,0.273333,-0.0003872975855365168,False
GPT-2,2wmh,2.0,lens:topk_r64,8,0,12,-439.6708131919193,0.00056634,0.0007368326574266156,0.440211,0.273333,-0.0003872975855365168,False
GPT-2,2wmh,2.0,lens:tuned,5,0,12,-350.85606283912307,0.00060078,0.0007368326574266156,0.227065,0.46,-0.0005991793425962419,False
