layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_P_ans_tau4.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_KL_tau4.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0,causal_top1keep_tau4.0
0,0.00075061,0.00077561,0.00085899,0.001521,0.006478,0.096573,0.953333,0.906667,0.713333
1,0.00076533,0.00076028,0.00063511,0.006261,0.022545,0.098222,0.893333,0.793333,0.633333
2,0.00069886,0.00061856,0.00050315,0.019987,0.071110,0.250320,0.810000,0.650000,0.446667
3,0.00068175,0.00061319,0.00056475,0.039783,0.110480,0.343683,0.743333,0.606667,0.413333
4,0.00061517,0.00053993,0.00048673,0.070450,0.213353,0.666170,0.666667,0.506667,0.316667
5,0.00059448,0.00060078,0.00059571,0.080066,0.227065,0.639358,0.656667,0.460000,0.283333
6,0.00062247,0.00058961,0.00064665,0.106090,0.292978,0.754850,0.596667,0.346667,0.180000
7,0.00063112,0.00061821,0.00070518,0.123615,0.346462,0.824078,0.536667,0.313333,0.213333
8,0.00061514,0.00056634,0.00045686,0.153359,0.440211,0.984249,0.480000,0.273333,0.173333
9,0.00063689,0.00061200,0.00051735,0.178405,0.542356,1.266509,0.436667,0.260000,0.170000
10,0.00062215,0.00063856,0.00059692,0.187183,0.571918,1.343660,0.423333,0.253333,0.150000
11,0.00061973,0.00064549,0.00050510,0.199769,0.614754,1.399405,0.410000,0.236667,0.153333
