Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.7540349972477998e-07,0.0003175587044097483,0.00038126943400129676,3.4548898838693276e-05,7.995947271410841e-06,2.0307295471866382e-06,4.647613241104409e-05,5.274527211440727e-05,2.6875321168517985e-07,0.00013794486585538834,2.053212847386021e-05,6.371837571350625e-06,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,4.569703378365375e-06,1.0607217326707996e-08,5.578701802733121e-07,7.13835461851886e-08,3.937244974494547e-10,5.8246230061342885e-09,1.0735555555640985e-08,1.3578986113316205e-07,2.1540820682730555e-08,6.548230402358968e-08,6.4222938078728475e-09,2.3578912156096976e-09,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.29599492943089e-06,3.0340410376084037e-05,5.1322931540198624e-05,1.1372758308425546e-05,3.6181990026307176e-07,2.5034941586454806e-07,1.314382274131276e-07,9.416948643092837e-08,4.610280157635316e-08,5.3377011255406615e-08,6.500919247365289e-10,6.279957109889267e-10,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.5044073481694795e-06,2.49031063503935e-06,6.831377685756479e-10,2.4442732637908193e-07,8.244654736699886e-08,8.496769510202284e-08,1.116910880227806e-06,2.18987788684899e-05,1.3626809902689274e-07,8.759343472775072e-09,1.2140675131888656e-09,1.0940186534469376e-09,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,4.594537131197285e-06,6.966915407247143e-06,7.626212664035847e-06,1.2578048881550785e-05,6.643917004112154e-06,2.7505952857609373e-06,5.6608628256071825e-06,6.137061063782312e-07,1.0180212939303601e-07,3.45467334739169e-08,1.5431334077220527e-07,6.381383599318724e-08,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,3.4742356547212694e-06,4.829176759812981e-05,7.210730109363794e-05,3.408658812986687e-05,6.311945526249474e-06,5.992720275571628e-07,2.595145076611516e-07,1.8362525722182e-08,8.687430863574264e-08,1.8018488034954316e-08,1.0448374387905801e-09,2.553935118942974e-10,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.748046874032298e-07,3.247249651394668e-07,3.672017001576933e-08,4.622397575815285e-09,1.5565437827547157e-11,2.6785694091902533e-14,4.8188175671981526e-11,1.0545668613533288e-13,1.7975470626417113e-14,2.3968856922285685e-18,4.812105981700718e-15,2.5235908825013914e-15,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,3.7673475162591785e-05,3.346983066876419e-05,2.1165202269912697e-05,6.030755685060285e-05,1.3319192476046737e-05,3.562702204362722e-07,8.945549438976741e-07,4.366203398831203e-09,2.0861894256540836e-07,1.8886218811076105e-07,1.685413195673391e-07,3.7389352769423567e-07,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.680566962316334e-09,3.0927814975711954e-08,5.44441297600784e-11,3.0947921308976944e-11,8.033118170658327e-09,2.418601541265275e-09,5.071317172623824e-13,2.0854958385219113e-12,2.2874098990800784e-13,5.839729123046368e-21,9.75492970837046e-25,9.483306644461518e-22,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.2839374714276346e-07,1.7892208461489645e-06,3.0238575732255413e-07,5.461185992317041e-07,8.554094961255032e-07,3.2606235436105635e-06,1.658120527281426e-05,1.49423698303508e-07,1.8232213960800436e-07,1.8679816093936097e-07,1.0105680985361687e-06,5.0203525781000735e-09,4.707958964900172e-07,1.0843669770110864e-05
