layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_P_ans_tau4.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_KL_tau4.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0,causal_top1keep_tau4.0
0,0.08517876,0.08487155,0.07621054,0.070537,0.075195,0.159006,0.943396,0.905660,0.839623
1,0.08603644,0.08201082,0.07036178,0.078022,0.106539,0.248373,0.924528,0.830189,0.688679
2,0.08604153,0.08270937,0.07045990,0.088417,0.125708,0.287313,0.886792,0.830189,0.698113
3,0.08618870,0.08193579,0.07494820,0.093909,0.139309,0.359537,0.858491,0.783019,0.622642
4,0.08638743,0.08251642,0.06915409,0.104294,0.176869,0.497717,0.830189,0.716981,0.481132
5,0.08733642,0.08228269,0.06415949,0.117696,0.214718,0.575738,0.820755,0.669811,0.481132
6,0.09151283,0.09000881,0.07143088,0.147980,0.327244,0.910142,0.773585,0.641509,0.415094
7,0.09451861,0.08968419,0.06418424,0.169294,0.393561,1.046892,0.783019,0.575472,0.386792
8,0.10243309,0.10021084,0.06581979,0.235454,0.640317,1.497822,0.688679,0.509434,0.301887
9,0.12183517,0.11563622,0.06942807,0.382083,1.029533,2.117125,0.613208,0.396226,0.226415
10,0.13204673,0.12066088,0.06629702,0.498673,1.337815,2.728272,0.528302,0.311321,0.216981
11,0.13089972,0.11472450,0.05792661,0.603381,1.555571,3.044697,0.500000,0.311321,0.188679
