Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,7.719955164020575e-08,2.3059777731759823e-07,1.2576727215218853e-07,2.2699401824866072e-07,1.006061793873414e-07,3.6762517652277893e-07,1.3838412371569575e-07,1.1125055010552387e-07,2.209846172718244e-07,1.294582943955902e-06,4.56286261396599e-06,5.846356361871585e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.2125181203591637e-05,9.353728387395677e-07,6.565472290276375e-07,2.1179114355618367e-06,3.3074220482376404e-06,7.972735147632193e-06,4.868484211328905e-06,4.067413783559459e-07,1.9627896108431742e-07,2.9462552220138605e-07,1.7101042431022506e-06,3.6519872082863e-05,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,9.439327550353482e-05,4.620591880666325e-06,5.693092134606559e-06,5.2897898967785295e-06,1.3112564829498297e-06,1.4747216710020439e-06,3.123959686490707e-07,4.93149116209679e-07,2.2604484684052295e-07,2.0791662791452836e-06,1.323147262155544e-05,0.00044503778917714953,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,3.9732860557251115e-08,3.573073570350971e-08,8.744135726601598e-08,1.8115474631485995e-07,2.2037431790522533e-07,3.339390275414189e-07,2.9903864628977317e-07,9.405253109662226e-08,1.5032514966151211e-07,3.0382324212041567e-07,6.912880223808315e-08,2.1069565264042467e-05,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,8.661373271934281e-07,1.4930569705029484e-06,2.4014511836867314e-06,9.453015081817284e-07,8.31440445381304e-07,8.753954716667067e-07,2.702175265767437e-07,2.4582973878750636e-07,4.898300858258153e-07,1.7070035028154962e-05,6.192982255015522e-05,0.00033914874074980617,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,6.529735401272774e-05,5.378954028856242e-06,5.1467159210005775e-06,4.562173216982046e-06,6.666502940788632e-07,1.4274316981754964e-06,5.336664798960555e-07,2.6265109909218154e-07,1.6170200467513496e-07,9.251440360458218e-07,7.220864063128829e-06,0.00048464006977155805,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,2.176060442948824e-09,7.313350369742011e-09,8.227005743322025e-09,3.662033876139503e-08,4.852623192164174e-08,8.055475575474702e-08,9.894795027776127e-08,3.9614533875464986e-08,1.7459768741900916e-08,4.2920573832816444e-06,1.6025019249354955e-06,2.585516995168291e-05,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,8.344781963387504e-05,8.624817382951733e-06,5.671346571034519e-06,1.1696054571075365e-05,4.85275563733012e-07,3.26014095719529e-08,9.648674748063968e-09,2.17659046342078e-08,1.5234483896620077e-08,6.689141685001232e-08,1.4083155974731199e-07,3.918123911716975e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.543479808991833e-07,1.3326597070317803e-07,1.0184132293034054e-07,7.49085771190039e-08,1.9011505703048215e-09,3.1331830463443566e-09,1.4185854269044285e-08,1.983011266304402e-08,7.687569336667366e-08,0.00010235980153083801,0.0044892230071127415,0.0022743213921785355,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.789310033473157e-08,1.1275361799789607e-07,1.571038552583559e-07,1.537781031402119e-07,1.508063540711646e-08,1.1671399846591157e-08,1.0903960401265067e-08,7.980628935477796e-10,3.960345940079435e-11,8.108914928417477e-11,1.2025483941968673e-09,6.241971277631819e-07,4.707958964900172e-07,1.0843669770110864e-05
