Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.4381589608092327e-05,5.999872155371122e-05,4.820168760488741e-05,3.2684241887182e-05,2.9662434826605022e-05,3.318012386444025e-05,0.00010200759425060824,8.485907164867967e-05,5.1768300181720406e-05,0.0003006348852068186,0.00027162753394804895,0.0001801555190468207,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.5959630875149742e-05,7.302482117665932e-06,6.0054644563933834e-06,1.724007802295091e-06,9.238513598575082e-07,5.44908232313901e-07,1.3050363349975669e-06,2.084548668790376e-06,1.8336833136345376e-06,1.913677442644257e-05,3.805471578743891e-06,2.242781647510128e-06,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,4.866935341851786e-05,4.2338459024904296e-05,4.5430198952089995e-05,3.220530561520718e-05,1.151407377619762e-05,8.946843081503175e-06,1.652460196055472e-05,1.1569269190658815e-05,3.496202771202661e-05,6.308753654593602e-05,2.0076529835932888e-05,1.8685122995520942e-05,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.5076151359826326e-05,4.307273047743365e-05,1.261757734027924e-05,2.2296559109236114e-05,1.3018665413255803e-05,1.7678054064163007e-05,8.680763130541891e-05,0.00021410283807199448,2.5653356715338305e-05,1.557393443363253e-05,9.223781489708927e-06,2.758816890491289e-06,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,7.59400354581885e-05,6.882002344354987e-05,5.943191717960872e-05,7.354943227255717e-05,0.00010146012209588662,0.0003585057856980711,0.00030392169719561934,0.00031480073812417686,0.00011566811735974625,6.492206011898816e-05,0.00012004956079181284,0.00010619782551657408,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,3.630892024375498e-05,8.694821735844016e-05,7.68612590036355e-05,5.5521715694339946e-05,7.031254790490493e-05,0.0001224384905071929,8.834328036755323e-05,2.136216062353924e-05,1.7914242562255822e-05,1.6665722796460614e-05,1.8054532802125323e-06,8.193493954422593e-07,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.4942572306608781e-05,2.2404938135878183e-05,1.3526854672818445e-05,1.1749858458642848e-05,4.5436554501065984e-06,1.150140064964944e-06,1.2326354408287443e-06,4.790895218320657e-07,9.076738649582694e-08,1.5032432187922495e-08,7.09662941744682e-08,1.2077322253389866e-07,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,4.8343095841119066e-05,4.83304938825313e-05,2.569449134171009e-05,3.520092650433071e-05,1.4241400094761048e-05,1.040883125824621e-05,8.915726539271418e-06,4.820326921617379e-06,7.110744718374917e-06,2.012656841543503e-05,1.797962249838747e-05,3.8261350709944963e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.791459443571512e-06,1.0766508239612449e-05,2.1177902453928255e-06,2.499297806934919e-06,4.419060132931918e-06,8.03215880296193e-06,5.587592113442952e-07,8.971912279776006e-08,1.564187535052497e-08,5.448522535922429e-11,6.078680094001587e-12,1.8761605116712765e-11,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,3.2945132261374965e-05,2.941347884188872e-05,1.9145332771586254e-05,3.3895968954311684e-05,5.692199556506239e-05,9.299277735408396e-05,0.00026977912057191133,4.012060890090652e-05,5.132557271281257e-05,8.850295125739649e-05,7.000307232374325e-05,2.2233507479541004e-05,4.707958964900172e-07,1.0843669770110864e-05
