Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,5.383484221965773e-06,2.4206197849707678e-05,2.1365140128182247e-05,3.1171355658443645e-05,2.0662368115154095e-05,6.819690315751359e-05,1.7132775610662065e-05,7.130535959731787e-05,6.168744585011154e-05,0.00012684405373875052,0.00011735057341866195,6.708787987008691e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.6157669961103238e-05,1.3891245544073172e-05,9.381546078657266e-06,1.6793077520560473e-05,1.5277495549526066e-05,3.5012559237657115e-05,3.5419703635852784e-05,4.029516640002839e-05,3.8570520700886846e-05,5.744629379478283e-05,2.8503805879154243e-05,1.3280366147228051e-05,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0003386268799658865,0.0003623941447585821,0.00022934730804990977,0.0001416520244674757,7.089341670507565e-05,0.0005319980555213988,0.0001235158124472946,0.00041410731500945985,0.0002700258046388626,0.0003231963491998613,0.00023065639834385365,0.00016492656141053885,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,5.763637091149576e-06,1.2557703485072125e-05,1.0770557310024742e-05,5.008125754102366e-06,2.211981154687237e-06,1.4911867765476927e-05,1.131346925831167e-05,2.1853409634786658e-05,7.2086140789906494e-06,5.79979996473412e-06,5.210467406868702e-06,5.4594474931946024e-06,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.00017362588550895452,0.00017800810746848583,0.0001539654185762629,6.0597885749302804e-05,0.00015800457913428545,0.00024004252918530256,5.486427835421637e-05,5.3742362069897354e-05,5.1170794904464856e-05,8.510412590112537e-05,0.00012153894931543618,0.00016100170614663512,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0003468098002485931,0.0005643251352012157,0.0005194621626287699,0.00031099445186555386,0.00018197322788182646,0.0017314667347818613,0.0003790670889429748,0.0006820816197432578,0.0003510496753733605,0.0002829245349857956,0.00023268128279596567,0.00014000771625433117,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,2.3569678830881458e-07,1.3612515203931252e-06,1.3405174286162946e-06,3.0209816941351164e-06,7.581403451695223e-07,2.1631135496136267e-06,5.575213322117634e-07,1.571540678924066e-06,5.115509225106507e-07,1.321209424531844e-06,1.6880238717931206e-06,2.7932514967687894e-06,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0005694356514140964,0.0011786954710260034,0.0010980383958667517,0.0007439337787218392,0.00011442437971709296,1.0485989150765818e-05,3.971422756876564e-06,1.7196269254782237e-05,1.4090702279645484e-05,2.6794881705427542e-05,3.529056266415864e-05,3.1202653190121055e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,9.441410838917363e-06,3.8972037145867944e-05,1.4600744179915637e-05,1.9882434571627527e-05,8.441741556453053e-06,2.5024128262884915e-05,8.072056516539305e-06,6.633335033257026e-06,6.647874215559568e-06,8.471310138702393e-06,7.817136065568775e-06,1.0123406354978215e-05,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.7376479490849306e-06,6.63605078443652e-06,3.2467357868881663e-06,2.3638531274627894e-06,4.642678277377854e-07,6.8576159719668794e-06,6.469458185165422e-06,2.2380095288099255e-06,3.4696327020355966e-06,1.2934808182762936e-05,1.3601377759187017e-05,2.0423554815351963e-05,4.707958964900172e-07,1.0843669770110864e-05
