layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_P_ans_tau4.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_KL_tau4.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0,causal_top1keep_tau4.0
0,0.02892943,0.02821409,0.02833449,0.001296,0.006844,0.026057,0.980000,0.990000,0.940000
1,0.02915785,0.02945083,0.02863096,0.005042,0.013710,0.047454,0.980000,0.970000,0.930000
2,0.02920314,0.02782497,0.02681885,0.012531,0.049457,0.100996,0.990000,0.940000,0.930000
3,0.02799462,0.02651687,0.02764889,0.021816,0.060331,0.136581,0.950000,0.930000,0.890000
4,0.02687932,0.02634196,0.02538153,0.044895,0.073043,1.183325,0.970000,0.960000,0.700000
5,0.02665900,0.02709713,0.02499274,0.054318,0.146049,1.240356,0.960000,0.860000,0.700000
6,0.02661965,0.02961997,0.02102348,0.067350,0.184183,1.626163,0.920000,0.840000,0.620000
7,0.02608106,0.02838664,0.02451985,0.076414,0.126868,0.212123,0.900000,0.860000,0.780000
8,0.02621519,0.02883862,0.02341187,0.099732,0.151638,0.449446,0.890000,0.880000,0.780000
9,0.02738709,0.02843397,0.02351232,0.111806,0.164088,2.059331,0.880000,0.830000,0.630000
10,0.02735958,0.02938969,0.02206480,0.116250,0.175799,1.112915,0.870000,0.830000,0.710000
11,0.03132293,0.02814551,0.02363974,0.125359,0.197023,0.679661,0.860000,0.820000,0.730000
12,0.03185245,0.02693975,0.02471132,0.136713,0.218387,0.760671,0.840000,0.830000,0.740000
13,0.03305568,0.02803740,0.02584861,0.163187,0.264447,0.953628,0.840000,0.800000,0.710000
14,0.03319792,0.02941175,0.02889503,0.182134,0.310137,0.569802,0.820000,0.800000,0.720000
15,0.03368520,0.02901238,0.02939082,0.195823,0.327498,0.742597,0.850000,0.810000,0.710000
16,0.03360726,0.03226554,0.03116097,0.226672,0.406932,0.945371,0.820000,0.760000,0.660000
17,0.03426077,0.03216559,0.03105845,0.299068,0.514908,1.049009,0.820000,0.750000,0.650000
18,0.03737286,0.03723208,0.03085572,0.387004,0.609818,1.343628,0.780000,0.720000,0.570000
19,0.03709984,0.03734002,0.03090651,0.452700,0.694645,1.379291,0.770000,0.730000,0.520000
20,0.03990564,0.04847316,0.04597854,0.508983,0.890543,1.435429,0.740000,0.690000,0.500000
21,0.03796467,0.04082062,0.04605529,0.534638,0.948837,1.966740,0.730000,0.640000,0.370000
22,0.03886841,0.04720271,0.04392914,0.548397,1.110788,2.167186,0.730000,0.600000,0.360000
23,0.04097469,0.04543064,0.04983975,0.580426,1.215470,2.765161,0.710000,0.580000,0.300000
24,0.04174497,0.04419454,0.03869728,0.586052,1.221005,2.711102,0.700000,0.580000,0.250000
25,0.04226623,0.04230874,0.03482235,0.603746,1.289518,3.255010,0.690000,0.590000,0.220000
26,0.04303018,0.04270996,0.03935090,0.619945,1.296617,3.160176,0.700000,0.620000,0.180000
27,0.04294200,0.04201460,0.03947764,0.643279,1.332028,3.090578,0.690000,0.560000,0.170000
28,0.04340695,0.04273152,0.04217174,0.658975,1.254752,3.293030,0.680000,0.550000,0.140000
29,0.04438769,0.04374381,0.04026608,0.719733,1.299812,3.461117,0.650000,0.530000,0.150000
30,0.05285565,0.05856912,0.06074875,0.848303,1.612078,3.524617,0.660000,0.490000,0.150000
31,0.05467902,0.05604960,0.05289280,0.874850,1.578191,3.183865,0.650000,0.490000,0.220000
32,0.05515150,0.05939130,0.04997346,0.915925,1.712604,3.745147,0.640000,0.470000,0.190000
33,0.05832384,0.06588220,0.05409337,0.950020,1.891979,3.579572,0.640000,0.460000,0.170000
34,0.05939002,0.06615727,0.05073286,1.013460,1.989954,3.444573,0.610000,0.420000,0.200000
35,0.06017912,0.06602081,0.04876210,1.066122,2.256974,3.337970,0.580000,0.410000,0.240000
36,0.06265694,0.08153636,0.06686610,1.115700,2.308936,3.490522,0.580000,0.370000,0.220000
37,0.07404157,0.10598919,0.07519519,1.223339,2.443034,3.434524,0.560000,0.360000,0.180000
38,0.07391405,0.10348877,0.07173055,1.241232,2.459634,3.530818,0.580000,0.360000,0.160000
39,0.09467061,0.09798738,0.05297943,1.329247,2.443819,3.555226,0.570000,0.370000,0.160000
40,0.09461936,0.08552851,0.05354922,1.335337,2.558700,3.588617,0.570000,0.350000,0.150000
41,0.09842014,0.09162322,0.05249771,1.385952,2.613520,3.584239,0.570000,0.350000,0.190000
42,0.10337039,0.08050402,0.04501596,1.531952,2.721141,3.704583,0.520000,0.340000,0.170000
43,0.10431876,0.07261790,0.03587485,1.538767,2.673911,3.821447,0.540000,0.330000,0.150000
44,0.10405041,0.07109306,0.03295436,1.538466,2.738453,3.861231,0.530000,0.350000,0.160000
45,0.10413689,0.07295207,0.03002180,1.535606,2.783864,3.968002,0.540000,0.350000,0.120000
46,0.10454136,0.07057384,0.03053149,1.538030,2.751167,4.084839,0.550000,0.350000,0.120000
47,0.10415949,0.07074057,0.03262778,1.533773,2.860567,4.196337,0.540000,0.350000,0.140000
48,0.10611601,0.06534505,0.02781643,1.527140,2.835393,4.222807,0.520000,0.340000,0.150000
49,0.10572426,0.05976184,0.03316334,1.529012,2.852436,4.169246,0.540000,0.350000,0.160000
50,0.10583645,0.05701922,0.03157409,1.525600,2.950885,4.327480,0.530000,0.350000,0.140000
51,0.10696953,0.06162298,0.03448366,1.525361,2.936082,4.313186,0.520000,0.350000,0.160000
52,0.10669074,0.06553484,0.03564951,1.530489,2.967690,4.341262,0.540000,0.350000,0.210000
53,0.10896702,0.06424170,0.03335097,1.530060,3.036237,4.533021,0.520000,0.350000,0.160000
54,0.10857182,0.06181827,0.03659763,1.537016,3.025403,4.696696,0.530000,0.340000,0.140000
55,0.10824042,0.06325020,0.04042924,1.563754,3.093507,4.873274,0.510000,0.330000,0.150000
56,0.10777451,0.06068814,0.03936271,1.560354,3.074440,4.930274,0.520000,0.320000,0.150000
57,0.10751138,0.06273495,0.04295598,1.569412,3.042754,4.997708,0.520000,0.340000,0.140000
58,0.10800301,0.06395889,0.04533591,1.568058,3.053871,5.059645,0.540000,0.330000,0.130000
59,0.10907168,0.06461810,0.04643761,1.579127,3.075745,5.117662,0.520000,0.280000,0.130000
60,0.10891943,0.06407515,0.04543333,1.570956,3.086543,5.147744,0.530000,0.270000,0.120000
61,0.10845012,0.06336208,0.04292893,1.569899,3.094800,5.232297,0.540000,0.300000,0.120000
62,0.10799748,0.06176889,0.04273511,1.567754,3.089064,5.372379,0.530000,0.290000,0.100000
63,0.10796021,0.06429949,0.04388089,1.572790,3.080930,5.392117,0.520000,0.280000,0.100000
64,0.10903535,0.07338911,0.04321429,1.574166,3.040634,5.383598,0.530000,0.320000,0.130000
65,0.10914571,0.07147830,0.04098780,1.569049,3.094864,5.561409,0.540000,0.330000,0.130000
66,0.11027695,0.06812819,0.04693245,1.575878,3.143203,5.749306,0.520000,0.340000,0.130000
67,0.10975947,0.06886898,0.04116456,1.572341,3.120737,5.750578,0.530000,0.330000,0.130000
68,0.10919428,0.07160642,0.04174022,1.573026,3.139449,5.756665,0.530000,0.330000,0.140000
69,0.11011387,0.06740837,0.04192940,1.577498,3.090413,5.803465,0.530000,0.360000,0.110000
70,0.10978412,0.06644767,0.03164842,1.584008,3.022165,5.874142,0.530000,0.350000,0.110000
71,0.11004966,0.08820254,0.03657931,1.578718,3.016133,5.710165,0.540000,0.380000,0.160000
72,0.11086177,0.09371613,0.04410811,1.586502,2.956457,5.861315,0.540000,0.380000,0.150000
73,0.11163371,0.09461209,0.04172293,1.619564,2.994951,6.045444,0.550000,0.350000,0.170000
74,0.11057344,0.07747977,0.04301495,1.624243,2.913997,6.496263,0.540000,0.340000,0.150000
75,0.11051422,0.10483501,0.05525547,1.647365,3.137043,6.195355,0.550000,0.340000,0.170000
76,0.11077425,0.10415830,0.05807183,1.657498,3.320225,6.643773,0.540000,0.330000,0.140000
77,0.11121637,0.14153978,0.09034033,1.659109,3.871119,6.543330,0.540000,0.310000,0.140000
78,0.11213691,0.14621970,0.07940434,1.692851,4.022273,6.536776,0.530000,0.310000,0.150000
79,0.11222689,0.14016509,0.06962599,1.693548,4.319587,6.884895,0.530000,0.290000,0.050000
