layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0
0,0.47733319,0.47711846,0.019193,0.019462,0.990566,0.981132
1,0.47777212,0.47716682,0.019406,0.021456,0.981132,0.971698
2,0.47931181,0.47924327,0.020343,0.021777,0.981132,0.981132
3,0.47982904,0.47984256,0.020565,0.023925,1.000000,0.990566
4,0.48018366,0.48094925,0.021534,0.025296,0.990566,0.990566
5,0.48133792,0.48167852,0.022449,0.027207,0.990566,0.971698
6,0.48170885,0.48203111,0.023760,0.031167,0.962264,0.952830
7,0.48210292,0.48117717,0.024653,0.031651,0.962264,0.962264
8,0.48203138,0.48319534,0.026819,0.037831,0.962264,0.971698
9,0.48104388,0.48386481,0.028621,0.039608,0.952830,0.943396
10,0.48189294,0.48195035,0.031214,0.044855,0.962264,0.943396
11,0.48149738,0.48475749,0.032720,0.051751,0.952830,0.943396
12,0.48353759,0.48463893,0.033281,0.052864,0.943396,0.933962
13,0.48456003,0.48878797,0.037116,0.064061,0.962264,0.924528
14,0.48522489,0.48970039,0.039747,0.074634,0.943396,0.896226
15,0.48767453,0.49219488,0.044337,0.082082,0.915094,0.877358
16,0.48824663,0.49422108,0.048708,0.094324,0.933962,0.905660
17,0.49365266,0.49658589,0.064079,0.108935,0.924528,0.924528
18,0.49688073,0.49724470,0.071021,0.120104,0.933962,0.896226
19,0.49866189,0.50093187,0.079479,0.140845,0.924528,0.877358
20,0.49860756,0.50494223,0.081031,0.154564,0.924528,0.877358
21,0.50088238,0.50920298,0.086868,0.166184,0.915094,0.877358
22,0.50688987,0.51369578,0.103712,0.216233,0.905660,0.877358
23,0.50822153,0.51432754,0.109536,0.227867,0.905660,0.839623
24,0.50864080,0.51866296,0.114726,0.242638,0.905660,0.849057
25,0.50999922,0.52071660,0.119120,0.253109,0.905660,0.849057
26,0.51023092,0.52207534,0.120788,0.254747,0.886792,0.849057
27,0.51663115,0.53049923,0.151062,0.282523,0.896226,0.849057
28,0.51834917,0.53703114,0.158132,0.302892,0.896226,0.820755
