Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,6.037087132426677e-06,8.283048373414204e-06,1.5113768313312903e-05,1.4084936992730945e-05,3.0374103516805917e-06,2.6375232664577197e-06,7.277435997821158e-06,2.328207301616203e-06,1.8994018091689213e-06,1.2542912372737192e-05,2.5129476853180677e-05,6.326277798507363e-05,9.488352225162089e-05,0.00018303222896065563,4.908632763545029e-05,5.6979690270964056e-05,7.56670197006315e-05,3.1288665923057124e-05,4.8463873099535704e-05,6.877363921375945e-05,5.885417340323329e-05,3.298167939647101e-05,7.969525177031755e-05,6.457475683419034e-05,0.00046536748413927853,0.0002190015948144719,0.00013259895786177367,0.00019112562586087734,0.00014419862418435514,5.748771218350157e-05,0.00032116941292770207,0.00048831821186468,0.0005117272376082838,0.0003222693921998143,0.00038369561661966145,0.0003606271930038929,0.00042239727918058634,0.016572074964642525,0.008667362853884697,0.005314691457897425,0.0022229934111237526,0.002663911087438464,0.28442832827568054,0.22651784121990204,0.1276709884405136,0.08737953007221222,0.05043117702007294,0.03827749565243721,0.036916639655828476,0.02749732695519924,0.026734527200460434,0.04210831597447395,0.0540502704679966,0.052061405032873154,0.039214666932821274,0.11343295872211456,0.21672850847244263,0.1953790932893753,0.06746853142976761,0.09253580123186111,0.07364071905612946,0.07395349442958832,0.058174602687358856,0.06487427651882172,0.1003151684999466,0.09340229630470276,0.06401680409908295,0.04915300011634827,0.0339462049305439,0.025962429121136665,0.02534613385796547,0.03342036157846451,0.044783879071474075,0.04798436909914017,0.04591037705540657,0.03625643625855446,0.05716462433338165,0.020849892869591713,0.0028393913526088,0.0011843187967315316,0.0001257472176803276,0.00335746631026268
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.6829609421620262e-06,5.845079726896074e-07,3.6942760743841063e-06,1.347570446341706e-06,7.189574375843222e-07,6.721369345541461e-07,5.658751547343854e-07,7.541047466474993e-07,7.453468242601957e-07,1.3892959032091312e-06,4.85928376292577e-06,9.524784218228888e-06,1.0975476470775902e-05,1.2636774044949561e-05,5.562837941397447e-06,5.476254500536015e-06,9.618352123652585e-06,5.092708761367248e-06,1.70447128766682e-06,2.042671803792473e-05,3.215369360987097e-05,1.8780925529426895e-05,2.0402465452207252e-05,6.457013569161063e-06,1.7335632946924306e-05,1.7241067325812764e-05,2.2019323296262883e-05,4.1587358282413334e-05,3.070468665100634e-05,6.221747025847435e-05,0.00013906195817980915,0.00011017233191523701,0.00011989638733211905,9.17368961381726e-05,4.165702921454795e-05,0.00012072529352735728,3.7209116271696985e-05,0.0005936655215919018,0.0004553847829811275,0.00035820549237541854,0.0049346149899065495,0.003714389633387327,0.0037099760957062244,0.0026397276669740677,0.002426827559247613,0.0034440108574926853,0.0049629476852715015,0.00282831653021276,0.0019396484130993485,0.0010975891491398215,0.0002982685109600425,0.0004244396404828876,0.0005962449358776212,0.0005881815450266004,0.0004846534866373986,0.0005402713431976736,0.004067740868777037,0.02206485904753208,0.017564240843057632,0.021681958809494972,0.04997077211737633,0.06374665349721909,0.06619326025247574,0.04649471864104271,0.06427731364965439,0.06601710617542267,0.041529446840286255,0.02118791826069355,0.018432319164276123,0.011312800459563732,0.013290360569953918,0.06234882026910782,0.17538319528102875,0.9387499094009399,0.9673831462860107,0.9478878974914551,0.9644142389297485,0.9932017922401428,0.9934194684028625,0.9825392961502075,0.1128707081079483,0.8184218406677246
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,5.615669124381384e-06,2.6793770757649327e-06,2.217360815848224e-06,2.6201580567430938e-06,9.276962487092533e-07,2.1884823127038544e-06,9.113898045143287e-07,7.038455578367575e-07,4.7560897087350895e-07,2.1732644484018238e-07,2.9831329584339983e-07,7.481881425519532e-07,4.81727511214558e-07,3.000611741299508e-07,4.910619395559479e-07,1.1413362699386198e-06,1.3936295317762415e-06,3.1485783438256476e-06,3.424575879762415e-06,3.98492784370319e-06,1.0247035788779613e-06,1.2837728036174667e-06,2.9188408916525077e-06,1.9944520317949355e-05,2.5116160031757317e-05,4.686288957600482e-05,7.618569361511618e-05,6.89966109348461e-05,7.522937812609598e-05,0.00031459692399948835,0.00027879190747626126,0.0001874690206022933,0.00026561616687104106,0.00032452112645842135,0.0002849342708941549,0.00022860034368932247,6.832642247900367e-05,0.00011050944158341736,0.00023404275998473167,0.0001783374755177647,0.0001342202303931117,0.00019684455764945596,0.0002593978133518249,0.00018693276797421277,0.0002556742983870208,9.521023457637057e-05,2.211832907050848e-05,2.0079472960787825e-05,1.2820642950828187e-05,9.627799954614602e-06,8.749810149311088e-06,5.910028903599596e-06,1.5554192941635847e-05,3.4865126508520916e-05,5.3417312301462516e-05,5.2130861149635166e-05,0.00010222769196843728,0.00026042526587843895,0.0002546603209339082,0.0003129498800262809,0.00023882050300017,0.00022441078908741474,0.0003368862089700997,0.000388552260119468,0.0005063990829512477,0.000574143894482404,0.000422455690568313,0.0005016279174014926,0.000661550322547555,0.0006160119082778692,0.0002293284924235195,0.00040009935037232935,0.00047517562052235007,0.00033457265817560256,0.0006416414980776608,0.00018198430188931525,0.00028174338513053954,0.00012597409659065306,2.1604986613965593e-05,5.203935143072158e-05,8.765982784098014e-05,0.00093993847258389
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.6871880461621913e-06,2.274068947372143e-06,2.0479333215916995e-06,1.2521667258624802e-06,4.858759893977549e-06,5.429376869869884e-06,8.492430424666964e-06,1.0862857379834168e-05,5.809921731270151e-06,2.7580024379858514e-06,1.4753941286471672e-05,2.2845162675366737e-05,1.097154563467484e-05,5.370107828639448e-06,2.32370416597405e-06,1.912172365337028e-06,1.0063324680231744e-06,7.128234074116335e-07,1.2745135791192297e-06,4.567549240164226e-06,2.0326958747318713e-06,1.5499200571866822e-06,5.001716090191621e-06,4.547068783722352e-06,3.947347067878582e-06,5.3593344091495965e-06,8.090563824225683e-06,1.0199717507930472e-05,1.515269286755938e-05,1.8472735973773524e-05,0.00016110074648167938,0.0002684111532289535,0.00024286552798002958,0.00018051580991595984,7.795760029694065e-05,2.364166903134901e-05,3.4732143831206486e-05,0.00019587442511692643,0.0004590494208969176,0.005742025561630726,0.0010871656704694033,0.0005306867533363402,0.0037584539968520403,0.00382350105792284,0.0031133953016251326,0.0028736689127981663,0.0016996010672301054,0.0013970411382615566,0.0009553638519719243,0.0011954207438975573,0.0006395138334482908,0.0007741074077785015,0.001323859323747456,0.0006765524158254266,0.0008204186451621354,0.0007699644193053246,0.0007114679901860654,0.00043531812843866646,0.0003306566213723272,0.0003669217403512448,0.0002739172778092325,0.0002320021012565121,0.00016664480790495872,0.00020279451564420015,0.00017285754438489676,0.00019501031783875078,0.0002720225020311773,0.0003894308756571263,0.00030816992511972785,0.00015531628741882741,0.00026930650346912444,0.00029899386572651565,0.00022939516929909587,0.00019226421136409044,0.000339411199092865,0.00033511166111566126,0.00036648890818469226,0.0002663803461473435,0.0001990811579162255,0.0009980883914977312,0.0019810176454484463,0.0036820208188146353
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,7.097164598235395e-07,9.015163300318818e-07,2.5044400899787433e-06,3.1100962587515824e-06,2.726551201703842e-06,1.6308283647958888e-06,2.0471443349379115e-06,2.3798947950126603e-06,3.8225698517635465e-06,2.849980319297174e-06,7.041717253741808e-06,1.6181149476324208e-05,8.072389391600154e-06,5.0111761993321124e-06,9.933570254361257e-06,2.318552787983208e-06,3.576214339773287e-06,6.683034825982759e-06,1.0214804206043482e-05,1.4911671314621344e-05,3.255797491874546e-05,1.4712602023791987e-05,1.3225572729425039e-05,1.5833884390303865e-05,2.4864784791134298e-05,3.602397919166833e-05,1.4755583833903074e-05,3.421552901272662e-05,4.3919371819356456e-05,2.189630140492227e-05,3.22459454764612e-05,2.8903568818350323e-05,4.1741266613826156e-05,9.319277887698263e-05,0.00014958893007133156,0.00014253726112656295,4.990262459614314e-05,0.00016289044287987053,0.0001098188222385943,0.00011193117097718641,5.453006087918766e-05,5.8366153098177165e-05,0.00012595865700859576,0.00011230020027142018,0.00010783651669044048,0.0001054681051755324,0.00014005121192894876,0.00016676147060934454,0.00015545779024250805,9.794400102691725e-05,0.00011043345875805244,0.00018424657173454762,0.00012769747991114855,0.00017580384155735373,0.0001196994780912064,0.00011056757648475468,5.341449195839232e-06,7.180638021964114e-06,8.677731784700882e-06,1.0413052223157138e-05,2.8948452381882817e-05,4.9627073167357594e-05,4.348041329649277e-05,2.5823175064942916e-07,5.809116373711731e-06,1.0604846465867013e-05,1.3117451999278273e-05,1.4598248526453972e-05,2.0609551938832738e-05,2.1678910343325697e-05,5.209151277085766e-05,4.413788701640442e-05,4.346127388998866e-05,0.00011945900041610003,7.077911141095683e-05,1.0604015187709592e-05,3.611365900724195e-05,8.27139156172052e-05,4.187633385299705e-05,0.000188129793968983,4.497737972997129e-05,0.0001568612497067079
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.23052486742381e-05,5.809903541376116e-06,3.871674380206969e-06,6.937811576790409e-06,3.048054622922791e-06,5.093719209980918e-06,4.068811449542409e-06,3.9368133002426475e-06,2.2592955701838946e-06,6.772406777599826e-07,2.0771351216808398e-07,6.91119794282713e-07,1.1101888048870023e-06,1.2389566563797416e-06,2.281495881106821e-06,2.5241922685381724e-06,1.6654969385854201e-06,3.7293318655429175e-06,7.4746471909747925e-06,7.167468538682442e-06,2.5263993848057e-06,1.7933715525941807e-06,3.9635929169890005e-06,1.182248888653703e-05,8.09533303254284e-05,0.0002543095906730741,0.0005464706337079406,9.935981506714597e-05,0.0003483937762212008,0.00034846144262701273,0.00028945415397174656,0.00020142982248216867,0.000270359858404845,0.0003120202454738319,0.0005748477415181696,0.00038923820829950273,0.00018629434634931386,0.00033234269358217716,0.0002521863207221031,0.00020228633366059512,0.00024170034157577902,0.0004403883358463645,0.00032784618088044226,0.0003093767736572772,0.00033889155020006,0.0001352443068753928,0.0001090483128791675,0.00018231179274152964,6.046313501428813e-05,0.00010438288154546171,0.00014573057706002146,0.00024742374080233276,0.00039241064223460853,0.0006027136114425957,0.0005854337941855192,0.0005664664786309004,0.0005144033930264413,0.0007072985754348338,0.0006431597867049277,0.0006697893259115517,0.0005113788065500557,0.0003395724925212562,0.0009431373910047114,0.0012432265793904662,0.001248778193257749,0.0007479175692424178,0.0006625372916460037,0.0007362386677414179,0.0008033478516153991,0.0007287522894330323,0.00033025513403117657,0.000565061520319432,0.0005668813246302307,0.0005393473547883332,0.0007319786236621439,0.0005835195770487189,0.0008681997423991561,0.0015521090244874358,0.0019024305511265993,0.000606038433033973,0.0021015105303376913,0.003255456918850541
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.360204123557196e-06,3.1087367915461073e-06,1.4095978258410469e-05,2.900093249991187e-06,2.250389798064134e-06,8.63502464198973e-07,2.690219957912632e-07,3.0548406471098133e-07,4.71962522397007e-07,7.609025232113709e-08,2.889861718813336e-07,1.386747726428439e-06,7.017752977844793e-06,8.336309065271053e-07,5.939007223787485e-07,7.16122940502828e-07,4.142821978803113e-07,7.732846256658377e-07,1.81741245341982e-06,1.8278648212799453e-06,3.3630459483902087e-07,1.5116279428184498e-06,6.372782195285254e-07,2.3889690510259243e-06,1.1250198213019758e-06,2.1220778307906585e-06,3.5627035686047748e-06,2.018539817072451e-06,2.242872824353981e-06,2.2557455849891994e-06,2.6777297534863465e-06,4.452730991033604e-06,8.267767952929717e-06,8.158774107869249e-06,5.216607405600371e-06,5.6819508245098405e-06,1.4281396033766214e-05,4.535936568572652e-06,9.498464805801632e-07,6.087034307711292e-07,5.930364750383887e-07,2.422101488264161e-06,2.065514763671672e-06,1.4672250472358428e-06,9.296007874581846e-07,2.026961055889842e-06,3.5694461075763684e-06,3.7664178762497613e-06,2.657967115737847e-06,2.1253410977806197e-06,2.6339700980315683e-06,3.894361725542694e-06,2.943949311884353e-06,2.8578031106007984e-06,2.576133283582749e-06,1.5383683376057888e-06,1.268526148123783e-06,1.0970487664963002e-06,4.988490331925277e-07,5.194631285121432e-07,5.10249719809508e-07,6.787960842302709e-07,1.0590077863525948e-06,1.1117217582068406e-06,2.0239622244844213e-06,1.4661511613667244e-06,1.2141308616264723e-06,1.1644794994936092e-06,1.375130864289531e-06,1.770068365658517e-06,1.4528995961882174e-06,1.1453131492089597e-06,1.3580532822743407e-06,1.5148714282986475e-06,1.412996425642632e-06,6.732829547217989e-07,9.118122079598834e-07,1.2751013400702504e-06,5.519171963896952e-07,1.4369194332175539e-06,0.0003488212823867798,0.00012365543807391077
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,3.7179459013714222e-06,3.977791493525729e-06,5.416342901298776e-06,3.3585827168280957e-06,7.720651069575979e-07,9.966083780454937e-07,2.1605856659334677e-07,4.6359451744137914e-07,1.5159556596699986e-06,1.3118461765770917e-06,4.788988121617876e-07,4.841671852773288e-06,1.637504101381637e-05,2.1318779545254074e-05,2.4467381081194617e-05,1.8401911802357063e-05,1.8087892385665327e-05,7.900569471530616e-06,6.359111284837127e-05,0.0001125894850702025,0.00016293600492645055,0.0001813262642826885,2.554676484578522e-06,1.4240637256079935e-06,2.503179075574735e-06,2.575301778051653e-06,5.208790753385983e-06,2.718616315178224e-06,2.7997357392450795e-06,3.6122894471191103e-06,4.143204023421276e-06,6.444031896535307e-06,1.621406954654958e-05,9.60231318458682e-06,1.480331047787331e-05,4.2780742660397664e-05,8.962465653894469e-05,2.261489316879306e-05,2.3310270989895798e-05,2.4282371668959968e-05,3.820267738774419e-05,1.2277535461180378e-05,6.012595804349985e-06,4.128085947741056e-06,1.918092266350868e-06,1.6803182916191872e-06,1.752942921484646e-06,1.9419196632952662e-06,2.9698555863433285e-06,6.246359589567874e-06,1.0695694072637707e-05,1.050396076607285e-05,9.315653187513817e-06,2.8376358386594802e-05,3.170594936818816e-05,3.651557562989183e-05,8.109235932352021e-05,0.000281666376395151,0.0005335122114047408,0.0008410628652200103,0.002866633702069521,0.005346464924514294,0.0038460534997284412,0.009973202832043171,0.015308023430407047,0.34404462575912476,0.21913067996501923,0.22734077274799347,0.25770658254623413,0.08953537791967392,0.22426022589206696,0.9482513666152954,0.9494651556015015,0.9700957536697388,0.9707509875297546,0.967641294002533,0.9781217575073242,0.9916746020317078,0.9084814786911011,0.6863324046134949,4.840598558075726e-05,0.054478343576192856
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.4410333051273483e-06,6.207642968547589e-07,3.024937882400991e-07,9.733239636489088e-08,1.2568314389227453e-07,1.5484062032555812e-07,1.7063530322047882e-07,1.187982121564346e-07,7.172369009822432e-08,4.880879345137146e-08,6.276155772866332e-08,3.3009402500283613e-07,2.35785236668562e-07,5.136140543982037e-07,8.998448493002797e-07,1.2243477840456762e-06,2.724656724240049e-06,1.025743813443114e-06,1.7357683645968791e-06,4.497188911045669e-06,4.362512299849186e-06,4.088846253580414e-06,6.116870281402953e-06,3.927909710910171e-05,4.7172867198241875e-05,2.5905492293532006e-05,1.815460746001918e-05,1.4730790098838042e-05,7.281533726199996e-06,1.5064742910908535e-05,3.4681106626521796e-05,2.4330394808202982e-05,5.707233412977075e-06,1.6974934624158777e-05,1.0869222933251876e-05,2.369970388826914e-06,2.427630306556239e-06,0.00017331283015664667,6.58836288494058e-05,4.358617661637254e-05,5.949278420303017e-05,5.025983409723267e-05,0.026550903916358948,0.01184998732060194,0.012080507352948189,0.009210022166371346,0.009529449976980686,0.007871135137975216,0.010418004356324673,0.010092239826917648,0.007601114455610514,0.006918072700500488,0.0065629929304122925,0.009426875971257687,0.014228194020688534,0.02222415991127491,0.11974583566188812,0.11840575188398361,0.1538199484348297,0.14115935564041138,0.11649802327156067,0.12878602743148804,0.16186903417110443,0.106301449239254,0.34905293583869934,0.3688329756259918,0.4223136901855469,0.3162614703178406,0.26614540815353394,0.2935972809791565,0.3077073395252228,0.39211294054985046,0.2083526849746704,0.17229916155338287,0.09683525562286377,0.1110309362411499,0.001965981675311923,0.0005675946013070643,0.00046593957813456655,0.0070395153015851974,0.4517287313938141,0.0672052800655365
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.971333510184195e-06,7.302088761207415e-06,4.755379904963775e-06,3.2010946597438306e-05,5.2095499995630234e-05,0.00013768425560556352,0.00018683262169361115,0.0003356231900397688,0.00033791278838180006,0.0001594638597453013,0.00012797689123544842,7.840547186788172e-05,8.775741298450157e-05,9.848259651334956e-05,6.207964179338887e-05,2.8992690204177052e-05,3.809949703281745e-05,3.1706687877886e-05,6.612501601921394e-05,7.311401714105159e-05,0.0013923965161666274,0.000236148334806785,5.075149601907469e-05,0.00015079033619258553,0.0001857644965639338,0.0006138674216344953,0.0006934291450306773,0.0004659595724660903,0.00023818010231480002,0.00023810111451894045,0.0001353071565972641,6.0804621170973405e-05,1.7838574422057718e-05,5.67032611797913e-06,6.230299277376616e-06,3.169262708979659e-05,0.00010859014582820237,4.138652002438903e-05,1.4256209396990016e-05,1.1801961591118015e-05,1.690413228061516e-05,1.646796772547532e-05,7.422903581755236e-05,6.919213774381205e-05,0.00017559410480316728,0.00021805638971272856,0.0002757703186944127,0.00030436055385507643,0.00017016880156006664,2.653438423294574e-05,3.2822394132381305e-05,3.062198084080592e-05,8.326375245815143e-05,4.273790182196535e-05,0.0001006208112812601,0.00017409231804776937,0.00026015748153440654,0.0003800573176704347,0.0004049607377965003,0.00035737341386266053,0.0004005539231002331,0.00036885219742543995,0.00040905835339799523,0.0003969808167312294,0.0003116808657068759,0.00024223742366302758,0.00033315320615656674,0.00034863909240812063,0.000511745223775506,0.0005327544640749693,0.0005176320555619895,0.000546984258107841,0.0003435914986766875,0.0004570252203848213,0.0004865952942054719,0.0006324475398287177,0.00047926214756444097,0.00022370174701791257,9.692580351838842e-05,0.00011730433470802382,7.766246199025773e-06,4.225887096254155e-05
