layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_P_ans_tau4.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_KL_tau4.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0,causal_top1keep_tau4.0
0,0.43118653,0.43231180,0.43124692,0.027305,0.026549,0.030587,0.990566,0.990566,0.981132
1,0.43118848,0.43029537,0.42312705,0.026651,0.032799,0.097955,0.981132,0.952830,0.924528
2,0.43099499,0.43010074,0.43069821,0.028927,0.034792,0.073775,0.981132,0.933962,0.905660
3,0.43218820,0.43451794,0.42523940,0.033320,0.044484,0.137615,0.971698,0.933962,0.858491
4,0.43438828,0.43449801,0.41772429,0.035258,0.054949,0.168706,0.971698,0.924528,0.849057
5,0.43556832,0.43371448,0.41103643,0.037001,0.072274,0.363006,0.971698,0.915094,0.801887
6,0.43616126,0.43303082,0.42179899,0.041451,0.091003,0.318376,0.952830,0.915094,0.830189
7,0.43425340,0.43979316,0.42094865,0.050378,0.125353,0.463966,0.915094,0.886792,0.745283
8,0.44047034,0.44336036,0.42541937,0.061059,0.144963,0.549453,0.905660,0.839623,0.745283
9,0.44435964,0.45122497,0.41383312,0.072431,0.176690,0.731765,0.886792,0.811321,0.707547
10,0.44540288,0.45400523,0.39116769,0.082687,0.232391,0.982159,0.867925,0.820755,0.660377
11,0.44671742,0.45317064,0.38880818,0.095434,0.278911,1.194295,0.867925,0.820755,0.613208
12,0.45340482,0.45501552,0.37297141,0.133099,0.370919,1.430475,0.849057,0.792453,0.547170
13,0.46015055,0.46016343,0.35847299,0.183302,0.517373,1.996595,0.858491,0.745283,0.490566
14,0.48174953,0.49941403,0.37155455,0.284783,0.747603,2.252852,0.792453,0.726415,0.452830
15,0.49668118,0.51010259,0.32692881,0.382705,0.996987,2.682280,0.773585,0.698113,0.415094
16,0.53819272,0.54097132,0.33169640,0.618741,1.311198,2.720254,0.698113,0.613208,0.405660
17,0.55525976,0.54660538,0.33632970,0.722344,1.349116,2.842976,0.669811,0.632075,0.452830
18,0.57589184,0.53689667,0.27388358,0.809457,1.437390,3.340172,0.641509,0.603774,0.405660
19,0.58078596,0.53845929,0.25876888,0.846424,1.529113,3.300292,0.641509,0.584906,0.358491
20,0.58248498,0.53567609,0.26136447,0.856003,1.558722,3.378324,0.641509,0.566038,0.377358
21,0.58588135,0.52161388,0.25264164,0.886786,1.681402,3.796604,0.632075,0.575472,0.320755
22,0.59086579,0.50050511,0.26958585,0.907488,1.674877,3.713876,0.632075,0.575472,0.358491
23,0.59241797,0.50848575,0.26285574,0.917947,1.670863,3.854791,0.632075,0.594340,0.358491
24,0.59430983,0.50320350,0.27901579,0.963165,1.755979,4.028973,0.622642,0.584906,0.349057
25,0.59457877,0.50345238,0.29195906,0.969331,1.711856,3.939397,0.632075,0.584906,0.367925
26,0.59657314,0.49969269,0.29967560,0.979900,1.719401,4.051905,0.622642,0.575472,0.386792
27,0.59993752,0.51325417,0.28330292,0.999195,1.808292,4.432204,0.622642,0.566038,0.396226
28,0.59785999,0.51324879,0.27304318,1.006437,1.842196,4.656168,0.622642,0.566038,0.367925
29,0.60267802,0.50655279,0.26811811,1.025226,1.919567,4.897613,0.622642,0.556604,0.358491
30,0.60323169,0.48350335,0.25014772,1.050017,2.124870,5.361351,0.613208,0.556604,0.330189
31,0.60470665,0.45597705,0.20993530,1.075479,2.490090,5.980696,0.613208,0.528302,0.311321
