Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,5.017656440031715e-05,5.222149775363505e-05,1.7701629985822365e-05,9.907735147862695e-06,3.880376425513532e-06,4.0065178836812265e-06,4.4939370127394795e-06,1.8797557004290866e-06,2.501359858797514e-06,1.391155910823727e-05,3.4354773106315406e-06,2.90326261165319e-06,4.339260158303659e-06,5.1551951401052065e-06,1.841840571614739e-06,3.1692832180851838e-06,2.6123523184651276e-06,5.635033630824182e-06,3.182336286045029e-06,3.0116298148641363e-06,3.4308557133044815e-06,8.950042911237688e-07,7.463495421689004e-06,1.220346075569978e-05,1.7876787978821085e-06,2.7392625270294957e-06,4.959268608217826e-06,3.9383343391818926e-05,4.0872866520658135e-05,1.8430057025398128e-05,1.5876652469160035e-05,6.7231653702037875e-06,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,6.1520340750576e-06,2.73764112534991e-06,1.2365211432552314e-06,4.431004981597653e-06,1.3194953680795152e-05,7.879726240389573e-07,1.2720481663563987e-06,4.691210335749929e-07,1.5778556416989886e-07,1.3750640448506601e-07,5.14843776500129e-08,4.581088575150716e-08,6.470314133366628e-07,4.241081796863e-07,6.005378736517741e-07,2.3725968389953778e-07,5.883408675799728e-07,4.3213788103457773e-07,1.8915402222319244e-07,2.0211966784700053e-06,7.96307449490996e-06,3.2887892302824184e-06,5.899305051570991e-06,4.2111537368327845e-06,5.61387696507154e-06,1.2445574611774646e-05,5.335669357009465e-06,9.215096724801697e-06,1.703272937447764e-05,6.568871413037414e-06,7.466716851922683e-06,3.9605565689271316e-05,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,7.868885404604953e-06,3.504952837829478e-05,0.00010362076136516407,7.064524106681347e-05,0.00010381473111920059,0.00010948078124783933,5.265590880298987e-05,0.00010657218081178144,0.0004963786341249943,0.00010346705676056445,0.00010986990673700348,2.4815699362079613e-05,9.267749555874616e-05,2.0989235054003075e-05,1.928760320879519e-05,1.1432148312451318e-05,1.4360208297148347e-05,5.840141056978609e-06,1.548359614389483e-05,1.5061160411278252e-05,4.3478394218254834e-06,5.546994088945212e-06,6.158426549518481e-05,4.49301369371824e-05,5.142531881574541e-05,8.225608326029032e-05,0.00014589559577871114,0.00015687788254581392,7.498681225115433e-05,8.438709483016282e-05,0.000222648392082192,4.663682193495333e-05,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,4.676129719882738e-06,9.021210644277744e-06,8.605094876656949e-07,9.622472134651616e-06,2.4325943286385154e-06,2.8843683139712084e-06,1.9061204739045934e-06,2.9666473437828245e-06,7.862756319809705e-06,1.0453251888975501e-05,3.510226861180854e-06,4.8176989366766065e-06,8.125574026962568e-07,4.5920421598566463e-07,1.4661285376860178e-06,1.4432248462981079e-06,1.9628118025138974e-05,8.76388730830513e-06,5.239565780357225e-06,2.4913133529480547e-05,3.764035864151083e-05,2.572089942987077e-05,6.5643985180940945e-06,2.4428445613011718e-05,0.0008876840001903474,0.0003820270940195769,0.000262012385064736,0.0003807106986641884,0.00031471834518015385,0.00022651345352642238,0.0002833364706020802,0.0005220153252594173,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.4288142665463965e-05,2.358761958021205e-05,4.69303404315724e-06,2.284419906573021e-06,4.6344402448994515e-07,2.5864205781545024e-06,2.079254772979766e-05,1.2910035366076045e-05,1.0640304026310332e-05,2.3354114091489464e-05,6.765399120922666e-06,2.122601836163085e-05,2.447352380841039e-05,8.322912776748126e-07,2.807084001688054e-06,6.624291017942596e-07,1.5789106555530452e-06,6.086763733037515e-07,1.6458886875625467e-07,3.042286778054404e-07,2.4728647076699417e-06,1.334736623448407e-07,6.319576755231537e-07,3.258845708842273e-06,1.317997885053046e-06,1.2973413276995416e-06,2.137858245987445e-06,6.736532668583095e-06,1.0246789315715432e-05,5.813034476886969e-06,1.319422426604433e-05,1.2727709872706328e-05,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.1889026609424036e-05,2.9349115720833652e-05,5.2987292292527854e-05,4.24277714046184e-05,4.63281903648749e-05,6.917346763657406e-05,6.531033432111144e-05,5.334440356818959e-05,0.0002650874957907945,4.7637502575526014e-05,5.8395521591592114e-06,3.983375063398853e-05,0.00012241824879311025,4.05552054871805e-05,0.0002193261170759797,5.098196197650395e-05,5.252287883195095e-05,3.5761975595960394e-05,0.0003144228830933571,0.0002178029390051961,0.0001346116332570091,8.15606108517386e-05,0.000621599203441292,0.0006212542648427188,0.00030789209995418787,0.0004070248396601528,0.0006574746803380549,0.000401170807890594,0.0001954698091140017,0.00016959640197455883,0.0011166519252583385,0.0005290837143547833,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.1707313610240817e-06,6.787073743907968e-06,1.1455188541731331e-05,6.11683299212018e-06,1.4997061953181401e-05,0.00022881980112288147,8.195880218409002e-05,1.3015528566029388e-05,3.558843388873356e-07,2.259229177070665e-06,6.468043920904165e-06,2.4687638870091178e-05,9.408320693182759e-06,2.9570969672931824e-06,2.2041398551664315e-05,6.48267678116099e-06,1.973808502953034e-05,5.5872482334962115e-05,9.038693860929925e-06,4.983339749742299e-06,6.821937290624192e-07,1.2449108055534452e-07,1.1473509431425555e-07,4.174439709458966e-07,1.101224995636585e-07,2.1416130380202958e-07,7.035642397568154e-07,2.6245438675687183e-06,2.0656725610024296e-06,2.6366931251686765e-06,1.1380771866242867e-05,2.565507202234585e-06,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,4.2902902350760996e-05,0.0001238776312675327,0.0002861637040041387,6.7217274590802845e-06,3.201199433533475e-05,5.645937562803738e-06,1.5110230378923006e-05,5.7199372349714395e-06,2.901064362959005e-06,5.557572421821533e-06,2.5358961011079373e-06,1.3635164577863179e-05,1.654691186558921e-05,3.5307123198435875e-06,2.997564024553867e-06,6.072253654565429e-06,6.541450261465798e-07,6.097819209571753e-07,9.24129153645481e-07,2.1620437564706663e-06,9.471562520957377e-07,6.705819259877899e-07,7.506062502216082e-06,6.76546278555179e-06,3.875797119690105e-06,8.198039722628891e-06,1.3201259207562543e-05,2.8282538551138714e-05,4.6271779865492135e-05,3.7555477319983765e-05,0.00018698675557971,8.021323446882889e-05,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,9.681838491815142e-06,7.834983080101665e-06,2.1498972273548134e-05,4.630312105291523e-06,7.63110256229993e-06,3.6798073779209517e-06,4.399255885800812e-06,1.0171468147746054e-06,5.5758886219337e-07,1.570934614392172e-06,3.8801667301413545e-07,3.4029767448373605e-07,1.9221743059461005e-06,1.7040798638845445e-06,5.752544893766753e-07,8.353823091056256e-07,4.647227797249798e-06,6.9069092205609195e-06,1.596987317498133e-06,7.708693374297582e-06,2.8820239094784483e-05,4.0468363295076415e-05,0.00020454201148822904,0.0003564201178960502,0.07924447953701019,0.09931664168834686,0.017252426594495773,0.2743174433708191,0.37733855843544006,0.0028290324844419956,0.006704515311866999,0.007357577793300152,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.299055490264436e-06,1.0272156941937283e-05,5.230203441897174e-06,1.2329803666943917e-06,1.6082694855867885e-05,2.208077239629347e-05,4.896734026260674e-05,1.5947051679177093e-06,1.27447783597745e-05,7.910377462394536e-06,3.2167890822165646e-06,1.0022918104368728e-06,1.1449158137111226e-06,2.0785522281130397e-07,1.9733212752726104e-07,2.3290775175155431e-07,7.67742633911439e-08,4.875565764450585e-07,1.0018771234854285e-07,6.50634092380642e-07,1.3360387356442516e-06,5.087244062451646e-06,1.9091444301011506e-06,2.432599330859375e-06,4.762091066368157e-06,4.57191163150128e-06,1.0999377082043793e-05,1.554907726131205e-06,8.506248150297324e-07,3.1823552149035095e-07,6.03850708102982e-07,7.307621103791462e-07,3.727771627382026e-06,4.274486127542332e-05
