Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,6.596495040867012e-06,1.2412500609570998e-06,4.6605191528215073e-07,2.099641704944588e-08,6.5388476855332556e-09,1.0990278553890676e-07,6.74618718221609e-07,2.3686304473358177e-07,7.143312359403353e-07,2.209014610343729e-06,2.6474915557628265e-06,2.8606723390112165e-06,1.0076622629640042e-06,7.595426723128185e-07,1.381132847200206e-06,1.4358051885210443e-06,0.00014647973875980824,0.0064576794393360615,0.0016428029630333185,0.019628198817372322,0.08254491537809372,0.3640414774417877,0.15424489974975586,0.3177816569805145,0.9791653156280518,0.9870376586914062,0.9824514985084534,0.9781429767608643,0.04290498420596123,0.027254052460193634,0.009046066552400589,0.10848866403102875,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,9.441258441711398e-08,4.741874874980567e-07,2.3570519260829315e-05,1.5178817136529688e-07,6.879810143800569e-07,1.8831345869330107e-06,2.3250039760114305e-07,4.3400274307714426e-07,2.189852779110879e-07,2.9248139981064014e-06,2.518237806725665e-06,2.6396278371976223e-06,2.9194413286859344e-07,1.2166379974587471e-06,8.287190212286077e-06,7.598527190566529e-06,6.02370982960565e-06,8.833275387587491e-06,0.000191816347069107,9.702855459181592e-05,0.00016882743511814624,0.00012104203051421791,0.001825858373194933,0.0013352331006899476,0.00533495144918561,0.0071126362308859825,0.011779132299125195,0.008557004854083061,0.05728895962238312,0.1341458410024643,0.12716643512248993,0.14656475186347961,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,5.32825822574523e-07,4.160390858487517e-07,1.2955175634488114e-06,1.207071704811824e-07,5.123673929574579e-08,2.485689378772804e-07,7.670702188988798e-07,1.895641617011279e-05,5.850150728292647e-07,2.302058192071854e-06,6.141404469417466e-07,6.503289569081971e-06,1.0227820439467905e-06,3.4448109431650664e-07,3.299568561487831e-06,7.773081051709596e-06,1.4844671341052162e-06,7.543590072600637e-07,6.0251863942539785e-06,6.05772629569401e-06,4.537162385531701e-05,2.732556822593324e-05,1.3213852071203291e-05,1.8415006479699514e-06,8.011640602489933e-06,2.2563490347238258e-06,6.4485366237931885e-06,5.495308528224996e-07,1.2249867609170906e-07,2.2870918314765731e-07,2.2712714553563274e-07,2.6665281893656356e-06,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.0449917908772477e-06,4.49375238531502e-06,5.324368885339936e-06,2.7441427619123715e-07,5.780882474937243e-07,3.72036356566241e-06,1.098007373911969e-06,1.914406766445609e-06,1.1331578662066022e-06,1.9190265447832644e-06,9.63583715929417e-07,2.6854860379899037e-07,1.6059777863119962e-06,6.536577075166861e-07,1.1113281288999133e-05,5.8672787417890504e-05,1.525281277281465e-05,0.00041234795935451984,0.0015788394957780838,8.656969293951988e-05,0.0008866066345945001,0.0002861980174202472,8.005066047189757e-05,0.00018184159125667065,1.41626833283226e-06,8.528358534931613e-07,5.615424925053958e-07,8.98203538213238e-08,2.5130205472123635e-07,1.1957088474900956e-07,5.315443729614344e-08,1.50019729971973e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,5.137321750225965e-06,5.1289566727064084e-06,2.1681162252207287e-06,7.627820508560035e-08,4.384599350260032e-08,1.0593921615509316e-06,3.160845949423674e-07,3.251196631026687e-06,7.888262985034089e-07,1.637770765228197e-06,6.882875140945544e-07,3.3169786206599383e-07,7.249879985238294e-08,4.4837878476755577e-07,1.4257825569075067e-05,7.471801836800296e-06,1.6395074453612324e-06,5.241491635388229e-06,1.408190746587934e-05,1.1061240911658388e-05,9.143193165073171e-05,0.0004082164668943733,0.00042615074198693037,0.00023806699027772993,0.0026071451138705015,0.0003318280796520412,0.0005306174280121922,0.0009713480249047279,0.0015614901203662157,0.028262726962566376,0.010949702933430672,0.04596928507089615,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.2106563929137337e-07,5.791929993392841e-07,5.4833577678437e-07,5.414902304323732e-09,1.3535584741930506e-07,2.189382364292669e-08,1.83231549044649e-07,7.79817310103681e-06,2.1113616810453095e-07,1.929174231918296e-06,7.326347713387804e-06,1.5201536371023394e-05,9.748221145855496e-07,1.5847725080675445e-05,3.833181835943833e-05,4.125474879401736e-05,2.3838305423851125e-05,1.4630295481765643e-05,1.2697936654149089e-05,6.918465260241646e-06,2.9518774681491777e-05,2.2408863515011035e-05,1.2890022844658233e-05,3.4704062272794545e-06,6.176192255225033e-05,7.794868724886328e-05,4.3874930270249024e-05,0.0001648620527703315,7.583612023154274e-05,1.949256875377614e-05,4.670199996326119e-05,2.0113468508498045e-06,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.496514869359089e-05,2.7884914288733853e-06,9.685031727713067e-06,2.438559363326931e-07,1.437015725969104e-06,1.5650679188183858e-06,1.168726129208153e-07,3.842530077236006e-06,3.2024483516579494e-05,3.482070951577043e-06,6.092783451094874e-07,1.6649032374971284e-07,6.534091312460077e-08,1.296425580221694e-07,2.1816839890220763e-08,1.5884857873516012e-07,3.7446977074750976e-08,1.2409883254349552e-07,2.6325076873945363e-07,2.4840110768309387e-07,9.04180126326537e-08,1.049338891334628e-07,6.035184014763217e-07,1.1891536360053578e-06,2.746859991020756e-06,1.011243057291722e-06,1.2522824590632808e-06,2.2555799716883485e-07,1.6583463491315342e-07,1.1364662810819937e-07,9.5393353660711e-08,1.3496246253907884e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,1.4796629329794087e-05,8.330832315550651e-06,7.940111004245409e-07,1.7619255459067062e-06,2.6381426820876186e-08,1.40455028940778e-06,1.2926907402288634e-06,6.642455900873756e-07,6.279007607190579e-07,2.4873790493984416e-07,1.6081376088550314e-06,2.9175148483773228e-06,3.376190420567582e-07,1.3942026271251962e-06,6.0983797993685585e-06,2.7638029678200837e-06,1.7373025684719323e-06,1.3947414117865264e-05,4.29640323318381e-07,3.796698990754521e-07,2.345916300328099e-06,1.6687679362803465e-06,8.842745955917053e-06,3.2650336834194604e-06,1.4121418644208461e-05,2.062346993625397e-06,1.267082552658394e-06,3.4212582704640226e-06,1.1732390703400597e-06,2.952244813059224e-07,7.727520312528213e-08,3.7219308524072403e-07,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.271201085728535e-06,6.072468750062399e-07,8.700362741365097e-08,1.0482266787903427e-07,4.54850273001739e-08,1.9320975752634695e-07,7.040799232527206e-07,3.134432290607947e-06,9.908800393532147e-07,2.0439550496575976e-07,4.595050882016949e-07,3.7470752545232244e-07,1.5886995186065178e-07,4.375021944724722e-08,2.592773853393737e-07,2.815320954141498e-07,1.38549273742683e-06,2.853828107163281e-07,4.855537554249167e-07,2.218474037363194e-06,2.5843964976957068e-06,3.669960278784856e-06,3.2436691981274635e-06,5.88106388477172e-07,7.004610438343661e-07,7.259150720528851e-07,7.911416446404473e-07,3.5398269915276614e-07,3.630014475675125e-07,3.5697169096238213e-06,4.067572717758594e-06,2.931053313659504e-05,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,6.247736905606871e-08,4.169022815858625e-07,6.80503887906525e-07,8.403298124903813e-06,5.709950912091699e-08,1.2461478959835404e-08,1.8890477804234251e-07,2.843851802936115e-07,2.1986124920658767e-06,4.878550612374966e-07,8.672101330375881e-07,1.853262233453279e-06,4.153933332418092e-06,3.4877566577051766e-06,6.161416763461602e-07,3.857787689298675e-08,1.7355453110212693e-06,8.87221688117279e-07,5.10337486048229e-07,3.390823906102014e-07,1.189810632240551e-06,1.7099711158152786e-06,3.218579195163329e-06,1.9354229152668267e-05,3.729973468580283e-05,7.574574556201696e-05,7.182288391049951e-05,9.622963989386335e-05,0.00020816086907871068,0.00018616339366417378,0.000528608332388103,0.00094414601335302,3.727771627382026e-06,4.274486127542332e-05
