Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.2521198186732363e-05,1.0314955943613313e-05,3.092405677307397e-06,1.0956646292470396e-06,1.631262165346925e-07,9.744579756443272e-07,2.4622697765153134e-06,1.5581834986733156e-06,2.7116277578898007e-06,8.920651453081518e-06,6.206250418472337e-06,6.706896328978473e-06,4.936246114084497e-06,3.1697186386736576e-06,7.325704700633651e-06,7.5403504524729215e-06,0.00015036025433801115,0.0014065391151234508,0.001232199021615088,0.0011526626767590642,0.007738261949270964,0.05753491446375847,0.03632357716560364,0.05022573843598366,0.3129986524581909,0.36350858211517334,0.33792275190353394,0.6437352299690247,0.1361171454191208,0.04058590531349182,0.009802785702049732,0.021599842235445976,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,6.427597440961108e-07,1.3618863476949628e-06,6.7632704485731665e-06,1.6236375586231588e-06,4.00693534174934e-06,4.037208782392554e-06,3.3833021007012576e-07,2.401029405518784e-06,6.57748898902355e-07,1.0837777153938077e-05,6.611975550185889e-06,4.534718755166978e-06,1.0385894029241172e-06,3.2569255381531548e-06,1.831095141824335e-05,2.764884993666783e-05,3.0047579002712155e-06,5.407582284533419e-05,0.0001061682851286605,0.00013681239215657115,0.00014777093019802123,0.00010290072532370687,0.004242941737174988,0.003823005361482501,0.005007977597415447,0.018816405907273293,0.024792715907096863,0.03499102219939232,0.04670865461230278,0.11400801688432693,0.02099800854921341,0.3282272219657898,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,2.450635520290234e-06,4.37858125224011e-06,1.3106137885188218e-05,4.055750196130248e-06,1.2950190466654021e-05,9.884071005217265e-06,2.2626145437243395e-05,0.00014829270367044955,3.2917425414780155e-05,3.889069921569899e-05,1.6273163055302575e-05,8.088066533673555e-05,1.6062980648712255e-05,4.388079105410725e-06,2.1305037080310285e-05,0.00022628279111813754,3.320911855553277e-05,4.797857855010079e-06,5.546004103962332e-06,1.9400980818318203e-05,2.980086901516188e-05,6.147967360448092e-05,8.368232374778017e-05,1.3623028280562721e-05,3.259811137468205e-06,6.698575361951953e-06,1.8318136426387355e-05,3.1591966944688465e-06,2.072898723781691e-06,4.0954785163194174e-07,2.292830004080315e-06,4.52228505309904e-06,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,8.58563362271525e-06,1.5386023733299226e-05,9.669381142884959e-06,1.7110074622905813e-05,6.017659416102106e-06,1.129225711338222e-05,1.635863009141758e-05,2.322452564840205e-05,1.8630305930855684e-05,3.7344125303206965e-05,4.020744017907418e-05,1.2087733011867385e-05,3.661638038465753e-05,1.6871154002728872e-05,0.00010358883446315303,0.00028471279074437916,0.0006613382720388472,0.002944407518953085,0.0056100450456142426,0.0014720382168889046,0.012341082096099854,0.0038724844343960285,0.0014407291309908032,0.002852944191545248,0.00023466844868380576,0.0001600627147126943,0.00010262315481668338,1.183880158350803e-05,2.5697889213915914e-05,1.2049981705786195e-05,7.946613550302573e-06,2.811554804793559e-05,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.7580646272108424e-06,4.640029601432616e-06,2.6631812488631113e-06,1.3037133612670004e-06,1.2522632459877059e-06,2.287903726028162e-06,4.56247289548628e-06,1.3040403246122878e-05,3.072341996812611e-06,5.5284067457250785e-06,3.3983069442911074e-06,4.410025212564506e-06,2.1388038931036135e-06,1.3630760804517195e-06,1.940589936566539e-05,3.0988525395514444e-05,1.33418989207712e-05,9.41471807891503e-06,1.3330672118172515e-05,1.0854821084649302e-05,9.084815246751532e-05,7.190217002062127e-05,0.00025789212668314576,0.0001872321154223755,0.0001794624113244936,0.0001458056503906846,0.00021950840891804546,0.00026278922450728714,0.0005429711891338229,0.002143529010936618,0.001769313937984407,0.0034317290410399437,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,2.225224079666077e-06,5.555381449084962e-06,9.402943760505877e-06,2.0865127225988545e-06,6.969822152314009e-06,4.421632183948532e-06,9.611804671294522e-06,9.609352855477482e-05,1.850908483902458e-05,0.00013586950080934912,3.9303035009652376e-05,8.18001281004399e-05,2.3618393242941238e-05,2.357210723857861e-05,0.00023331763804890215,0.00047264902968890965,0.00023227852943819016,8.258745219791308e-05,5.85672132729087e-05,8.471827459288761e-05,5.906500155106187e-05,0.00012740035890601575,0.00034740925184451044,0.00018287029524799436,0.0003536716685630381,0.0003509925736580044,0.00029032796737737954,0.000399870885303244,0.00023686826170887798,8.265457290690392e-05,0.00056173384655267,0.0001679499982856214,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,8.123010047711432e-06,1.4578429727407638e-05,1.9444940335233696e-05,5.364443040889455e-06,9.52471327764215e-06,3.787751847994514e-05,7.590514087496558e-06,2.6636642360244878e-05,2.0299841708038002e-05,1.0479256161488593e-05,3.4726341255009174e-05,8.733303729968611e-06,4.052852546010399e-06,3.7790628084621858e-06,2.655614935065387e-06,4.532064849627204e-06,4.685105977841886e-06,8.162259291566443e-06,8.433979928668123e-06,4.682063718064455e-06,5.173112185730133e-06,3.3053906918212306e-06,1.1886402717209421e-05,9.181601853924803e-06,1.800691279640887e-05,1.961765156011097e-05,1.7800328350858763e-05,1.053062078426592e-05,4.847429863730213e-06,3.4594247608765727e-06,2.7112680527352495e-06,3.7114787119207904e-06,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,7.511110652558273e-06,8.886278010322712e-06,1.0965624824166298e-05,3.138279225822771e-06,2.7370454063202487e-06,2.0583802324836142e-06,7.950548024382442e-06,2.1741379896411672e-06,2.0275449514883803e-06,2.865564567855472e-07,2.302459279235336e-06,3.200298124284018e-06,7.478496399926371e-07,9.054863312485395e-07,4.294605332688661e-06,3.534568122631754e-06,7.065368663461413e-06,1.892888394650072e-05,3.6612979670280765e-07,3.4463329257050646e-07,7.11447796675202e-07,2.132878080374212e-06,1.661115493334364e-05,3.573646381482831e-06,1.7349360859952867e-05,1.1263167834840715e-05,2.0154586309217848e-05,2.0307836166466586e-05,3.287621075287461e-05,1.828287167882081e-05,1.5499379514949396e-05,3.3065458410419524e-05,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,4.910768439003732e-06,5.821605554956477e-06,2.510807689759531e-06,3.4392744510114426e-06,3.19208879773214e-06,4.589682248479221e-06,2.6846853415918304e-06,1.7301537809544243e-05,1.3526993825507816e-05,3.690229959829594e-06,9.259995749744121e-06,3.0678986604470992e-06,2.9357756829995196e-06,1.0393465572633431e-06,1.6843216599227162e-06,2.83855388261145e-06,1.2942070497956593e-05,1.919914893733221e-06,8.821445590001531e-06,2.5497683964204043e-05,2.681465593923349e-05,2.216792563558556e-05,4.7465113311773166e-05,1.4856252164463513e-05,0.0001754270342644304,0.0001861581695266068,0.0002471550542395562,0.0002264561044285074,0.00026429546414874494,0.00012096374848624691,0.00042279958142898977,0.0013541911030188203,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,9.2966638476355e-07,3.0120584142423468e-06,1.6418201767010032e-06,5.749264346377458e-06,2.6524423901719274e-07,6.550228022206284e-07,5.036196398577886e-06,1.5465599290109822e-06,1.2971542673767544e-05,6.028631560184294e-06,6.5253948378085624e-06,5.0462426770536695e-06,2.3681699531152844e-05,7.828164598322473e-06,7.43486111787206e-07,2.1965369967347215e-07,1.4039397910892149e-06,1.3678401273864438e-06,5.349241291696671e-06,4.864029506279621e-06,1.758097278070636e-05,3.6109075153945014e-05,6.082683466956951e-05,0.0001622664713067934,5.922036507399753e-05,0.00012279833026695997,0.00013610368478111923,4.2775551264639944e-05,1.702087502053473e-05,2.019321073021274e-05,4.461743446881883e-05,8.701731712790206e-05,3.727771627382026e-06,4.274486127542332e-05
