Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,4.499130227486603e-06,1.991872522921767e-06,1.6360628478651051e-06,1.5725175899206079e-06,4.6243707174653537e-07,2.4026228402362904e-06,1.3977661183162127e-05,6.78127548781049e-07,1.2608617225851049e-06,5.828374924021773e-06,2.8906495117553277e-06,1.7487865306975436e-06,5.37566484126728e-06,1.199693087983178e-05,1.8935519619844854e-05,0.00031834637047722936,0.0030308275017887354,0.01646999455988407,0.018087491393089294,0.0018638307228684425,0.021308306604623795,0.06151818856596947,0.03189500793814659,0.016627812758088112,0.37244927883148193,0.09760668873786926,0.037637416273355484,0.027722695842385292,0.0015096473507583141,0.0010444646468386054,0.0021047592163085938,0.029440248385071754,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,7.4981123532325e-08,1.6628270316232374e-07,5.487466751219472e-06,6.992353007717611e-08,3.0619872859460884e-08,1.3598747727883165e-06,4.6042057988415763e-07,3.64351762982551e-07,2.497175501048332e-06,8.98911093827337e-06,6.977393240958918e-06,4.0659724618308246e-05,7.383926913462346e-06,0.0002143602177966386,8.959423576015979e-05,8.851392340147868e-05,7.1271977503784e-05,0.00022313605586532503,0.005568249151110649,0.00324359443038702,0.001041917596012354,0.001958716893568635,0.010778919793665409,0.005982078146189451,0.002310820622369647,0.0018404958536848426,2.10510115721263e-05,0.0015343001578003168,0.009014670737087727,0.020909054204821587,0.005172365345060825,0.019955400377511978,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,2.608641977985826e-07,2.8628625159399235e-07,1.2886669537692796e-05,5.372101441025734e-06,1.2582975159602938e-06,3.9459937397623435e-05,5.693007187801413e-05,5.947219688096084e-05,5.491176125360653e-06,3.930931143258931e-06,4.583883992381743e-07,1.0767317689897027e-05,2.3510426672146423e-07,4.233891559124459e-06,2.1616551748593338e-05,3.4552802389953285e-05,7.218301107059233e-06,9.556650866215932e-07,2.5958936021197587e-05,2.078018951578997e-05,7.3716905717446934e-06,3.3010148854373256e-06,1.041127870848868e-05,2.3891113869467517e-06,1.0872768143599387e-06,3.928754210846819e-07,2.231386844187e-07,8.011308239019854e-08,2.2188809012391175e-08,8.143744167909972e-08,1.4803431369614373e-08,2.6046674861390784e-07,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.265370457304016e-07,1.0675207704480272e-06,5.038995823269943e-06,1.367605051427745e-07,3.121381269011181e-07,1.6847222923388472e-06,4.969893439010775e-07,9.500462510914076e-06,2.826993295457214e-06,1.742830932016659e-06,1.492204432906874e-06,3.0798755688010715e-06,5.547799446503632e-06,7.692731742281467e-06,0.00015089489170350134,0.0017239657463505864,0.0007984269177541137,0.0022392673417925835,0.0033731290604919195,0.0001420685148332268,0.00013795116683468223,6.36392505839467e-05,2.4698947527213022e-05,5.438176594907418e-05,2.5626502520026406e-07,8.428822440009753e-08,6.905192861950127e-08,6.624031101409855e-08,2.0218247698267078e-07,1.2263895143860282e-07,1.2529700654795306e-07,2.2284680767370446e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.1001502997487478e-07,2.200039307354018e-05,3.8562384361284785e-06,2.448588816150732e-07,4.0217787500296254e-07,4.834674655285198e-06,7.20503635420755e-07,4.237967914377805e-06,9.039793553711206e-07,7.605204643823527e-08,1.7668367036094423e-07,2.212329945905367e-07,3.1613762985216454e-07,2.126824256265536e-06,0.0010438056197017431,0.0028937787283211946,0.00024840369587764144,0.0011716035660356283,0.0005929039907641709,0.0013378086732700467,0.009716495871543884,0.03224977105855942,0.038517098873853683,0.024025605991482735,0.021454693749547005,0.0007447088719345629,0.0006602257490158081,0.0005827726563438773,0.0018943073228001595,0.014972052536904812,0.013293124735355377,0.054929591715335846,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,3.4608770960176116e-08,3.5155057958036195e-06,2.70610257757653e-07,1.7214317438174476e-07,1.697018916502202e-07,1.778254386408662e-06,0.0001624858268769458,2.8965128876734525e-05,2.4336891328857746e-06,1.5615110896760598e-05,3.7853704270673916e-05,1.0490382010175381e-05,1.7847694380179746e-06,0.00021344113338273019,8.514382898283657e-06,0.0001987162686418742,0.00016293275984935462,0.00016429043898824602,7.706846372457221e-05,6.804867734899744e-05,0.00010931118595181033,4.4878441258333623e-05,9.610264532966539e-05,4.6959688916103914e-05,2.392419264651835e-05,7.546227425336838e-05,0.00013063053484074771,0.00016389602387789637,0.000167234888067469,5.033126944908872e-05,6.575093721039593e-05,1.5004834494902752e-06,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.6968020872809575e-06,8.334381504937483e-07,6.217525765350729e-07,1.0922811270575039e-05,1.2035347936034668e-05,2.5253280000470113e-06,5.094922812531877e-07,1.143597637565108e-05,3.152901990688406e-05,1.7897124280352728e-06,7.343309675889031e-07,6.776365779614935e-08,3.152333150069353e-08,1.400046443222891e-07,6.99980731155847e-08,2.7795931600849144e-06,7.696484090047306e-07,1.6726431795177632e-07,1.3727995451517927e-07,2.1642237868491065e-07,2.1483610623818095e-07,5.058151941739197e-07,8.794634709374805e-07,5.732968929805793e-06,6.300691438809736e-06,6.114990355854388e-06,1.7093977930926485e-06,4.611247277352959e-07,3.458474395756639e-07,6.444360423074613e-08,5.481291864839477e-08,8.534379247748802e-08,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,1.6382035710194032e-06,7.364190241787583e-05,3.288673042334267e-06,7.949481073410425e-07,3.8643085531475663e-07,3.384617230040021e-05,6.613349341932917e-06,7.785620255162939e-07,2.569553726061713e-05,3.2862408261280507e-06,2.1533736571655027e-07,1.8432824333558528e-07,1.8444959337671207e-08,8.898499004317273e-08,8.785090130913886e-07,5.003042133466806e-06,1.4495686627924442e-05,3.600220225052908e-06,6.024100684953737e-07,1.3338544135876873e-07,5.635312732010789e-07,6.893175168443122e-07,1.8962175545311766e-06,2.5391650524397846e-06,1.749476155055163e-06,2.39576138483244e-06,1.2591661970873247e-06,8.716277193343558e-07,4.726815063804679e-07,1.7546728940942558e-06,5.438989774120273e-07,7.677110147596977e-07,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.422855338110821e-07,2.364712599955965e-06,6.908933301019715e-07,7.661966265004594e-06,3.414503169096861e-07,8.970397971097555e-07,1.3499095530278282e-07,5.2731561481778044e-06,1.0778954901979887e-06,1.6417509129951213e-07,1.1319013992761029e-06,1.316538771334308e-07,2.4953820343398547e-07,1.0644848202900903e-07,3.0623958480191504e-08,2.7817424097520416e-07,1.3924151289756992e-06,1.7163627035188256e-06,5.201342901273165e-06,3.2545794965699315e-05,2.2557460397365503e-05,1.4475107491307426e-05,1.8031221770797856e-05,1.2865790267824195e-05,1.955114748852793e-05,4.417679519974627e-06,1.8984147800438222e-06,7.312984848795168e-07,2.887294954234676e-07,5.452706773212412e-06,5.397054337663576e-06,0.00015525560593232512,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.4858367687083955e-08,1.5007123010946088e-07,6.988558993725746e-07,3.2494816082362377e-07,9.471515340919723e-07,7.199934088930604e-07,1.1640125876510865e-06,2.406632404472475e-07,8.506464723723184e-07,2.5944616481865523e-06,2.1929110971541377e-06,7.581812951684697e-06,3.2128878046933096e-06,8.639490260975435e-06,2.354598564124899e-06,3.40983973501352e-07,4.090814513801888e-07,3.566414079614333e-07,3.958708987283899e-07,4.0243989474220143e-07,1.375116198687465e-06,2.6382065243524266e-06,5.589164175034966e-06,3.100035974057391e-05,1.658843939367216e-05,1.9064571461058222e-05,5.050014078733511e-05,5.394232721300796e-05,0.00023101302213035524,7.305852341232821e-05,0.00026065425481647253,0.00020375339954625815,3.727771627382026e-06,4.274486127542332e-05
