Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,4.815227384824539e-06,1.3084048759992584e-06,1.3065189250482945e-06,3.428444017572474e-07,1.2565578799694777e-07,3.575867708605074e-07,9.546982937536086e-07,1.0810570927333174e-07,1.355825673954314e-07,1.0496671620785492e-06,8.928258239393472e-07,7.675673145968176e-07,1.0095477591676172e-06,4.001749857707182e-06,3.97775647797971e-06,0.0003265621780883521,0.006028595846146345,0.04790749028325081,0.07614284008741379,0.019255507737398148,0.09713716804981232,0.08043640851974487,0.03919050097465515,0.017583684995770454,0.6552594304084778,0.2341340184211731,0.2572225034236908,0.1697462648153305,0.001967129297554493,0.0020143238361924887,0.0017507189186289907,0.04845193400979042,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,5.30353752026258e-08,3.492062887744396e-07,8.838397661747877e-06,2.9401763868008857e-07,4.54218636036785e-08,3.0513081128447084e-07,1.6837253724588663e-07,3.6943666259503516e-07,1.4666441074950853e-06,3.7946156226098537e-06,3.500810407786048e-06,2.8208967250975547e-06,2.1316354832379147e-06,4.475800960790366e-05,1.0840100912901107e-05,3.254412149544805e-05,1.4464525520452298e-05,2.4387209123233333e-05,0.0006081428145989776,0.00024351986940018833,0.0001066257173079066,0.00027657480677589774,0.0003909288498107344,0.0007875065202824771,0.0001801964535843581,0.0031912592239677906,0.0044753472320735455,0.008087769150733948,0.009948153980076313,0.125245600938797,0.007273416966199875,0.04769585281610489,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,1.6130688607063348e-07,3.12947776137662e-07,2.825423507601954e-06,7.60238026487059e-06,2.16708326661319e-06,1.0814542292791884e-05,1.996913670154754e-05,6.728626613039523e-05,2.5145677682303358e-06,1.7505502682979568e-06,3.2469836241943995e-07,7.822753104846925e-06,1.5763417593461782e-07,5.645900273520965e-06,2.998917807417456e-05,2.4215005396399647e-05,4.261130015947856e-06,1.3380533800955163e-06,5.335483729140833e-05,2.4966862838482484e-05,1.3997078895044979e-05,9.25917447602842e-06,2.7879017579834908e-05,2.5056745016627247e-06,1.4221647006706917e-06,4.6363081196432177e-07,6.226299547051894e-07,1.7650825157033978e-07,2.6294063815157642e-08,6.036712818513479e-08,1.2696538043144301e-08,1.2225008561017603e-07,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.246393139808788e-07,1.5419082046719268e-06,1.3872570889361668e-05,3.640626289325155e-07,3.1625373253518774e-07,1.4716508758283453e-06,4.999304223929357e-07,6.303563168330584e-06,2.1946386823401554e-06,3.912496595148696e-06,7.135641226341249e-06,2.715047003221116e-06,1.0564563126536086e-05,8.88787690200843e-06,0.00012031023652525619,0.001303501077927649,0.0005332392174750566,0.005899128038436174,0.00648768013343215,0.000314701086608693,0.0005545190069824457,0.0002910014009103179,0.00011177227133885026,0.00023112537746783346,1.1410392062316532e-06,2.3750548905354663e-07,3.1403516231875983e-07,1.1347331252409276e-07,3.643847605871997e-07,2.0344386086890154e-07,4.012537857533971e-08,1.7844678268374992e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,5.122793140799331e-07,7.3394076025579125e-06,7.385006938420702e-06,2.3552016159555933e-07,2.4229760242633347e-07,8.875828825694043e-06,9.830563385548885e-07,2.525964873711928e-06,1.2556216688608401e-06,8.095260994878117e-08,1.3365085749228456e-07,1.6938119529186224e-07,2.0992803229091805e-07,2.1618177470372757e-06,0.0002420895325485617,0.002573280828073621,0.0002780633221846074,0.0020466004498302937,0.0005961002316325903,0.001589548191986978,0.008649090304970741,0.03663593903183937,0.06478472799062729,0.021911894902586937,0.02534915879368782,0.0006882201414555311,0.0005971309146843851,0.0010407823137938976,0.00250539043918252,0.036715567111968994,0.01880193129181862,0.08692611008882523,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,2.6033982081230533e-08,4.219031779939542e-06,1.6003738778636034e-07,1.7707206723116542e-07,2.617952645778132e-07,4.291537720746419e-07,5.465056892717257e-05,2.6722089387476444e-05,1.2707589576166356e-06,2.490776387276128e-05,4.2142244637943804e-05,1.0966953595925588e-05,1.918974021464237e-06,7.925178215373307e-05,3.231003574910574e-05,0.00046261237002909184,0.00022950069978833199,0.00038552351179532707,0.00017651238886173815,9.344137652078643e-05,8.497757517034188e-05,3.021448355866596e-05,0.00010467047104611993,2.4478300474584103e-05,3.0809620511718094e-05,5.9872338169952855e-05,6.0191505326656625e-05,8.713136776350439e-05,6.397198012564331e-05,2.106813008140307e-05,3.0148341465974227e-05,2.0158047391305445e-06,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.3820448430124088e-06,1.751621766743483e-06,3.0840411113786104e-07,6.118176543168374e-07,1.4767620086786337e-06,8.428781370639626e-07,1.0051906684793721e-07,4.22342736783321e-06,2.3812097424524836e-05,7.958256560414156e-07,4.277722496226488e-07,3.5241480844661055e-08,1.061111465361364e-08,7.525196821234204e-08,5.4205905541948596e-08,1.399325014972419e-06,7.780923283462471e-07,4.797481665264058e-07,5.459300496113428e-07,7.491735800613242e-07,5.417774104898854e-07,7.882784416324284e-07,1.6535753957214183e-06,2.23717051994754e-06,4.503490799834253e-06,6.9549919317069e-06,1.2680176268986543e-06,5.243554710432363e-07,5.816377779410686e-07,1.0006222339598025e-07,2.887975014687072e-08,1.605838235718693e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,3.114753098998335e-06,0.00024488443159498274,9.120923095906619e-06,1.6102379731819383e-06,2.403240557669051e-07,9.628307452658191e-06,4.165109658060828e-06,9.666215419201762e-07,7.933589586173184e-06,7.609792191942688e-07,1.089138592647032e-07,3.3136245747300563e-07,6.852352640862591e-08,2.1191006283061142e-07,1.2564668168124626e-06,3.311462705823942e-06,1.346287717751693e-05,1.2880850590590853e-05,2.012313188970438e-06,4.336845904617803e-08,1.863385534761619e-07,3.2190976639867586e-07,1.1925604894713615e-06,4.811936832993524e-06,4.009540134575218e-06,6.199968538567191e-06,2.419841621303931e-06,2.182743855883018e-06,4.434774609762826e-07,4.426065970619675e-06,3.7543975395237794e-07,4.4010690203322156e-07,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,8.513591751579952e-07,2.0356421828182647e-06,5.238712219579611e-07,3.164996769555728e-06,9.823836677469444e-08,4.12950782902044e-07,2.2866227311624243e-07,4.020337200927315e-06,7.55496216697793e-07,9.658386801447705e-08,6.909680791977735e-07,2.459973700297269e-07,1.928874837631156e-07,1.0382856885371439e-07,4.209774218111306e-08,1.656608219491318e-07,6.694402259199705e-07,5.796509299216268e-07,3.216979166609235e-06,2.5018927772180177e-05,1.9768836864386685e-05,1.6754031094023958e-05,2.3526459699496627e-05,8.869531484378967e-06,1.3101417607686017e-05,2.414617483736947e-06,1.017661929836322e-06,4.2860060034399794e-07,2.548694055803935e-07,3.3745436667231843e-06,3.3377434647263726e-06,8.576378604630008e-05,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.2372244501411842e-08,1.5934215014112851e-07,2.878839779896225e-07,3.364264102856396e-07,2.7600998464549775e-07,4.404311582106857e-08,2.9221297381809563e-07,6.211289615976057e-08,3.3276094768552866e-07,1.1216012580916868e-06,1.645161205487966e-06,7.0442638389067724e-06,6.871508503536461e-06,1.9903818611055613e-05,9.747199101184378e-07,1.4928100711131265e-07,8.736909080653277e-07,1.3484694818544085e-06,4.008015253020858e-07,4.81640540783701e-07,1.4067072697798721e-06,1.6134580391735653e-06,2.535646217438625e-06,4.131495370529592e-05,2.072515053441748e-05,2.3931130272103474e-05,7.180542888818309e-05,8.568003249820322e-05,0.00022546524996869266,0.00012080751912435517,0.0004490601713769138,0.00040592174627818167,3.727771627382026e-06,4.274486127542332e-05
