model,pair,pearson,spearman,kendall,top25,top50,same_top5
GPT-2,logit vs is_r64,0.9502534841185744,0.7310838580706271,0.5541911621209664,0.7777777777777778,0.7638888888888888,4
GPT-2,logit vs topk_r64,0.7792045749192603,0.5812563506181407,0.42806334074464475,0.6388888888888888,0.6944444444444444,3
GPT-2,logit vs tuned,0.6765955125633563,0.4750857242878309,0.3369977361135243,0.6666666666666666,0.6527777777777778,2
GPT-2,is_r64 vs topk_r64,0.8694755249733842,0.6098977630555886,0.464287750594058,0.6388888888888888,0.6805555555555556,3
GPT-2,is_r64 vs tuned,0.7757954820430487,0.5700566722630781,0.41962859904639227,0.6666666666666666,0.7222222222222222,2
GPT-2,topk_r64 vs tuned,0.884455564126049,0.529057889642863,0.3924065293260098,0.6111111111111112,0.7083333333333334,4
LLaMA-3-8B,logit vs is_r64,0.8326906000140457,0.12279205139795793,0.09227430785898011,0.3515625,0.537109375,3
LLaMA-3-8B,logit vs topk_r64,0.7600754529759916,0.19372673545225874,0.13969288038685096,0.38671875,0.55078125,3
LLaMA-3-8B,is_r64 vs topk_r64,0.8468981157634987,0.37215537887197503,0.31231816591723227,0.46875,0.640625,3
LLaMA-3-70B,logit vs is_r64,0.5334650057315555,0.02291805319401448,0.017679139374502773,0.27265625,0.544140625,5
