model,lens,total,top_head,top_share,top5_share,late_early
GPT-2,logit,38753,L08.H02,6.791732252986866,29.215802647536965,1.6936122888718983
GPT-2,is_r64,23858,L08.H02,7.26381088104619,29.742643976863107,1.8101295641931685
GPT-2,topk_r64,16582,L11.H03,10.523459172596791,32.119165360028944,1.782681657996308
GPT-2,tuned,13586,L11.H03,11.519210952451052,35.74267628441042,1.6844497134953567
LLaMA-3-8B,logit,94077,L23.H24,6.36818776108932,16.30154022768583,1.8562710629383368
LLaMA-3-8B,is_parity250,9395,L23.H24,12.410856838744012,35.156998403406064,166.76785714285714
LLaMA-3-8B,topk_parity250,24641,L23.H24,7.56462805892618,19.881498315815104,2.4971615100766393
LLaMA-3-8B,tuned_parity250,62121,L23.H24,6.983145796107596,18.642649023679592,2.084765120667395
LLaMA-3-70B,logit,407752,L44.H04,0.7968078636033668,3.1418607388804958,1.061685947738856
LLaMA-3-70B,is_r64,29699,L44.H04,3.1617226169231287,9.835347991514865,71.61369193154034
