layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
0,53,68,22,105,211,58,270,53,10,0,27,130
1,44,98,31,4,16,302,45,951,108,101,41,11
2,2,1023,29,45,26,253,163,34,29,14,86,284
3,166,8,3,24,2,96,53,36,8,141,82,78
4,31,34,45,28,33,18,52,76,1210,103,223,43
5,44,7,27,316,124,68,19,11,161,66,257,50
6,23,25,46,61,1164,50,71,320,25,31,935,15
7,123,335,7,83,5,136,279,113,152,153,40,129
8,37,25,1733,107,16,176,55,30,350,206,63,146
9,35,9,1316,806,85,17,358,18,366,120,40,95
10,684,62,78,42,947,3,104,31,34,170,113,23
11,3,160,129,1673,15,111,151,24,28,71,96,86
