layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
0,231,69,211,70,175,127,319,98,50,43,65,179
1,91,39,146,117,51,160,76,868,229,83,22,22
2,64,2337,169,36,38,70,327,95,94,18,155,296
3,151,89,32,52,128,506,89,70,108,262,61,107
4,78,151,133,106,42,53,151,44,2282,125,498,109
5,66,10,91,503,241,46,96,137,173,59,263,35
6,108,119,54,165,2115,43,19,408,176,30,1807,120
7,130,1000,39,104,38,230,431,179,349,246,11,117
8,37,55,2632,140,58,422,138,75,696,238,37,145
9,78,113,1724,1434,146,40,468,40,332,147,116,172
10,809,90,116,114,1846,38,79,45,128,227,184,52
11,2,184,178,1956,12,56,131,91,11,299,144,53
