layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
0,55,29,25,53,152,115,264,15,63,0,21,21
1,49,61,41,0,8,44,57,624,69,138,26,5
2,30,142,5,0,22,1,0,101,26,14,8,338
3,46,74,10,86,2,98,202,54,6,199,21,44
4,70,93,63,84,42,20,84,5,697,72,187,24
5,33,12,98,445,120,27,16,148,25,12,98,20
6,31,30,40,58,416,51,32,166,57,353,316,148
7,102,298,10,84,8,90,272,104,85,88,20,132
8,29,41,1518,36,13,26,44,13,176,40,94,78
9,39,5,558,341,26,72,209,12,165,62,27,15
10,353,61,9,7,742,46,115,100,17,92,48,12
11,3,247,52,1745,5,22,70,11,45,85,50,56
