layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
0,123,27,127,54,192,18,878,25,133,1,134,149
1,92,10,2,71,17,96,255,544,69,44,5,9
2,2,390,1,0,20,1,0,93,2,10,0,169
3,10,1,0,1,15,9,0,3,12,31,45,16
4,34,10,24,12,43,3,6,86,308,18,5,31
5,29,4,2,145,43,10,72,6,58,4,153,49
6,7,12,11,10,203,60,9,94,4,61,151,0
7,88,154,8,36,15,48,414,41,53,55,5,89
8,34,50,1272,23,20,26,30,39,121,65,57,40
9,66,13,391,165,22,72,128,22,85,56,63,16
10,165,39,59,6,597,7,54,183,267,135,20,14
11,4,335,62,1565,6,49,87,15,99,129,58,66
