site_id,score
L21.attn_out,1.32
L23.attn_out,0.835
L31.resid_post,0.765
L18.mlp_in,0.595
L22.mlp_in,0.565
L17.resid_post,0.475
L18.resid_mid,0.465
L21.mlp_in,0.46
L22.resid_mid,0.455
L21.resid_post,0.425
L21.resid_mid,0.42
L28.resid_post,0.415
L31.resid_mid,0.415
L31.mlp_in,0.405
L20.resid_mid,0.4
L31.attn_in,0.39
L19.resid_mid,0.385
L20.mlp_in,0.385
L20.resid_post,0.385
L19.mlp_in,0.375
L19.resid_post,0.375
L21.attn_in,0.37
L30.resid_mid,0.355
L18.resid_post,0.345
L22.attn_in,0.345
L30.resid_post,0.345
L27.resid_post,0.33
L30.mlp_in,0.325
L16.mlp_in,0.32
L29.mlp_in,0.315
L16.resid_post,0.31
L16.resid_mid,0.305
L28.resid_mid,0.305
L29.resid_mid,0.305
L20.attn_in,0.29
L26.attn_out,0.29
L28.mlp_in,0.29
L29.resid_post,0.29
L27.resid_mid,0.285
L18.attn_in,0.28
L27.attn_in,0.275
L27.mlp_in,0.275
L17.resid_mid,0.265
L29.attn_in,0.265
L28.attn_in,0.26
L19.attn_in,0.25
L23.mlp_in,0.25
L26.resid_mid,0.235
L26.mlp_in,0.235
L26.resid_post,0.235
L17.attn_in,0.22
L17.mlp_in,0.22
L23.resid_mid,0.22
L31.mlp_out,0.22
L24.attn_in,0.2
L24.resid_post,0.2
L30.attn_in,0.2
L23.resid_post,0.195
L26.attn_in,0.19
L15.resid_post,0.185
L25.resid_mid,0.18
L25.attn_in,0.175
L25.mlp_in,0.175
L25.resid_post,0.175
L30.attn_out,0.175
L25.attn_out,0.17
L16.attn_in,0.16
L22.resid_post,0.16
L24.mlp_in,0.155
L15.resid_mid,0.15
L28.mlp_out,0.145
L14.mlp_in,0.14
L23.attn_in,0.14
L24.resid_mid,0.14
L24.mlp_out,0.14
L29.attn_out,0.14
L17.mlp_out,0.135
L13.resid_post,0.13
L14.resid_post,0.13
L15.mlp_in,0.13
L21.mlp_out,0.11
L01.resid_post,0.105
L00.resid_post,0.1
L18.attn_out,0.1
L27.attn_out,0.1
L00.mlp_out,0.095
L30.mlp_out,0.095
L01.resid_mid,0.09
L20.attn_out,0.09
L03.attn_out,0.085
L01.attn_in,0.08
L01.mlp_in,0.08
L04.attn_out,0.08
L13.mlp_in,0.08
L00.attn_in,0.075
L11.resid_mid,0.075
L04.resid_mid,0.07
L07.resid_mid,0.065
L14.resid_mid,0.065
L15.attn_out,0.065
L02.attn_in,0.06
L03.mlp_out,0.06
L03.resid_post,0.06
L04.attn_in,0.06
L05.attn_in,0.06
L07.mlp_in,0.06
L15.attn_in,0.06
L31.attn_out,0.06
L04.resid_post,0.055
L05.resid_mid,0.055
L10.mlp_in,0.055
L17.attn_out,0.055
L14.attn_in,0.05
L16.attn_out,0.05
L18.mlp_out,0.05
L29.mlp_out,0.05
L00.resid_mid,0.045
L03.resid_mid,0.045
L04.mlp_in,0.045
L09.resid_mid,0.045
L11.mlp_in,0.045
L19.attn_out,0.045
L19.mlp_out,0.045
L00.mlp_in,0.04
L01.mlp_out,0.04
L02.resid_mid,0.04
L03.attn_in,0.04
L05.resid_post,0.04
L13.resid_mid,0.04
L22.attn_out,0.04
L28.attn_out,0.04
L03.mlp_in,0.035
L10.resid_mid,0.035
L11.resid_post,0.035
L12.mlp_in,0.035
L12.mlp_out,0.035
L00.attn_out,0.03
L02.resid_post,0.03
L06.mlp_out,0.03
L06.resid_post,0.03
L07.resid_post,0.03
L12.resid_mid,0.03
L13.mlp_out,0.03
L20.mlp_out,0.03
L02.mlp_out,0.025
L05.mlp_in,0.025
L06.resid_mid,0.025
L06.mlp_in,0.025
L08.attn_out,0.025
L08.resid_mid,0.025
L09.mlp_in,0.025
L15.mlp_out,0.025
L02.attn_out,0.02
L07.attn_in,0.02
L09.attn_out,0.02
L09.resid_post,0.02
L10.resid_post,0.02
L11.attn_in,0.02
L12.attn_in,0.02
L12.resid_post,0.02
L16.mlp_out,0.02
L23.mlp_out,0.02
L24.attn_out,0.02
L02.mlp_in,0.015
L04.mlp_out,0.015
L05.mlp_out,0.015
L06.attn_in,0.015
L08.resid_post,0.015
L09.attn_in,0.015
L10.attn_in,0.015
L13.attn_in,0.015
L22.mlp_out,0.015
L25.mlp_out,0.015
L27.mlp_out,0.015
L05.attn_out,0.01
L07.attn_out,0.01
L07.mlp_out,0.01
L08.attn_in,0.01
L08.mlp_in,0.01
L26.mlp_out,0.01
L01.attn_out,0.005
L06.attn_out,0.005
L08.mlp_out,0.005
L09.mlp_out,0.005
L10.attn_out,0.005
L11.attn_out,0.005
L14.mlp_out,0.005
L10.mlp_out,0.0
L11.mlp_out,0.0
L12.attn_out,0.0
L13.attn_out,0.0
L14.attn_out,0.0
