layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,3,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0
16,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,6,0,0,0,1,0,0,0,0,0,0,0,63,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0
20,0,0,0,1,0,0,1,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,4,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,787,0,17,5,0,6,0,0,0,0,0
22,0,7,7,8,9,3,0,0,2,3,18,8,2,2,5,13,12,18,61,4,0,0,2,1,0,10,0,2,5,14,3,1
23,53,6,0,0,0,53,29,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,442,0,1166,283,0,0,0,1,0,2
24,0,0,0,1,2,2,0,0,0,1,0,0,0,0,18,3,16,82,3,0,14,1,1,1,9,12,0,4,0,0,0,0
25,0,0,0,0,17,76,29,23,0,2,7,24,5,87,12,32,0,13,7,0,2,0,1,8,1,0,0,0,0,2,0,1
26,1,0,2,19,4,17,0,20,1,1,7,0,24,64,123,9,0,1,0,2,0,2,0,5,3,0,2,1,4,22,9,326
27,0,1,3,0,117,68,82,35,1,4,4,5,0,23,28,28,3,2,2,4,50,6,48,87,0,0,1,0,14,17,6,0
28,186,0,0,0,0,8,0,1,0,0,0,0,0,35,1,0,0,0,69,0,23,1,0,3,0,0,0,0,1,0,0,2
29,0,0,0,1,1,0,1,0,50,36,72,38,1,3,1,1,10,0,0,5,4,22,7,5,4,0,0,5,14,0,72,381
30,72,46,453,1,1,2,0,0,2,3,24,29,37,38,126,157,6,72,176,46,5,66,25,5,66,65,50,58,11,125,36,12
31,183,45,47,455,33,10,53,171,1,1,3,5,58,12,13,52,0,0,4,1,174,16,8,27,8,0,0,6,20,0,12,1
