layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,13,0,0,0,9,3,0,1,1,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,3,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,9,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,12,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0
16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
18,0,0,0,0,2,0,0,0,0,0,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,15,0,0,0,0,0,4,0,1,0,0,0
20,0,1,0,1,0,0,1,0,2,5,0,0,0,1,7,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,1,603,0,16,2,0,1,0,0,0,0,0
22,0,1,5,0,19,5,0,0,0,1,0,4,0,0,7,13,7,0,20,2,0,0,2,1,0,7,0,3,1,7,1,1
23,69,13,0,0,0,50,24,0,3,1,0,0,0,0,0,0,1,0,0,0,0,3,321,0,1052,229,0,0,0,0,0,0
24,0,2,0,6,12,1,1,0,0,4,0,0,9,1,7,5,16,96,4,0,14,2,5,2,8,9,1,7,0,6,2,1
25,1,0,1,0,13,102,23,19,0,2,13,8,4,74,9,31,6,9,4,1,1,0,1,9,0,0,0,0,0,3,0,1
26,9,22,26,46,48,91,0,19,2,1,113,0,43,67,139,14,13,27,1,1,26,10,10,14,13,12,51,21,18,32,26,278
27,0,0,0,0,88,45,51,13,1,2,2,2,0,3,1,15,9,2,0,1,48,12,35,66,0,0,0,0,5,22,4,3
28,144,0,0,0,0,16,0,3,1,0,0,1,0,35,1,1,0,2,60,0,21,4,0,7,0,0,0,0,2,0,1,4
29,0,0,0,2,1,0,1,0,38,24,60,29,1,2,1,0,15,0,0,1,7,24,2,1,5,1,4,4,5,0,23,301
30,42,39,417,1,3,2,7,0,1,14,14,17,33,26,137,155,14,54,160,24,4,52,23,4,66,64,54,71,1,115,37,4
31,69,26,59,303,0,0,23,108,0,0,5,6,55,6,3,7,0,0,1,0,108,8,5,15,13,1,3,4,21,0,3,1
