layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,25,1,0,1,0,0,16,2,0,0,8,4,0,1,1,1,2,0,1,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,1,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,5,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,1,7,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,12,1,0,0,1,0,1,1,0,9,4,0,1,0,1,0,3,2,0,0,0,0,1,23,1,0,1,0,1,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
12,0,0,0,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
13,0,0,2,0,0,0,1,0,0,1,23,0,0,9,1,0,3,0,0,0,0,1,0,0,1,4,0,0,6,0,2,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,2
15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0
16,0,1,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,2,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0
18,0,0,0,0,1,0,0,1,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,3,2,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,1,26,0,0,0,0,0,5,0,1,0,0,0
20,0,1,0,2,0,0,1,0,1,3,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,0,0,2,1,1,0,0,0,1,0,35,0,0,0,2,0,0,0,0,0,1,545,0,22,3,0,2,0,0,0,1,0
22,2,1,8,9,14,7,0,0,6,10,21,8,1,1,8,15,17,23,100,11,0,0,1,1,3,11,1,5,10,23,3,2
23,170,143,11,30,175,79,65,68,146,62,140,97,59,82,79,133,98,60,95,89,136,131,533,182,1430,284,95,76,32,123,34,66
24,0,0,0,7,9,0,1,0,0,4,0,0,3,0,6,1,13,64,2,0,10,2,4,1,8,7,30,3,1,0,0,1
25,1,0,0,0,10,90,20,21,0,2,8,2,3,55,8,32,4,5,4,1,1,0,2,9,0,0,0,0,0,1,0,1
26,1,17,15,41,21,70,0,12,4,2,123,3,32,51,128,12,9,35,0,1,2,11,2,16,7,1,11,17,8,12,19,220
27,3,15,6,9,162,79,91,32,1,3,16,29,5,5,104,5,15,17,58,3,96,50,70,100,0,2,3,0,21,23,5,34
28,163,0,1,1,0,7,0,5,0,1,1,0,1,36,1,1,1,4,62,0,17,3,0,6,0,0,0,0,1,1,9,2
29,0,0,0,2,1,0,1,0,35,27,59,26,1,2,1,0,13,0,0,0,5,31,2,3,6,1,5,13,5,0,14,215
30,56,25,307,0,22,5,6,1,1,3,1,13,34,24,122,123,13,11,161,15,4,62,19,1,45,42,39,57,3,89,25,4
31,54,15,68,275,0,0,15,70,0,0,3,6,39,4,17,3,0,0,0,0,93,7,2,13,38,0,7,3,17,0,3,1
