layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,68,55,38,75,61,58,67,52,62,70,75,74,37,67,46,78,49,84,21,166,31,158,11,11,80,88,81,36,0,0,0,0
1,45,28,127,72,115,55,167,18,41,20,51,51,72,26,14,64,40,76,34,40,54,88,49,70,19,31,35,30,76,100,70,73
2,48,17,64,44,43,72,19,63,30,32,19,70,174,119,77,101,60,94,31,128,26,1,6,2,72,37,36,50,78,61,55,63
3,63,136,70,38,57,57,38,45,74,65,41,80,173,60,30,42,49,50,42,65,37,57,93,29,104,15,89,44,91,38,69,62
4,46,66,76,73,56,50,71,63,88,47,19,62,123,77,73,24,61,35,63,23,55,40,29,73,127,83,46,45,35,112,54,62
5,48,55,87,122,60,39,26,108,149,117,4,49,57,40,35,90,68,64,69,98,72,49,67,34,42,46,27,77,37,73,154,78
6,67,46,54,55,104,45,28,41,66,26,79,82,71,144,163,43,83,20,86,40,93,65,33,95,30,32,20,30,328,46,106,40
7,49,51,75,192,45,63,51,58,49,66,91,80,77,25,77,41,87,51,46,29,13,97,21,111,33,16,99,17,81,104,64,46
8,82,13,23,75,39,62,120,96,41,53,40,25,24,66,37,65,98,39,117,55,81,44,55,30,67,65,76,124,81,34,79,45
9,92,29,71,76,141,108,80,122,64,59,38,29,90,60,40,140,167,40,192,58,52,105,42,20,60,55,47,64,65,40,80,69
10,43,48,42,35,30,33,32,7,36,110,45,39,11,59,71,85,53,72,49,42,94,54,46,27,155,35,90,96,46,78,57,20
11,48,85,94,84,74,109,113,85,87,70,38,57,20,37,88,78,39,56,49,75,82,126,64,47,139,33,53,110,26,33,31,103
12,14,27,48,22,56,42,81,69,63,92,129,49,62,71,20,80,47,46,25,45,106,97,49,14,61,65,57,72,41,77,64,82
13,44,67,41,49,42,187,144,150,53,115,45,65,91,65,115,96,28,48,163,13,137,37,59,27,68,89,118,49,28,142,42,148
14,54,28,30,96,20,177,80,81,58,58,42,168,60,54,97,67,65,48,30,75,33,47,45,38,211,105,49,34,40,94,9,97
15,62,29,30,97,100,70,39,64,24,43,52,33,118,45,107,52,67,36,85,110,38,71,52,67,95,69,162,98,30,58,107,71
16,54,124,62,82,91,53,95,102,81,128,250,66,66,45,30,96,105,70,38,34,80,86,109,25,67,36,267,82,117,63,29,60
17,51,55,30,140,48,55,54,46,74,54,90,41,40,679,47,40,27,33,93,45,46,82,41,59,80,90,116,48,17,117,21,54
18,48,88,74,96,151,24,6,72,75,82,8,15,1606,23,157,61,46,18,58,18,75,134,16,115,36,88,78,20,26,43,18,20
19,58,58,83,18,38,30,28,52,66,22,20,62,37,66,38,11,29,96,81,319,98,9,62,53,19,30,49,255,73,69,29,19
20,60,58,34,71,27,122,47,35,159,398,143,85,119,51,39,46,29,79,51,9,22,57,40,28,28,65,97,43,12,12,37,8
21,82,110,82,27,113,13,38,56,61,37,27,51,14,39,302,320,12,72,130,108,43,2458,34,46,360,34,356,126,2,1,21,37
22,66,203,21,36,74,39,24,22,28,63,62,69,29,19,89,85,12,10,30,21,56,8,57,21,23,68,134,18,61,34,46,10
23,5,28,22,56,22,329,297,36,72,73,62,67,13,54,84,42,30,10,36,0,176,131,3604,68,5991,1677,63,82,2,41,51,24
24,133,63,67,52,22,19,41,52,73,18,38,5,48,12,60,18,69,722,54,37,217,57,69,112,51,153,54,44,25,26,33,44
25,56,38,42,4,120,693,348,144,33,28,78,1232,21,296,143,168,69,1017,555,61,11,92,21,47,78,25,48,87,33,42,33,39
26,145,63,53,58,26,46,32,94,203,61,41,144,192,288,253,40,107,27,21,29,54,14,13,4,1113,159,62,9,30,69,38,1143
27,137,17,73,240,351,252,172,208,29,42,81,23,49,32,93,58,192,23,61,146,157,38,170,195,53,118,43,12,13,16,23,41
28,324,15,29,119,20,62,45,73,87,15,0,35,29,144,83,54,142,39,339,210,8,8,14,7,35,3,13,2,43,76,41,13
29,58,49,12,77,51,62,48,48,136,113,39,90,225,20,125,66,487,39,13,37,44,62,15,21,4,36,171,63,155,27,346,804
30,113,68,539,42,19,2,45,3,31,13,20,69,51,70,142,149,9,19,144,165,15,146,137,8,103,82,51,80,26,207,56,23
31,627,111,36,659,583,35,151,206,27,84,41,28,118,94,2,57,33,388,60,5,235,68,19,58,0,0,0,65,69,2,185,111
