layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,31,9,61,32,5,2,6,8,1,12,4,8,0,1,0,4,6,0,4,0,3,1,3,67,22,3,4,4,0,0,0,0
1,39,10,8,27,10,5,1,0,15,3,83,4,1,2,3,14,27,7,12,14,82,41,18,3,14,1,12,10,15,4,9,45
2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,1,0,10,0,0,5,2,2,6,0,0,0,0,1,0,3,0
3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,4,0,1,13,0,4,0,0,0,3,3,3,0
4,3,0,17,0,3,3,1,7,5,1,1,0,4,6,0,2,13,2,1,0,0,0,1,0,5,1,8,3,20,5,6,3
5,1,3,1,0,3,1,0,0,1,1,0,3,2,7,0,5,5,2,4,7,0,1,0,2,0,6,2,0,2,4,0,7
6,4,4,0,2,23,2,0,17,7,0,7,1,13,44,1,2,3,0,27,1,1,6,3,1,3,1,1,2,0,5,4,0
7,5,9,15,2,13,71,13,7,54,5,2,19,45,9,39,19,0,23,27,8,2,123,9,3,8,3,5,6,14,29,4,4
8,0,2,6,3,18,16,88,6,10,66,1,3,3,4,5,10,11,6,6,7,16,1,5,7,11,46,2,1,9,11,19,4
9,59,12,22,5,24,75,59,14,5,37,8,6,6,23,15,1,3,8,59,27,39,22,69,8,17,12,37,19,33,8,19,19
10,20,70,5,2,11,4,7,10,30,32,24,38,0,1,3,6,50,35,21,13,7,3,40,13,152,32,31,68,47,20,9,4
11,8,20,27,12,3,0,2,46,0,2,8,14,2,13,51,8,11,5,28,47,11,20,37,32,38,12,13,19,0,4,0,5
12,11,11,105,45,42,26,58,46,13,17,49,87,23,54,27,129,50,29,4,39,26,92,47,26,82,26,50,22,82,22,79,63
13,1,12,12,49,0,0,0,41,13,4,35,16,5,16,3,9,31,0,4,83,1,1,7,1,15,34,0,3,30,57,92,24
14,5,1,2,4,0,0,2,0,1,52,44,4,3,16,13,1,1,2,4,11,1,16,1,1,7,2,25,8,6,8,0,29
15,5,4,2,0,16,22,38,10,5,41,19,9,2,0,9,0,5,0,5,4,18,5,1,12,34,7,46,1,6,2,0,2
16,4,7,9,23,22,105,25,6,4,11,50,1,36,9,33,1,39,67,14,110,3,1,54,3,8,2,8,11,6,53,39,26
17,0,1,4,1,0,0,5,1,4,0,0,0,2,11,0,20,2,0,0,2,4,3,6,0,5,7,0,1,0,0,1,2
18,26,11,3,3,4,1,0,3,3,2,3,9,303,1,58,1,6,0,0,0,17,0,1,18,41,15,7,8,12,14,2,0
19,3,3,6,3,1,3,2,1,20,22,3,15,1,7,0,4,0,0,1,9,52,1,3,5,0,0,11,5,4,1,4,0
20,3,2,2,19,0,0,5,0,3,60,0,10,0,2,10,0,42,3,0,1,0,3,3,0,0,2,2,1,1,0,0,0
21,1,2,9,2,1,5,0,0,21,0,36,0,0,0,7,14,3,6,0,24,3,1137,0,17,14,1,26,10,0,0,1,1
22,2,19,3,1,14,2,1,1,5,8,1,7,0,0,16,11,4,1,2,0,0,0,0,0,0,4,0,0,4,5,0,0
23,74,65,9,1,3,92,48,5,36,1,30,5,6,0,8,9,6,13,6,8,10,30,780,2,1864,498,15,10,4,25,12,16
24,17,26,3,78,46,23,33,19,3,17,8,0,35,16,13,7,29,220,26,13,53,23,21,44,21,18,47,12,63,15,2,21
25,2,25,11,0,26,153,62,50,0,10,32,94,9,145,34,72,68,262,104,0,6,4,12,11,11,2,0,0,6,6,0,1
26,4,4,3,12,26,10,0,48,0,0,4,5,43,100,147,5,3,1,0,7,1,5,1,21,8,0,0,9,0,39,18,423
27,9,15,22,32,269,113,93,79,40,17,82,86,17,38,55,39,141,67,34,21,123,72,93,153,1,2,4,4,31,14,34,49
28,265,0,0,4,1,4,2,16,2,0,10,7,1,84,9,2,83,20,200,0,29,9,4,8,0,0,14,2,0,19,25,3
29,0,1,2,4,3,0,0,0,101,55,56,58,2,6,4,5,98,0,3,8,21,35,19,6,11,0,1,104,73,20,171,620
30,41,24,406,3,0,0,16,1,9,37,42,33,34,31,144,194,20,26,152,122,11,52,25,8,58,62,47,74,2,121,39,9
31,138,34,57,486,14,21,63,173,2,3,5,4,139,11,19,18,0,8,3,2,166,25,15,21,29,5,1,6,23,0,10,4
