layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,77,19,55,134,125,52,37,81,123,36,79,79,28,104,65,65,84,108,75,135,111,136,122,136,98,63,41,115,150,150,150,150
1,65,102,24,27,68,17,4,1,71,2,45,10,5,1,0,0,22,66,39,25,32,42,15,8,32,14,20,3,64,8,89,4
2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0
3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,2,5,4,4,0
4,0,0,1,0,4,4,0,2,1,0,1,0,3,2,1,0,10,3,0,0,0,0,1,0,2,1,2,0,20,1,0,1
5,0,0,0,0,2,0,0,0,0,0,0,1,2,5,4,0,2,0,0,9,0,1,0,1,0,2,7,0,0,1,0,0
6,8,3,2,4,14,24,3,29,10,0,5,0,9,62,1,5,1,0,1,2,6,14,8,2,15,0,0,1,0,18,5,2
7,1,3,5,1,3,7,22,0,5,1,1,18,15,3,20,1,0,6,19,3,11,1,8,2,5,1,1,1,5,2,0,0
8,0,2,3,0,3,8,47,0,0,3,0,2,1,2,0,0,8,0,2,0,2,5,0,1,3,13,1,0,0,0,3,3
9,23,2,4,0,4,18,33,28,11,1,4,4,0,9,5,2,0,3,11,3,6,5,9,1,0,0,7,7,16,0,2,1
10,1,21,0,2,3,0,1,1,3,4,1,7,0,1,0,1,0,25,0,0,0,0,3,1,48,1,0,33,0,1,2,1
11,3,10,4,13,7,0,0,91,0,4,9,16,5,13,14,20,4,10,9,63,64,23,0,12,64,23,22,72,7,15,0,12
12,4,0,5,6,1,3,3,2,2,0,1,2,4,6,4,5,0,3,0,0,5,7,6,2,11,0,6,1,0,0,2,9
13,2,1,15,16,2,11,0,7,2,6,37,32,17,16,4,4,13,5,3,90,5,2,6,2,4,7,3,0,14,15,16,57
14,2,0,2,1,0,0,0,2,1,11,19,2,0,9,7,1,1,0,0,7,1,12,4,1,0,0,11,4,1,4,0,6
15,5,2,2,0,2,5,16,5,5,22,6,2,1,0,4,0,0,0,0,0,3,3,1,0,14,0,6,0,2,0,3,1
16,3,10,19,26,8,43,6,2,2,2,21,2,9,8,8,13,22,65,6,128,6,1,24,2,8,0,60,33,6,14,16,8
17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,3,1,2,0,3,1,0,1,0,0,0,0
18,9,3,4,0,2,0,0,2,2,0,2,2,77,0,5,2,4,0,0,0,25,1,1,17,23,5,2,0,9,6,0,1
19,0,3,4,11,0,1,0,0,5,0,2,7,1,2,0,1,1,0,1,1,29,0,0,7,0,0,7,1,1,0,0,0
20,2,1,2,5,0,0,4,0,2,10,0,2,3,1,11,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
21,0,0,7,2,0,1,0,0,19,0,31,0,0,0,2,1,0,5,1,11,3,726,0,17,2,0,14,2,0,0,2,1
22,1,1,2,0,6,5,1,1,1,8,0,6,0,1,12,8,7,2,6,1,0,0,0,0,0,0,0,0,0,6,0,0
23,81,101,12,5,4,42,38,9,100,10,100,12,16,10,9,42,3,32,15,31,50,43,277,46,1015,268,16,34,14,32,14,25
24,3,5,0,28,7,6,6,8,0,4,0,1,39,11,5,0,13,95,4,2,30,1,5,4,13,45,4,5,11,5,0,5
25,4,38,22,9,14,56,45,27,0,17,120,21,20,124,21,52,1,129,50,9,7,13,271,18,9,0,0,8,33,18,1,3
26,1,1,0,2,7,0,0,24,0,1,2,0,13,34,68,6,1,0,0,0,0,1,0,1,0,0,0,0,0,21,4,163
27,1,0,0,3,112,45,42,12,18,1,8,8,0,14,10,20,132,14,2,0,64,5,43,80,0,0,0,0,5,8,4,5
28,166,0,0,1,0,5,0,4,1,1,3,2,0,55,3,0,100,5,112,0,14,4,0,6,0,0,15,0,0,7,8,1
29,0,0,1,0,0,0,0,0,33,11,42,21,0,0,0,0,31,0,1,0,8,11,11,8,1,1,1,0,32,3,126,275
30,50,18,251,7,44,1,12,5,16,35,44,14,30,43,92,144,23,26,99,110,6,33,19,47,48,30,29,59,0,93,28,6
31,41,45,54,222,10,13,31,84,1,31,16,26,102,37,10,49,1,102,1,9,94,20,16,12,65,3,11,3,22,6,3,28
