layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,7,1,1,2,0,1,1,0,4,0,0,1
2,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,4,0,8,0,0,1,10,1,1,0,1,0
3,0,0,5,0,0,3,2,6,2,2,2,1,0,0,1,1,1,4,18,9,1,8,9,13,15,0,12,1,8,6,14,10
4,24,2,18,2,17,8,20,18,9,65,19,7,5,43,35,4,14,1,4,8,1,2,2,0,13,25,24,18,6,8,0,16
5,2,6,9,1,7,3,0,12,2,0,0,12,4,13,6,17,190,71,2,43,0,1,7,1,16,1,2,27,10,4,0,8
6,22,8,6,4,43,20,8,98,15,3,11,6,29,98,15,22,12,10,47,4,112,26,164,14,42,19,7,26,1,11,23,10
7,32,40,46,14,19,57,89,7,20,48,26,47,51,18,97,57,21,32,34,17,22,174,27,21,14,99,44,13,51,84,23,25
8,12,0,13,5,152,59,66,38,45,14,14,21,5,34,66,43,74,14,53,129,34,83,18,21,33,75,18,6,39,19,29,81
9,36,28,46,13,29,115,97,59,12,28,60,56,9,23,16,13,59,48,96,78,32,27,33,18,26,13,89,6,41,66,21,119
10,31,36,151,7,47,6,20,4,11,83,77,69,1,4,2,5,15,99,68,10,54,46,14,16,213,94,17,218,64,23,22,156
11,33,50,38,43,108,22,25,23,11,74,109,63,101,30,207,87,41,36,119,24,59,169,45,74,53,52,59,64,1,29,2,14
12,7,8,78,141,96,76,125,33,60,129,92,38,7,143,98,165,71,10,35,37,143,51,89,48,140,60,56,50,45,36,77,105
13,45,29,21,23,5,4,0,154,74,75,82,117,41,76,51,59,33,54,66,67,43,22,36,9,81,72,67,15,39,170,73,17
14,18,44,17,122,19,25,69,76,130,33,54,168,75,188,76,42,37,157,6,47,63,7,45,71,372,36,48,25,75,142,7,171
15,28,1,0,7,200,95,33,122,63,40,47,58,34,18,108,14,22,10,38,84,24,43,20,70,53,170,432,178,11,6,10,19
16,53,38,52,73,57,24,16,2,33,6,583,6,45,27,9,17,387,13,8,12,11,1,85,5,28,51,13,42,66,130,34,24
17,47,41,7,444,43,28,35,78,16,30,8,22,30,305,3,617,4,0,21,19,85,139,38,15,163,128,7,53,8,9,17,2
18,37,2,2,2,24,1,0,20,2,1,12,1,1842,0,124,7,27,1,1,0,137,0,60,146,10,16,10,2,53,81,1,0
19,13,6,12,42,1,0,0,17,82,14,3,6,3,55,8,14,0,0,1,174,161,2,1,72,0,5,12,3,1,0,0,0
20,16,15,1,41,0,0,17,0,37,301,1,5,49,24,24,0,9,6,1,2,0,31,12,0,3,10,8,9,1,11,2,0
21,7,24,37,35,33,25,2,2,1,13,51,0,4,2,158,181,0,7,15,346,9,1569,3,27,105,17,287,10,0,0,6,0
22,2,28,5,10,32,22,0,1,5,10,0,14,2,2,11,19,3,0,12,19,0,1,1,2,0,2,0,1,6,11,0,0
23,5,1,10,1,4,146,227,2,20,6,0,0,5,0,16,1,0,2,2,0,4,17,1969,0,3773,1030,3,37,3,4,0,2
24,1,9,0,28,10,6,6,36,0,1,0,0,83,9,17,2,23,224,12,2,62,0,27,7,15,67,47,35,1,0,2,1
25,8,2,40,0,48,343,89,82,0,1,16,754,17,185,51,97,0,1058,1167,1,15,29,10,13,34,1,0,0,2,0,3,0
26,26,11,4,28,10,5,3,112,0,0,22,2,47,252,171,15,7,4,2,15,0,10,33,21,111,0,0,26,0,42,18,634
27,2,0,1,14,300,166,189,114,23,1,9,15,4,13,8,77,174,9,4,1,162,15,128,180,0,1,5,0,27,1,26,3
28,393,1,1,60,1,17,9,36,8,3,3,48,12,131,54,21,26,55,290,5,34,9,3,7,14,4,25,3,17,58,28,8
29,4,10,12,6,10,7,6,4,172,137,55,108,4,19,70,38,366,22,12,39,45,81,26,14,16,5,226,17,470,28,632,1557
30,173,125,730,34,12,2,141,4,22,38,22,81,58,71,170,222,31,12,94,249,25,152,48,4,189,148,77,105,26,271,68,38
31,1209,155,14,668,273,7,171,373,31,115,44,50,110,105,9,49,0,199,35,1,243,54,20,72,3,9,1,37,70,6,265,103
