layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,1,1,0,3,0,7,4,2,1,1,0,0,0,3,0,0,0
2,0,0,0,0,0,3,0,16,2,0,0,0,0,1,5,1,0,1,3,0,3,2,4,0,1,2,3,0,1,0,0,0
3,1,0,8,3,0,5,6,2,1,0,2,3,0,1,1,6,1,4,6,8,1,9,3,9,16,0,7,2,20,10,11,5
4,11,5,24,5,7,19,18,17,5,40,6,11,10,45,37,9,20,2,6,16,2,5,3,3,26,33,24,20,6,25,1,23
5,1,8,10,3,5,11,3,15,2,3,1,7,6,42,17,32,92,23,10,60,0,0,12,0,18,9,2,19,12,7,8,10
6,16,20,6,5,72,38,5,76,16,1,13,8,56,99,41,24,19,11,46,9,61,26,149,41,52,17,10,32,1,8,31,16
7,24,39,56,30,40,57,73,19,28,67,36,80,66,27,75,67,38,49,32,26,25,179,36,33,20,116,83,28,70,91,25,45
8,18,0,8,6,102,55,78,87,41,12,29,109,9,44,59,57,75,23,67,80,65,129,31,28,46,73,23,11,55,30,30,70
9,89,23,61,51,24,129,99,92,35,41,80,45,32,21,19,17,63,76,159,42,44,31,42,18,51,9,103,11,47,98,23,209
10,40,59,162,28,32,9,22,1,21,108,67,52,1,2,5,17,46,95,71,20,60,59,31,24,195,97,70,135,106,32,25,22
11,74,93,35,56,131,8,113,52,35,141,95,53,164,34,191,140,46,54,127,48,83,183,92,119,92,39,29,83,9,99,4,30
12,13,12,64,114,85,78,119,43,61,130,210,42,9,168,88,137,49,17,37,49,119,60,100,46,132,65,69,56,54,59,83,79
13,31,59,35,36,8,11,1,142,85,129,105,127,47,93,56,61,30,28,129,64,47,29,39,12,85,84,88,22,33,189,82,36
14,26,64,28,141,25,34,96,88,143,44,45,183,86,128,67,53,38,25,29,42,61,18,78,52,290,56,52,33,49,88,11,147
15,24,2,2,4,139,86,36,86,41,72,49,56,28,20,93,27,18,10,42,99,40,63,33,99,49,110,275,112,12,9,9,27
16,35,30,24,50,39,27,16,8,44,7,451,13,50,52,8,62,276,22,32,31,13,0,90,6,72,75,45,79,156,87,40,38
17,35,58,11,404,45,39,41,100,15,34,15,16,26,316,14,378,10,1,19,24,71,131,71,23,106,105,13,39,13,14,27,9
18,46,7,2,12,21,3,0,21,8,3,10,3,1794,6,204,15,25,1,5,1,91,0,42,94,12,35,38,5,41,50,0,4
19,28,20,16,44,5,3,0,17,102,32,15,15,4,31,13,8,2,0,5,182,109,1,1,85,0,5,9,8,5,3,4,2
20,39,19,12,58,0,2,17,0,68,373,3,29,55,24,24,3,12,12,9,2,1,40,19,0,5,12,32,23,2,20,3,1
21,7,29,26,29,27,23,4,5,11,17,54,0,5,4,174,218,0,8,50,192,10,1607,3,36,150,20,308,25,0,0,8,0
22,2,39,6,14,37,11,2,0,11,16,5,23,5,5,19,22,3,0,21,27,0,0,1,1,0,4,0,2,13,15,0,0
23,2,2,5,2,26,180,382,3,28,16,3,0,6,2,21,0,1,4,2,0,8,22,2297,1,4338,1174,6,48,3,4,1,2
24,0,10,1,32,9,5,5,27,0,2,1,0,79,6,29,2,26,258,13,2,74,1,35,11,18,81,44,25,3,0,1,1
25,17,3,31,0,58,371,97,83,0,5,25,713,14,187,66,107,3,952,1032,9,6,25,8,12,24,2,0,1,2,0,1,0
26,50,27,16,39,15,7,5,100,0,0,10,2,57,268,200,15,6,6,2,21,1,16,28,13,193,0,0,22,0,45,28,727
27,3,0,0,15,363,183,191,134,26,4,9,13,10,9,10,103,170,5,10,5,155,23,145,194,0,35,5,0,16,0,28,8
28,376,0,7,99,5,22,16,65,18,2,4,50,23,142,91,26,27,54,310,7,31,11,8,6,8,3,26,1,16,63,34,19
29,6,8,16,3,9,8,12,8,163,129,60,98,5,11,91,68,380,38,13,41,55,77,24,11,8,4,310,5,445,18,525,1545
30,162,106,704,55,40,5,141,9,21,45,20,78,52,72,165,203,39,12,89,278,13,156,41,2,160,117,67,93,22,246,67,35
31,954,136,24,666,306,5,117,330,29,66,24,45,118,113,3,85,1,176,49,1,246,63,20,61,1,4,0,23,54,4,231,67
