variant,family,rank,layer,kl
full_rank,full,full,0,2.921670
full_rank,full,full,1,2.159769
full_rank,full,full,2,2.005770
full_rank,full,full,3,1.861775
full_rank,full,full,4,1.745591
full_rank,full,full,5,1.698860
full_rank,full,full,6,0.806304
full_rank,full,full,7,0.636696
full_rank,full,full,8,0.431169
full_rank,full,full,9,0.313597
full_rank,full,full,10,0.175934
full_rank,full,full,11,0.074985
truncated_r1,truncated,1,0,13.493294
truncated_r1,truncated,1,1,5.078652
truncated_r1,truncated,1,2,4.819480
truncated_r1,truncated,1,3,4.419947
truncated_r1,truncated,1,4,4.011827
truncated_r1,truncated,1,5,3.767925
truncated_r1,truncated,1,6,2.836204
truncated_r1,truncated,1,7,2.333747
truncated_r1,truncated,1,8,1.376144
truncated_r1,truncated,1,9,1.040342
truncated_r1,truncated,1,10,0.539032
truncated_r1,truncated,1,11,0.188360
random_r1,random,1,0,55.585060
random_r1,random,1,1,8.818857
random_r1,random,1,2,7.229636
random_r1,random,1,3,6.955022
random_r1,random,1,4,6.640616
random_r1,random,1,5,6.347623
random_r1,random,1,6,4.606714
random_r1,random,1,7,4.030479
random_r1,random,1,8,2.905060
random_r1,random,1,9,2.627776
random_r1,random,1,10,2.294793
random_r1,random,1,11,1.426342
trained_r1,trained,1,0,6.736718
trained_r1,trained,1,1,4.168175
trained_r1,trained,1,2,3.900909
trained_r1,trained,1,3,3.797087
trained_r1,trained,1,4,3.593250
trained_r1,trained,1,5,3.492545
trained_r1,trained,1,6,2.586670
trained_r1,trained,1,7,2.051122
trained_r1,trained,1,8,1.101071
trained_r1,trained,1,9,0.806594
trained_r1,trained,1,10,0.420638
trained_r1,trained,1,11,0.148298
truncated_r4,truncated,4,0,11.800471
truncated_r4,truncated,4,1,4.425394
truncated_r4,truncated,4,2,3.890811
truncated_r4,truncated,4,3,3.764825
truncated_r4,truncated,4,4,3.609546
truncated_r4,truncated,4,5,3.402491
truncated_r4,truncated,4,6,2.782771
truncated_r4,truncated,4,7,2.214621
truncated_r4,truncated,4,8,1.192543
truncated_r4,truncated,4,9,0.928827
truncated_r4,truncated,4,10,0.496055
truncated_r4,truncated,4,11,0.193602
random_r4,random,4,0,53.038632
random_r4,random,4,1,8.780370
random_r4,random,4,2,7.154399
random_r4,random,4,3,7.025596
random_r4,random,4,4,6.655746
random_r4,random,4,5,6.348302
random_r4,random,4,6,4.609704
random_r4,random,4,7,3.998662
random_r4,random,4,8,2.875111
random_r4,random,4,9,2.607706
random_r4,random,4,10,2.342469
random_r4,random,4,11,1.425540
trained_r4,trained,4,0,5.365853
trained_r4,trained,4,1,3.386764
trained_r4,trained,4,2,3.203186
trained_r4,trained,4,3,3.078127
trained_r4,trained,4,4,2.886864
trained_r4,trained,4,5,2.832472
trained_r4,trained,4,6,1.913062
trained_r4,trained,4,7,1.471297
trained_r4,trained,4,8,0.855249
trained_r4,trained,4,9,0.616629
trained_r4,trained,4,10,0.319557
trained_r4,trained,4,11,0.113509
truncated_r8,truncated,8,0,9.786864
truncated_r8,truncated,8,1,4.160014
truncated_r8,truncated,8,2,3.695597
truncated_r8,truncated,8,3,3.513300
truncated_r8,truncated,8,4,3.234285
truncated_r8,truncated,8,5,3.157469
truncated_r8,truncated,8,6,2.402076
truncated_r8,truncated,8,7,1.942979
truncated_r8,truncated,8,8,1.120619
truncated_r8,truncated,8,9,0.809049
truncated_r8,truncated,8,10,0.454759
truncated_r8,truncated,8,11,0.176533
random_r8,random,8,0,52.538475
random_r8,random,8,1,8.448707
random_r8,random,8,2,7.082294
random_r8,random,8,3,6.894258
random_r8,random,8,4,6.592173
random_r8,random,8,5,6.149652
random_r8,random,8,6,4.616306
random_r8,random,8,7,3.964695
random_r8,random,8,8,2.783780
random_r8,random,8,9,2.629063
random_r8,random,8,10,2.236343
random_r8,random,8,11,1.340051
trained_r8,trained,8,0,4.306421
trained_r8,trained,8,1,3.015752
trained_r8,trained,8,2,2.865786
trained_r8,trained,8,3,2.729565
trained_r8,trained,8,4,2.552500
trained_r8,trained,8,5,2.467659
trained_r8,trained,8,6,1.504026
trained_r8,trained,8,7,1.210561
trained_r8,trained,8,8,0.717745
trained_r8,trained,8,9,0.521743
trained_r8,trained,8,10,0.282534
trained_r8,trained,8,11,0.103588
truncated_r16,truncated,16,0,7.999408
truncated_r16,truncated,16,1,3.775388
truncated_r16,truncated,16,2,3.525981
truncated_r16,truncated,16,3,3.221126
truncated_r16,truncated,16,4,2.938331
truncated_r16,truncated,16,5,2.889939
truncated_r16,truncated,16,6,2.049492
truncated_r16,truncated,16,7,1.673233
truncated_r16,truncated,16,8,1.022940
truncated_r16,truncated,16,9,0.737636
truncated_r16,truncated,16,10,0.389782
truncated_r16,truncated,16,11,0.164209
random_r16,random,16,0,47.118073
random_r16,random,16,1,8.551849
random_r16,random,16,2,7.137480
random_r16,random,16,3,6.731138
random_r16,random,16,4,6.587247
random_r16,random,16,5,6.362190
random_r16,random,16,6,4.626119
random_r16,random,16,7,4.221669
random_r16,random,16,8,2.732962
random_r16,random,16,9,2.615464
random_r16,random,16,10,2.257728
random_r16,random,16,11,1.397396
trained_r16,trained,16,0,3.941797
trained_r16,trained,16,1,2.786118
trained_r16,trained,16,2,2.686677
