variant,family,rank,layer,kl
full_rank,full,full,0,2.975232
full_rank,full,full,1,2.148073
full_rank,full,full,2,1.961802
full_rank,full,full,3,1.832542
full_rank,full,full,4,1.685490
full_rank,full,full,5,1.597654
full_rank,full,full,6,1.101780
full_rank,full,full,7,0.905097
full_rank,full,full,8,0.649851
full_rank,full,full,9,0.457661
full_rank,full,full,10,0.248371
full_rank,full,full,11,0.107190
truncated_r1,truncated,1,0,10.052050
truncated_r1,truncated,1,1,3.785124
truncated_r1,truncated,1,2,3.684296
truncated_r1,truncated,1,3,3.475496
truncated_r1,truncated,1,4,3.295942
truncated_r1,truncated,1,5,3.081359
truncated_r1,truncated,1,6,2.307049
truncated_r1,truncated,1,7,1.980724
truncated_r1,truncated,1,8,1.361472
truncated_r1,truncated,1,9,0.996078
truncated_r1,truncated,1,10,0.611505
truncated_r1,truncated,1,11,0.217435
random_r1,random,1,0,42.633579
random_r1,random,1,1,6.757359
random_r1,random,1,2,5.981007
random_r1,random,1,3,5.829956
random_r1,random,1,4,5.740523
random_r1,random,1,5,5.840171
random_r1,random,1,6,4.634502
random_r1,random,1,7,4.061774
random_r1,random,1,8,3.380888
random_r1,random,1,9,3.057348
random_r1,random,1,10,2.702391
random_r1,random,1,11,1.561359
trained_r1,trained,1,0,5.741293
trained_r1,trained,1,1,3.353309
trained_r1,trained,1,2,3.016235
trained_r1,trained,1,3,2.800637
trained_r1,trained,1,4,2.647066
trained_r1,trained,1,5,2.512437
trained_r1,trained,1,6,2.007016
trained_r1,trained,1,7,1.671904
trained_r1,trained,1,8,1.144322
trained_r1,trained,1,9,0.821188
trained_r1,trained,1,10,0.458661
trained_r1,trained,1,11,0.167723
truncated_r4,truncated,4,0,8.157910
truncated_r4,truncated,4,1,3.601013
truncated_r4,truncated,4,2,3.304198
truncated_r4,truncated,4,3,2.946752
truncated_r4,truncated,4,4,3.451165
truncated_r4,truncated,4,5,2.669218
truncated_r4,truncated,4,6,2.236985
truncated_r4,truncated,4,7,1.910123
truncated_r4,truncated,4,8,1.308183
truncated_r4,truncated,4,9,0.937171
truncated_r4,truncated,4,10,0.548572
truncated_r4,truncated,4,11,0.216375
random_r4,random,4,0,40.636278
random_r4,random,4,1,6.733127
random_r4,random,4,2,5.799048
random_r4,random,4,3,5.981284
random_r4,random,4,4,5.864142
random_r4,random,4,5,5.872687
random_r4,random,4,6,4.687409
random_r4,random,4,7,4.097578
random_r4,random,4,8,3.374858
random_r4,random,4,9,3.047373
random_r4,random,4,10,2.718944
random_r4,random,4,11,1.557102
trained_r4,trained,4,0,4.731126
trained_r4,trained,4,1,2.825864
trained_r4,trained,4,2,2.644863
trained_r4,trained,4,3,2.465769
trained_r4,trained,4,4,2.324791
trained_r4,trained,4,5,2.215284
trained_r4,trained,4,6,1.727568
trained_r4,trained,4,7,1.429419
trained_r4,trained,4,8,0.958138
trained_r4,trained,4,9,0.679116
trained_r4,trained,4,10,0.356064
trained_r4,trained,4,11,0.132649
truncated_r8,truncated,8,0,7.116923
truncated_r8,truncated,8,1,3.354656
