variant,family,rank,layer,kl
full_rank,full,full,0,4.117642
full_rank,full,full,1,3.087575
full_rank,full,full,2,2.865227
full_rank,full,full,3,2.714269
full_rank,full,full,4,2.573863
full_rank,full,full,5,2.470597
full_rank,full,full,6,1.800490
full_rank,full,full,7,1.476911
full_rank,full,full,8,1.064601
full_rank,full,full,9,0.734488
full_rank,full,full,10,0.376180
full_rank,full,full,11,0.154226
truncated_r1,truncated,1,0,11.563649
truncated_r1,truncated,1,1,4.438764
truncated_r1,truncated,1,2,4.025195
truncated_r1,truncated,1,3,3.784333
truncated_r1,truncated,1,4,3.515008
truncated_r1,truncated,1,5,3.306993
truncated_r1,truncated,1,6,2.668126
truncated_r1,truncated,1,7,2.396094
truncated_r1,truncated,1,8,1.813970
truncated_r1,truncated,1,9,1.357580
truncated_r1,truncated,1,10,0.804050
truncated_r1,truncated,1,11,0.288305
random_r1,random,1,0,48.246771
random_r1,random,1,1,7.884955
random_r1,random,1,2,6.646941
random_r1,random,1,3,6.403100
random_r1,random,1,4,6.184961
random_r1,random,1,5,6.100744
random_r1,random,1,6,5.310280
random_r1,random,1,7,4.838438
random_r1,random,1,8,3.976342
random_r1,random,1,9,3.567299
random_r1,random,1,10,3.060336
random_r1,random,1,11,1.719920
trained_r1,trained,1,0,6.955780
trained_r1,trained,1,1,4.064304
trained_r1,trained,1,2,3.688603
trained_r1,trained,1,3,3.453363
trained_r1,trained,1,4,3.254316
trained_r1,trained,1,5,3.107957
trained_r1,trained,1,6,2.579173
trained_r1,trained,1,7,2.210888
trained_r1,trained,1,8,1.549084
trained_r1,trained,1,9,1.077785
trained_r1,trained,1,10,0.590652
trained_r1,trained,1,11,0.218438
truncated_r4,truncated,4,0,9.611367
truncated_r4,truncated,4,1,4.294863
truncated_r4,truncated,4,2,3.841881
truncated_r4,truncated,4,3,3.520255
truncated_r4,truncated,4,4,3.381191
truncated_r4,truncated,4,5,3.141407
truncated_r4,truncated,4,6,2.601282
truncated_r4,truncated,4,7,2.348003
truncated_r4,truncated,4,8,1.786221
truncated_r4,truncated,4,9,1.298947
truncated_r4,truncated,4,10,0.721679
truncated_r4,truncated,4,11,0.283471
random_r4,random,4,0,45.911168
random_r4,random,4,1,7.865578
random_r4,random,4,2,6.553827
random_r4,random,4,3,6.392743
