model,checkpoint_step,total_tokens,layer,state_key,hidden_size,num_singular_values,top_singular_value,frobenius_norm,frobenius_energy,nuclear_norm,stable_rank,svd_seconds,effective_rank_rel_0.001,rank_for_variance_0.9,rank_for_variance_0.95,rank_for_variance_0.99,rank_for_variance_0.999,frobenius_energy_fraction_at_rank_1,frobenius_residual_fraction_at_rank_1,relative_frobenius_error_at_rank_1,variance_at_rank_1,frobenius_energy_fraction_at_rank_4,frobenius_residual_fraction_at_rank_4,relative_frobenius_error_at_rank_4,variance_at_rank_4,frobenius_energy_fraction_at_rank_8,frobenius_residual_fraction_at_rank_8,relative_frobenius_error_at_rank_8,variance_at_rank_8,frobenius_energy_fraction_at_rank_16,frobenius_residual_fraction_at_rank_16,relative_frobenius_error_at_rank_16,variance_at_rank_16,frobenius_energy_fraction_at_rank_32,frobenius_residual_fraction_at_rank_32,relative_frobenius_error_at_rank_32,variance_at_rank_32,frobenius_energy_fraction_at_rank_64,frobenius_residual_fraction_at_rank_64,relative_frobenius_error_at_rank_64,variance_at_rank_64,frobenius_energy_fraction_at_rank_96,frobenius_residual_fraction_at_rank_96,relative_frobenius_error_at_rank_96,variance_at_rank_96,frobenius_energy_fraction_at_rank_128,frobenius_residual_fraction_at_rank_128,relative_frobenius_error_at_rank_128,variance_at_rank_128,frobenius_energy_fraction_at_rank_256,frobenius_residual_fraction_at_rank_256,relative_frobenius_error_at_rank_256,variance_at_rank_256,frobenius_energy_fraction_at_rank_384,frobenius_residual_fraction_at_rank_384,relative_frobenius_error_at_rank_384,variance_at_rank_384,bias_norm
gpt2,250,65536000,0,translators.0.weight,768,768,13.228529930114746,26.603222461057232,707.7314453125,434.88470458984375,4.04431825481159,0.37615049409214407,748,190,287,464,615,0.2472604662179947,0.7527395337820053,0.867605632636168,0.2472604662179947,0.3477378189563751,0.6522621810436249,0.8076275014161076,0.3477378189563751,0.42213284969329834,0.5778671503067017,0.7601757364627614,0.42213284969329834,0.5184502601623535,0.4815497398376465,0.6939378501261093,0.5184502601623535,0.6260299682617188,0.37397003173828125,0.611530891892046,0.6260299682617188,0.740829586982727,0.25917041301727295,0.5090878244637883,0.740829586982727,0.805212676525116,0.19478732347488403,0.4413471688760267,0.805212676525116,0.8471784591674805,0.15282154083251953,0.39092395786459483,0.8471784591674805,0.9374255537986755,0.06257444620132446,0.25014884809114046,0.9374255537986755,0.9777454733848572,0.022254526615142822,0.14917951137854965,0.9777454733848572,1.0065367221832275
gpt2,250,65536000,1,translators.1.weight,768,768,5.63313627243042,14.93702090464693,223.11459350585938,263.09698486328125,7.031167801262187,0.06924059998709708,750,209,286,444,601,0.14222387969493866,0.8577761203050613,0.926162037823329,0.14222387969493866,0.2272174209356308,0.7727825790643692,0.8790805304773671,0.2272174209356308,0.2983461022377014,0.7016538977622986,0.8376478363622141,0.2983461022377014,0.39067837595939636,0.6093216240406036,0.7805905610757816,0.39067837595939636,0.5045695900917053,0.4954304099082947,0.7038681765133971,0.5045695900917053,0.6446338295936584,0.35536617040634155,0.596125968572366,0.6446338295936584,0.7348486185073853,0.26515138149261475,0.5149285207605175,0.7348486185073853,0.7998954653739929,0.20010453462600708,0.4473304534971961,0.7998954653739929,0.9342899918556213,0.06571000814437866,0.25633963436109264,0.9342899918556213,0.9808993339538574,0.019100666046142578,0.13820515926021928,0.9808993339538574,0.4066427946090698
gpt2,250,65536000,2,translators.2.weight,768,768,5.698726177215576,14.781712982475646,218.49903869628906,257.1715393066406,6.728123445989815,0.0674853230593726,749,201,277,437,597,0.14862984418869019,0.8513701558113098,0.9226972178408851,0.14862984418869019,0.22515538334846497,0.774844616651535,0.8802525868473975,0.22515538334846497,0.29238757491111755,0.7076124250888824,0.8411970191868742,0.29238757491111755,0.3905285596847534,0.6094714403152466,0.7806865185945294,0.3905285596847534,0.5121113061904907,0.4878886938095093,0.698490296145558,0.5121113061904907,0.6562912464141846,0.34370875358581543,0.5862667938625004,0.6562912464141846,0.746453583240509,0.25354641675949097,0.503533928111593,0.746453583240509,0.8102168440818787,0.18978315591812134,0.43564108612264907,0.8102168440818787,0.939454972743988,0.06054502725601196,0.24605899141468487,0.939454972743988,0.9824013113975525,0.01759868860244751,0.13266004900665276,0.9824013113975525,0.3771040439605713
gpt2,250,65536000,3,translators.3.weight,768,768,5.748787879943848,14.343661172961614,205.74061584472656,251.67770385742188,6.225402947735596,0.05329593096394092,752,206,283,443,602,0.1606321632862091,0.8393678367137909,0.9161702007344437,0.1606321632862091,0.22748447954654694,0.7725155204534531,0.8789286207954847,0.22748447954654694,0.2886069715023041,0.7113930284976959,0.8434411825952631,0.2886069715023041,0.380897581577301,0.619102418422699,0.7868306160938954,0.380897581577301,0.502423107624054,0.49757689237594604,0.7053913044374349,0.502423107624054,0.6472195982933044,0.35278040170669556,0.5939531982460365,0.6472195982933044,0.7388197183609009,0.2611802816390991,0.5110580022258717,0.7388197183609009,0.8039935827255249,0.1960064172744751,0.4427261199370047,0.8039935827255249,0.936339259147644,0.06366074085235596,0.2523108020920943,0.936339259147644,0.9811967611312866,0.01880323886871338,0.1371249024383003,0.9811967611312866,0.39452847838401794
gpt2,250,65536000,4,translators.4.weight,768,768,5.969013214111328,14.230054314751621,202.49444580078125,249.94752502441406,5.683397538409281,0.05588373902719468,750,209,289,451,607,0.17595109343528748,0.8240489065647125,0.9077713955422436,0.17595109343528748,0.24508193135261536,0.7549180686473846,0.8688602123744559,0.24508193135261536,0.3059413433074951,0.6940586566925049,0.833101828525484,0.3059413433074951,0.3932560384273529,0.6067439615726471,0.778937713538539,0.3932560384273529,0.5111615657806396,0.48883843421936035,0.6991698178692787,0.5111615657806396,0.6486268043518066,0.35137319564819336,0.592767404340179,0.6486268043518066,0.7370237708091736,0.2629762291908264,0.5128120798019743,0.7370237708091736,0.8006892204284668,0.1993107795715332,0.44644235862150583,0.8006892204284668,0.9335739016532898,0.0664260983467102,0.2577326101732379,0.9335739016532898,0.9797858595848083,0.02021414041519165,0.14217644113984443,0.9797858595848083,0.41922223567962646
gpt2,250,65536000,5,translators.5.weight,768,768,6.058328151702881,13.79919953167008,190.41790771484375,243.3385467529297,5.188026695866021,0.05381819896865636,751,213,293,455,610,0.19275151193141937,0.8072484880685806,0.898470081899548,0.19275151193141937,0.25281086564064026,0.7471891343593597,0.8644010263525603,0.25281086564064026,0.3090200424194336,0.6909799575805664,0.8312520421512156,0.3090200424194336,0.3932010531425476,0.6067989468574524,0.7789730077848991,0.3932010531425476,0.506422221660614,0.493577778339386,0.7025509080055238,0.506422221660614,0.6418845653533936,0.35811543464660645,0.5984274681585117,0.6418845653533936,0.7309356927871704,0.2690643072128296,0.5187140900465589,0.7309356927871704,0.7953919172286987,0.20460808277130127,0.4523362496763898,0.7953919172286987,0.9311637878417969,0.06883621215820312,0.26236656067075914,0.9311637878417969,0.9788234233856201,0.021176576614379883,0.14552173931883813,0.9788234233856201,0.386761873960495
gpt2,250,65536000,6,translators.6.weight,768,768,6.10261344909668,14.435230687791783,208.37588500976562,261.6053771972656,5.595201530405469,0.053576415986754,753,228,309,469,618,0.17872457206249237,0.8212754279375076,0.9062424774515414,0.17872457206249237,0.22735993564128876,0.7726400643587112,0.8789994677806757,0.22735993564128876,0.2772577702999115,0.7227422297000885,0.8501424761180261,0.2772577702999115,0.3606433570384979,0.6393566429615021,0.79959780074829,0.3606433570384979,0.4800337553024292,0.5199662446975708,0.7210868496218543,0.4800337553024292,0.6239023208618164,0.3760976791381836,0.6132680320530197,0.6239023208618164,0.7138586044311523,0.28614139556884766,0.5349218593111031,0.7138586044311523,0.7790047526359558,0.2209952473640442,0.4701013160628719,0.7790047526359558,0.9212784767150879,0.07872152328491211,0.2805735612721058,0.9212784767150879,0.975091814994812,0.02490818500518799,0.1578232714310155,0.975091814994812,0.38392412662506104
gpt2,250,65536000,7,translators.7.weight,768,768,6.151817321777344,13.823088992936443,191.07778930664062,251.91514587402344,5.048976470841501,0.05386794207151979,753,234,317,477,623,0.19805994629859924,0.8019400537014008,0.8955110572747836,0.19805994629859924,0.23938368260860443,0.7606163173913956,0.8721331993402129,0.23938368260860443,0.28412947058677673,0.7158705294132233,0.8460913245112629,0.28412947058677673,0.35991230607032776,0.6400876939296722,0.8000548068286774,0.35991230607032776,0.47456780076026917,0.5254321992397308,0.7248670217631168,0.47456780076026917,0.6169816255569458,0.3830183744430542,0.6188847828498082,0.6169816255569458,0.7066366672515869,0.2933633327484131,0.5416302546464822,0.7066366672515869,0.7721394896507263,0.22786051034927368,0.47734736864182425,0.7721394896507263,0.9167900085449219,0.08320999145507812,0.2884614210862141,0.9167900085449219,0.9731732606887817,0.02682673931121826,0.1637887032466472,0.9731732606887817,0.3596572279930115
gpt2,250,65536000,8,translators.8.weight,768,768,5.838164806365967,11.974573536329096,143.39041137695312,220.8321075439453,4.206950572723545,0.05368031095713377,753,250,333,491,632,0.23770186305046082,0.7622981369495392,0.8730968657311393,0.23770186305046082,0.2797759473323822,0.7202240526676178,0.8486601514549966,0.2797759473323822,0.32008031010627747,0.6799196898937225,0.8245724285311282,0.32008031010627747,0.37987759709358215,0.6201224029064178,0.7874785094886195,0.37987759709358215,0.4675252437591553,0.5324747562408447,0.7297086790225568,0.4675252437591553,0.5912177562713623,0.4087822437286377,0.6393608087212085,0.5912177562713623,0.6803873777389526,0.31961262226104736,0.565342924481281,0.6803873777389526,0.7486146688461304,0.25138533115386963,0.5013834173104149,0.7486146688461304,0.9053432941436768,0.09465670585632324,0.30766329949528143,0.9053432941436768,0.9687309265136719,0.031269073486328125,0.17683063503343566,0.9687309265136719,0.3680948317050934
gpt2,250,65536000,9,translators.9.weight,768,768,5.776272773742676,11.000641544013822,121.01411437988281,197.58290100097656,3.626942238917971,0.053322952007874846,751,241,325,485,629,0.27571433782577515,0.7242856621742249,0.851049741304364,0.27571433782577515,0.3212737441062927,0.6787262558937073,0.8238484423082363,0.3212737441062927,0.35969457030296326,0.6403054296970367,0.8001908707908613,0.35969457030296326,0.4158584177494049,0.5841415822505951,0.7642915557891472,0.4158584177494049,0.49640482664108276,0.5035951733589172,0.7096443992302887,0.49640482664108276,0.6130325198173523,0.3869674801826477,0.6220671026365626,0.6130325198173523,0.6982094049453735,0.30179059505462646,0.5493547078660803,0.6982094049453735,0.7630957365036011,0.23690426349639893,0.48672812071668814,0.7630957365036011,0.9118347764015198,0.08816522359848022,0.29692629320839914,0.9118347764015198,0.9709541201591492,0.02904587984085083,0.17042851827335362,0.9709541201591492,0.3939875364303589
