model,checkpoint_step,total_tokens,layer,state_key,hidden_size,num_singular_values,top_singular_value,frobenius_norm,frobenius_energy,nuclear_norm,stable_rank,svd_seconds,effective_rank_rel_0.001,rank_for_variance_0.9,rank_for_variance_0.95,rank_for_variance_0.99,rank_for_variance_0.999,frobenius_energy_fraction_at_rank_1,frobenius_residual_fraction_at_rank_1,relative_frobenius_error_at_rank_1,variance_at_rank_1,frobenius_energy_fraction_at_rank_4,frobenius_residual_fraction_at_rank_4,relative_frobenius_error_at_rank_4,variance_at_rank_4,frobenius_energy_fraction_at_rank_8,frobenius_residual_fraction_at_rank_8,relative_frobenius_error_at_rank_8,variance_at_rank_8,frobenius_energy_fraction_at_rank_16,frobenius_residual_fraction_at_rank_16,relative_frobenius_error_at_rank_16,variance_at_rank_16,frobenius_energy_fraction_at_rank_32,frobenius_residual_fraction_at_rank_32,relative_frobenius_error_at_rank_32,variance_at_rank_32,frobenius_energy_fraction_at_rank_64,frobenius_residual_fraction_at_rank_64,relative_frobenius_error_at_rank_64,variance_at_rank_64,frobenius_energy_fraction_at_rank_96,frobenius_residual_fraction_at_rank_96,relative_frobenius_error_at_rank_96,variance_at_rank_96,frobenius_energy_fraction_at_rank_128,frobenius_residual_fraction_at_rank_128,relative_frobenius_error_at_rank_128,variance_at_rank_128,frobenius_energy_fraction_at_rank_256,frobenius_residual_fraction_at_rank_256,relative_frobenius_error_at_rank_256,variance_at_rank_256,frobenius_energy_fraction_at_rank_384,frobenius_residual_fraction_at_rank_384,relative_frobenius_error_at_rank_384,variance_at_rank_384,bias_norm
llama3_8b,32,10485760,0,translators.0.weight,4096,4096,7.238995552062988,15.102056077843185,228.0720977783203,407.7631530761719,4.3522670730277095,1.8404871890088543,3582,379,713,1633,2728,0.22976531088352203,0.770234689116478,0.8776301550861149,0.22976531088352203,0.34794339537620544,0.6520566046237946,0.807500219581267,0.34794339537620544,0.419156938791275,0.580843061208725,0.762130606398093,0.419156938791275,0.5081685781478882,0.4918314218521118,0.7013069384029448,0.5081685781478882,0.6002213954925537,0.3997786045074463,0.6322804793028536,0.6002213954925537,0.6950786709785461,0.30492132902145386,0.5521968209084999,0.6950786709785461,0.7487200498580933,0.25127995014190674,0.5012783160499831,0.7487200498580933,0.7843540906906128,0.2156459093093872,0.4643769043669024,0.7843540906906128,0.8622232675552368,0.13777673244476318,0.37118288274752537,0.8622232675552368,0.9013173580169678,0.09868264198303223,0.31413793464500944,0.9013173580169678,0.19528856873512268
llama3_8b,32,10485760,1,translators.1.weight,4096,4096,6.1722822189331055,19.123677924840894,365.7150573730469,599.4198608398438,9.599559194094404,1.7624564720317721,3800,558,943,1893,2916,0.10417145490646362,0.8958285450935364,0.9464821948106242,0.10417145490646362,0.20119282603263855,0.7988071739673615,0.8937601322319996,0.20119282603263855,0.27226722240448,0.72773277759552,0.8530725511909992,0.27226722240448,0.36424389481544495,0.635756105184555,0.7973431539710836,0.36424389481544495,0.47262051701545715,0.5273794829845428,0.7262089802422873,0.47262051701545715,0.5850752592086792,0.4149247407913208,0.6441465212133966,0.5850752592086792,0.6521182060241699,0.3478817939758301,0.589815050652177,0.6521182060241699,0.6980799436569214,0.3019200563430786,0.5494725255579924,0.6980799436569214,0.8018463253974915,0.19815367460250854,0.4451445547263367,0.8018463253974915,0.8560195565223694,0.14398044347763062,0.3794475503645143,0.8560195565223694,0.16958917677402496
llama3_8b,32,10485760,2,translators.2.weight,4096,4096,7.848557949066162,20.604070968585688,424.5277404785156,571.1451416015625,6.891699551316459,1.8180757149821147,3571,402,722,1574,2606,0.14510208368301392,0.8548979163169861,0.9246068982637897,0.14510208368301392,0.25981780886650085,0.7401821911334991,0.8603384166323733,0.25981780886650085,0.3356081247329712,0.6643918752670288,0.815102371035092,0.3356081247329712,0.4335501492023468,0.5664498507976532,0.7526286274103937,0.4335501492023468,0.5471019744873047,0.4528980255126953,0.6729769873574395,0.5471019744873047,0.6613247394561768,0.33867526054382324,0.5819581261085914,0.6613247394561768,0.7233765125274658,0.2766234874725342,0.5259500807800433,0.7233765125274658,0.7644416689872742,0.23555833101272583,0.4853435185646614,0.7644416689872742,0.8522435426712036,0.1477564573287964,0.38439102139461634,0.8522435426712036,0.8957023620605469,0.10429763793945312,0.3229514482696325,0.8957023620605469,0.1756640374660492
llama3_8b,32,10485760,3,translators.3.weight,4096,4096,6.71493673324585,21.190405002268275,449.03326416015625,638.59326171875,9.958516886563114,1.771818039007485,3749,499,864,1776,2799,0.10041655600070953,0.8995834439992905,0.9484637283519547,0.10041655600070953,0.2037973701953888,0.7962026298046112,0.8923018714564097,0.2037973701953888,0.2769111096858978,0.7230888903141022,0.8503463355093042,0.2769111096858978,0.37335658073425293,0.6266434192657471,0.79160812228384,0.37335658073425293,0.4877321720123291,0.5122678279876709,0.7157288788275005,0.4877321720123291,0.6089546084403992,0.39104539155960083,0.6253362228110577,0.6089546084403992,0.677200436592102,0.32279956340789795,0.5681545242342949,0.677200436592102,0.722987711429596,0.27701228857040405,0.5263195688651563,0.722987711429596,0.821554958820343,0.17844504117965698,0.4224275573156384,0.821554958820343,0.8714028000831604,0.1285971999168396,0.3586045174239159,0.8714028000831604,0.16371455788612366
llama3_8b,32,10485760,4,translators.4.weight,4096,4096,6.6358795166015625,21.0884006527248,444.72064208984375,628.2373657226562,10.099277455001358,1.7820876170881093,3752,475,834,1754,2792,0.09901698678731918,0.9009830132126808,0.9492012501112084,0.09901698678731918,0.20536530017852783,0.7946346998214722,0.8914228513009256,0.20536530017852783,0.2792085111141205,0.7207914888858795,0.8489943986186714,0.2792085111141205,0.37716877460479736,0.6228312253952026,0.7891965695536205,0.37716877460479736,0.4930881857872009,0.5069118142127991,0.711977397262581,0.4930881857872009,0.6151477098464966,0.3848522901535034,0.6203646428944056,0.6151477098464966,0.6834323406219482,0.31656765937805176,0.5626434567095326,0.6834323406219482,0.7293339967727661,0.2706660032272339,0.5202557094614473,0.7293339967727661,0.8282383680343628,0.1717616319656372,0.4144413492469558,0.8282383680343628,0.8772332072257996,0.12276679277420044,0.3503809252430852,0.8772332072257996,0.16374124586582184
llama3_8b,32,10485760,5,translators.5.weight,4096,4096,6.745643138885498,19.976495282444596,399.06036376953125,576.02734375,8.769844031741602,1.824609764968045,3693,429,767,1666,2716,0.11402711272239685,0.8859728872776031,0.9412613278349446,0.11402711272239685,0.2097044438123703,0.7902955561876297,0.8889856895291565,0.2097044438123703,0.28639015555381775,0.7136098444461823,0.8447543101080824,0.28639015555381775,0.3880670368671417,0.6119329631328583,0.7822614416759005,0.3880670368671417,0.509614109992981,0.49038589000701904,0.7002755814727649,0.509614109992981,0.6328219771385193,0.3671780228614807,0.6059521621889642,0.6328219771385193,0.7011758685112,0.29882413148880005,0.5466480874281003,0.7011758685112,0.746478796005249,0.253521203994751,0.5035088916739713,0.746478796005249,0.8423318266868591,0.15766817331314087,0.39707451858957266,0.8423318266868591,0.88873690366745,0.11126309633255005,0.3335612332579283,0.88873690366745,0.15878713130950928
llama3_8b,32,10485760,6,translators.6.weight,4096,4096,6.619765758514404,19.950446729510375,398.02032470703125,569.31884765625,9.082805314686667,1.7528840190498158,3694,411,739,1636,2697,0.11009814590215683,0.8899018540978432,0.9433460945474058,0.11009814590215683,0.20920468866825104,0.790795311331749,0.8892667267652316,0.20920468866825104,0.2859400510787964,0.7140599489212036,0.8450206795819872,0.2859400510787964,0.3898795545101166,0.6101204454898834,0.7811020711084329,0.3898795545101166,0.5110678672790527,0.48893213272094727,0.6992368216283716,0.5110678672790527,0.6352705955505371,0.3647294044494629,0.6039283106871732,0.6352705955505371,0.7044475078582764,0.29555249214172363,0.5436473968867355,0.7044475078582764,0.7506429553031921,0.24935704469680786,0.4993566307728454,0.7506429553031921,0.8473415970802307,0.1526584029197693,0.3907152453127076,0.8473415970802307,0.8933314085006714,0.10666859149932861,0.3266015791439604,0.8933314085006714,0.1554052233695984
llama3_8b,32,10485760,7,translators.7.weight,4096,4096,6.783466815948486,20.2597090439837,410.455810546875,564.296142578125,8.919961880663703,1.8136219610460103,3667,379,691,1574,2647,0.11210810393095016,0.8878918960690498,0.9422801579514714,0.11210810393095016,0.21595646440982819,0.7840435355901718,0.8854623287244759,0.21595646440982819,0.29395461082458496,0.706045389175415,0.8402650707814856,0.29395461082458496,0.40046074986457825,0.5995392501354218,0.7742991993638,0.40046074986457825,0.5222088694572449,0.4777911305427551,0.6912243706227054,0.5222088694572449,0.6480112671852112,0.3519887328147888,0.5932863834732673,0.6480112671852112,0.7174310088157654,0.2825689911842346,0.5315721881214579,0.7174310088157654,0.7628764510154724,0.2371235489845276,0.4869533334771696,0.7628764510154724,0.8575373888015747,0.1424626111984253,0.37744219583722394,0.8575373888015747,0.9014104604721069,0.09858953952789307,0.3139897124555088,0.9014104604721069,0.15479834377765656
llama3_8b,32,10485760,8,translators.8.weight,4096,4096,7.173962116241455,20.09015401459327,403.6142883300781,556.6279296875,7.842388889720185,1.7683547510532662,3664,372,695,1605,2684,0.12751217186450958,0.8724878281354904,0.9340705691410529,0.12751217186450958,0.22911812365055084,0.7708818763494492,0.8779987906309719,0.22911812365055084,0.31101882457733154,0.6889811754226685,0.8300488994165756,0.31101882457733154,0.41742682456970215,0.5825731754302979,0.763264813436528,0.41742682456970215,0.5385285019874573,0.4614714980125427,0.6793169348783694,0.5385285019874573,0.6610570549964905,0.3389429450035095,0.5821880666962433,0.6610570549964905,0.7275872826576233,0.2724127173423767,0.52193171712627,0.7275872826576233,0.7711626291275024,0.22883737087249756,0.47836949199598583,0.7711626291275024,0.8613412976264954,0.13865870237350464,0.37236904056796216,0.8613412976264954,0.9030783772468567,0.09692162275314331,0.31132237753355174,0.9030783772468567,0.1749928742647171
llama3_8b,32,10485760,9,translators.9.weight,4096,4096,7.481832981109619,20.071988057734682,402.88470458984375,534.8890380859375,7.197219726511118,1.7736774820368737,3597,332,641,1533,2610,0.13894253969192505,0.861057460308075,0.9279318187820024,0.13894253969192505,0.2517821490764618,0.7482178509235382,0.8649958675759892,0.2517821490764618,0.33942827582359314,0.6605717241764069,0.8127556362009475,0.33942827582359314,0.44943946599960327,0.5505605340003967,0.7419976644170767,0.44943946599960327,0.5702919363975525,0.4297080636024475,0.6555212152191929,0.5702919363975525,0.6890522241592407,0.3109477758407593,0.5576269145591515,0.6890522241592407,0.7517604231834412,0.24823957681655884,0.49823646676709527,0.7517604231834412,0.7923307418823242,0.20766925811767578,0.45570742600672615,0.7923307418823242,0.8750276565551758,0.12497234344482422,0.3535142761541947,0.8750276565551758,0.9126983880996704,0.08730161190032959,0.2954684617693225,0.9126983880996704,0.17894943058490753
